"Link ID","Source name","Source Display Name","Source type","Target name","Target Display Name","Target type","Confidence","Documents","Document IDs","Relationships"
"1","CCCCCCCCCCCCCCCCCC(=O)OC[C@H](CO[P@@](O)(=O)OCC(O)CO[P@](O)(=O)OC[C@@H](COC(=O)CCCCCCCCCCCCCCCCC)OC(=O)CCCCCCCCCCCCCCCCC)OC(=O)CCCCCCCCCCCCCCCCC","CARDIOLIPIN","DRUG","ANTI PHOSPHOLIPID ANTIBODY SYNDROME","ANTI PHOSPHOLIPID ANTIBODY SYNDROME","CONDITION","86.08220708164428","10","Medline_8217481,Medline_26491702,Medline_8025204,Medline_14598587,Patent_WO2017011390A1,Medline_28215033,Pmcoa_4603604,Medline_12121039,Pmcoa_4875598,Medline_8027560","Association,Prepositional,AssociationPositive,AssociationNegative"
"2","F5","F5","GENE","ANTI PHOSPHOLIPID ANTIBODY SYNDROME","ANTI PHOSPHOLIPID ANTIBODY SYNDROME","CONDITION","79.76085783624006","5","Medline_19078479,Medline_22690563,Medline_11454529,Medline_12243558,Pmcoa_1936988","Prepositional"
"4","F3","F3","GENE","ANTI PHOSPHOLIPID ANTIBODY SYNDROME","ANTI PHOSPHOLIPID ANTIBODY SYNDROME","CONDITION","83.9248412112728","8","Medline_15456541,Medline_8420328,Medline_16385547,Medline_18827061,Medline_9031483,Medline_12730514,Pmcoa_3173726,Medline_19556010","Prepositional,GeneExpression,Regulation"
"5","F2","F2","GENE","ANTI PHOSPHOLIPID ANTIBODY SYNDROME","ANTI PHOSPHOLIPID ANTIBODY SYNDROME","CONDITION","86.33940093719002","12","Medline_9733155,Medline_22635224,Medline_12404033,Medline_26975968,Medline_9734636,Medline_17265495,Medline_22690563,Medline_23989738,Medline_19920091,Medline_11739542,Pmcoa_4691051,Medline_15751817","Prepositional,Association"
"6","CC(=O)CC(c1ccccc1)c1c(O)c2ccccc2oc1=O","WARFARIN","DRUG","ANTI PHOSPHOLIPID ANTIBODY SYNDROME","ANTI PHOSPHOLIPID ANTIBODY SYNDROME","CONDITION","91.71215224734944","22","Medline_13679527,Medline_25895847,Medline_15693072,Medline_14699651,Medline_8730144,Medline_29624847,Pmcoa_5045335,Medline_14699652,Medline_11705531,Medline_14695423,Medline_14699650,Medline_8952760,Medline_17531168,Medline_20425536,Pmcoa_4286787,Medline_25104566,Medline_26905558,Medline_26715615,Medline_20704100,Medline_21606873,Medline_12322801,Medline_7933603","Prepositional,Treat"
"7","CCN(CCO)CCCC(C)Nc1ccnc2cc(Cl)ccc12","HYDROXYCHLOROQUINE","DRUG","ANTI PHOSPHOLIPID ANTIBODY SYNDROME","ANTI PHOSPHOLIPID ANTIBODY SYNDROME","CONDITION","86.37004981210129","6","Medline_29024318,Medline_26421409,Medline_27496152,Medline_25534016,Medline_27160365,Pmcoa_5819132","AssociationPositive,Prepositional,AssociationNegative,Regulation"
"8","CC[C@H](C)C(=O)O[C@H]1C[C@H](O)C=C2C=C[C@H](C)[C@H](CC[C@@H](O)C[C@@H](O)CC(O)=O)[C@@H]12","PRAVASTATIN","DRUG","ANTI PHOSPHOLIPID ANTIBODY SYNDROME","ANTI PHOSPHOLIPID ANTIBODY SYNDROME","CONDITION","78.67469842171683","2","Medline_27454295,Medline_24591337","Prepositional,Treat"
"9","CC(=O)Oc1ccccc1C(O)=O","ASPIRIN","DRUG","ANTI PHOSPHOLIPID ANTIBODY SYNDROME","ANTI PHOSPHOLIPID ANTIBODY SYNDROME","CONDITION","91.3496567501396","21","Medline_27599157,Pmcoa_2679410,Medline_20502298,Medline_8373524,Medline_10649166,Medline_27652601,Pmcoa_3977461,Medline_18308578,Medline_8371226,Medline_21640048,Pmcoa_5350130,Medline_8160462,Medline_20676893,Medline_29449131,Medline_28784423,Medline_18089677,Medline_7804312,Medline_24200687,Medline_7933603,Medline_27454295,Medline_18043834","Prepositional,Treat,AssociationNegative,Association"
"10","CO[C@@H]1C[C@H](C[C@H](C)[C@@H]2CC(=O)[C@H](C)\C=C(C)\[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)\C=C\C=C\C=C(C)\[C@H](C[C@@H]3CC[C@@H](C)[C@@](O)(O3)C(=O)C(=O)N3CCCC[C@H]3C(=O)O2)OC)CC[C@H]1O","SIROLIMUS","DRUG","ANTI PHOSPHOLIPID ANTIBODY SYNDROME","ANTI PHOSPHOLIPID ANTIBODY SYNDROME","CONDITION","69.55713765490505","2","Medline_29024318,Pmcoa_5083168","AssociationPositive,Association,Regulation,AssociationNegative"
"11","COC(=O)[C@@H](N1CCc2sccc2C1)c1ccccc1Cl","CLOPIDOGREL","DRUG","ANTI PHOSPHOLIPID ANTIBODY SYNDROME","ANTI PHOSPHOLIPID ANTIBODY SYNDROME","CONDITION","81.40129095857945","2","Medline_10635651,Medline_8059174","Prepositional,Similarity"
