"Link ID","Source name","Source Display Name","Source type","Target name","Target Display Name","Target type","Confidence","Documents","Document IDs","Relationships"
"0","NCCC(O)(P(O)(O)=O)P(O)(O)=O","PAMIDRONIC ACID","DRUG","ASEPTIC NECROSIS OF BONE","ASEPTIC NECROSIS OF BONE","CONDITION","82.73285238076184","3","Medline_16562590,Medline_12966493,Medline_17236837","Prepositional,AssociationPositive"
"1","C[C@H]1C[C@H]2[C@@H]3CC[C@](O)(C(=O)CO)[C@@]3(C)C[C@H](O)[C@@H]2[C@@]2(C)C=CC(=O)C=C12","METHYLPREDNISOLONE","DRUG","ASEPTIC NECROSIS OF BONE","ASEPTIC NECROSIS OF BONE","CONDITION","93.11010186174347","21","Pmcoa_2949814,Medline_1304409,Medline_25287583,Pmcoa_3976124,Medline_22117986,Medline_29606872,Medline_19129349,Medline_25110730,Pmcoa_3904683,Medline_24503957,Pmcoa_4106066,Medline_26197804,Medline_25421192,Pmcoa_3518945,Pmcoa_5868597,Pmcoa_3146007,Medline_19011472,Medline_17548927,Medline_24204675,Pmcoa_3804596,Pmcoa_5892381","AssociationPositive,Association,AssociationNegative,Treat,Prepositional,Regulation"
"2","OC(Cn1ccnc1)(P(O)(O)=O)P(O)(O)=O","ZOLEDRONIC ACID","DRUG","ASEPTIC NECROSIS OF BONE","ASEPTIC NECROSIS OF BONE","CONDITION","90.01544612007267","33","Medline_27296235,Pmcoa_2650402,Medline_26178889,Medline_19182368,Pmcoa_5806937,Medline_26154396,Medline_24120382,Pmcoa_5288240,Medline_18097268,Pmcoa_4707237,Medline_21517810,Pmcoa_5124310,Medline_23891014,Pmcoa_3638364,Medline_22623376,Medline_25308796,Medline_27176567,Pmcoa_4899021,Medline_25727550,Medline_29408511,Medline_24504100,Medline_29289789,Pmcoa_5828169,Medline_19574685,Medline_28772088,Pmcoa_5594732,Medline_19903091,Medline_26548471,Medline_12966493,Medline_25352470,Medline_17236837,Medline_17410188,Medline_29574058","Association,TREAT,Prepositional,AssociationPositive,Similarity,AssociationNegative,Regulation"
"3","CC#CCC(C)[C@H](O)\C=C\[C@H]1[C@H](O)C[C@@H]2C\C(C[C@H]12)=C/CCCC(O)=O","ILOPROST","DRUG","ASEPTIC NECROSIS OF BONE","ASEPTIC NECROSIS OF BONE","CONDITION","83.88375469760098","7","Medline_29315006,Medline_28507661,Pmcoa_5402318,Pmcoa_2592809,Medline_27114807,Pmcoa_4821225,Medline_19661369","AssociationNegative,Prepositional,Treat"
"4","CC(C)CCC[C@@H](C)CCC[C@@H](C)CCC[C@]1(C)CCc2c(C)c(O)c(C)c(C)c2O1","VITAMIN E","DRUG","ASEPTIC NECROSIS OF BONE","ASEPTIC NECROSIS OF BONE","CONDITION","86.79956239064029","5","Pmcoa_2856221,Medline_20170436,Pmcoa_3214757,Medline_20146637,Medline_20953930","AssociationNegative"
"5","CSCC[C@H](NC(=O)[C@H](CO)NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@@H](N)CO)C(=O)N[C@@H](CCC(O)=O)C(=O)N[C@@H](Cc1cnc[nH]1)C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](CCCNC(N)=N)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)NCC(=O)N[C@@H](CCCCN)C(=O)N1CCC[C@H]1C(=O)N[C@@H](C(C)C)C(=O)NCC(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCCNC(N)=N)C(=O)N[C@@H](CCCNC(N)=N)C(=O)N1CCC[C@H]1C(=O)N[C@@H](C(C)C)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](C(C)C)C(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CC(N)=O)C(=O)NCC(=O)N[C@@H](C)C(=O)N[C@@H](CCC(O)=O)C(=O)N[C@@H](CC(O)=O)C(=O)N[C@@H](CCC(O)=O)C(=O)N[C@@H](CO)C(=O)N[C@@H](C)C(=O)N[C@@H](CCC(O)=O)C(=O)N[C@@H](C)C(=O)N[C@@H](Cc1ccccc1)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCC(O)=O)C(=O)N[C@@H](Cc1ccccc1)C(O)=O","CORTICOTROPIN","DRUG","ASEPTIC NECROSIS OF BONE","ASEPTIC NECROSIS OF BONE","CONDITION","82.53740004424432","4","Medline_20421485,Medline_22172036,Pmcoa_3573675,Pmcoa_5855589","Prepositional,Regulation,AssociationNegative"
"6","CC[C@H](C)[C@H](NC(=O)[C@H](CCC(O)=O)NC(=O)[C@H](CO)NC(=O)[C@@H](NC(=O)[C@@H](N)CO)C(C)C)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCSC)C(=O)N[C@@H](Cc1c[nH]cn1)C(=O)N[C@@H](CC(N)=O)C(=O)N[C@@H](CC(C)C)C(=O)NCC(=O)N[C@@H](CCCCN)C(=O)N[C@@H](Cc1c[nH]cn1)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CC(N)=O)C(=O)N[C@@H](CO)C(=O)N[C@@H](CCSC)C(=O)N[C@@H](CCC(O)=O)C(=O)N[C@@H](CCCNC(N)=N)C(=O)N[C@@H](C(C)C)C(=O)N[C@@H](CCC(O)=O)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCCNC(N)=N)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CC(O)=O)C(=O)N[C@@H](C(C)C)C(=O)N[C@@H](Cc1c[nH]cn1)C(=O)N[C@@H](CC(N)=O)C(=O)N[C@@H](Cc1ccccc1)C(O)=O","TERIPARATIDE ACETATE","DRUG","ASEPTIC NECROSIS OF BONE","ASEPTIC NECROSIS OF BONE","CONDITION","85.0624610043429","10","Medline_26215490,Medline_26304604,Pmcoa_4499203,Medline_26163144,Medline_20687167,Medline_28103867,Pmcoa_5244698,Medline_20950167,Medline_21410382,Medline_24804929","Prepositional,Treat,AssociationPositive,AssociationNegative"
"7","CCN(CC)CCNC(=O)c1c(C)[nH]c(\C=C2/C(=O)Nc3ccc(F)cc23)c1C","SUNITINIB","DRUG","ASEPTIC NECROSIS OF BONE","ASEPTIC NECROSIS OF BONE","CONDITION","83.15688755311689","5","Medline_29026845,Pmcoa_5632940,Medline_26548471,Medline_22676833,Pmcoa_3790170","AssociationPositive,Regulation,Similarity"
"9","MIR708","MIR708","GENE","ASEPTIC NECROSIS OF BONE","ASEPTIC NECROSIS OF BONE","CONDITION","58.333333333333336","2","Medline_26932538,Pmcoa_4773864","Association,AssociationPositive"
"10","CCCCC[C@H](O)\C=C\[C@H]1[C@H](O)C[C@@H]2O\C(C[C@H]12)=C/CCCC(O)=O","EPOPROSTENOL","DRUG","ASEPTIC NECROSIS OF BONE","ASEPTIC NECROSIS OF BONE","CONDITION","80.61825200701136","2","Pmcoa_2592809,Pmcoa_4238757","Prepositional,Treat"
