"Link ID","Source name","Source Display Name","Source type","Target name","Target Display Name","Target type","Confidence","Documents","Document IDs","Relationships"
"0","CCN(CC)CC(=O)Nc1c(C)cccc1C","LIDOCAINE","DRUG","FIBROMYALGIA","FIBROMYALGIA","CONDITION","92.51370632699411","12","Medline_21178598,Medline_12509636,Medline_27309886,Medline_26835161,Medline_12217079,Pmcoa_126218,Pmcoa_3132035,Pmcoa_5822542,Medline_11464352,Medline_19263182,Medline_23713304,Medline_22854911","TREAT,Association,Prepositional,Treat,AssociationNegative,Regulation"
"1","CC(C)C[C@H](CN)CC(O)=O","PREGABALIN","DRUG","FIBROMYALGIA","FIBROMYALGIA","CONDITION","95.53308550013803","88","Pmcoa_3765321,Pmcoa_3891762,Medline_17447176,Medline_27087434,Pmcoa_3112435,Patent_WO2011086565A1,Patent_WO2012059797A1,Medline_27312978,Medline_26937205,Pmcoa_3479947,Pmcoa_4762578,Medline_26364177,Medline_27257288,Medline_27475753,Medline_24867298,Medline_22503162,Medline_15712623,Medline_28779491,Medline_26034150,Pmcoa_3026332,Medline_18755638,Medline_22725707,Medline_25627453,Medline_28242609,Patent_US8927602,Patent_EP2101752A1,Medline_19539427,Medline_20056767,Medline_20602781,Medline_21270936,Medline_28971173,Patent_US20150011625,Pmcoa_4302330,Medline_18174971,Medline_23169685,Patent_US20040138305,Patent_US20120252892,Patent_WO2008073257A1,Patent_WO2017100125A1,Pmcoa_4644310,Patent_US9688620,Pmcoa_3978750,Pmcoa_2906437,Pmcoa_3118156,Pmcoa_3580529,Pmcoa_1779399,Pmcoa_4343277,Medline_26035523,Medline_28991361,Medline_24129853,Medline_21199319,Medline_21392253,Medline_22232085,Medline_27684492,Medline_18762786,Medline_18840008,Medline_20178405,Medline_21575194,Medline_25270426,Medline_19337459,Medline_21993145,Pmcoa_4967327,Medline_19339642,Medline_22339078,Medline_21146466,Medline_22895795,Medline_27345098,Patent_EP2194979A1,Patent_WO2004016260A1,Pmcoa_5331677,Pmcoa_4203881,Pmcoa_3902716,Patent_WO2009031029A1,Pmcoa_3637671,Pmcoa_2646648,Pmcoa_5466914,Pmcoa_3195783,Patent_US20070238749,Patent_WO2004054565A1,Medline_28925656,Medline_19652043,Medline_18982001,Medline_18400400,Medline_17878888,Medline_26982602,Pmcoa_4710099,Medline_28114458,Pmcoa_5404229","AssociationNegative,Prepositional,TREAT,Treat,Association,Regulation"
"3","OCCCC([O-])=O","SODIUM OXYBATE","DRUG","FIBROMYALGIA","FIBROMYALGIA","CONDITION","88.20027412448275","18","Medline_19116896,Medline_21397402,Medline_27807735,Patent_US8591922,Patent_US20170209396,Patent_US20140171505,Patent_US20140171506,Patent_EP2931268B1,Patent_US9132107,Patent_US8901173,Patent_US9555017,Patent_US20160058720,Patent_WO2014078014A2,Pmcoa_3978755,Patent_EP2961738A2,Medline_22870476,Pmcoa_3672769,Medline_21637313","Treat,Association,Prepositional"
"4","BDNF","BDNF","GENE","FIBROMYALGIA","FIBROMYALGIA","CONDITION","87.77159399409777","8","Medline_20119637,Medline_21773883,Medline_23318672,Medline_24865417,Pmcoa_4707227,Medline_27209553,Medline_22210272,Pmcoa_5741300","Prepositional"
"5","CN(C)CCC=C1c2ccccc2CCc2ccccc12","AMITRIPTYLINE","DRUG","FIBROMYALGIA","FIBROMYALGIA","CONDITION","93.72227466532952","46","Pmcoa_3503476,Medline_8912507,Medline_25627453,Patent_US20110009318,Medline_2161315,Patent_US20040259852,Patent_US20140031326,Medline_12215864,Medline_1856813,Patent_EP2640397A1,Patent_US7799769,Patent_WO2005034858A2,Pmcoa_4343277,Medline_21078630,Patent_US20110118227,Patent_EP1638575A2,Patent_EP2000143B1,Patent_US5935949,Patent_US20040259784,Patent_EP1677744A2,Patent_EP2000143A2,Patent_US20060100186,Patent_US8999963,Pmcoa_2906437,Patent_US8883769,Patent_WO2005000236A2,Patent_WO2012074774A1,Patent_US20070066532,Pmcoa_5074721,Patent_US9511079,Medline_24398824,Medline_12537258,Medline_22142408,Medline_26395929,Patent_US20140171515,Pmcoa_3979124,Patent_EP1107744B1,Medline_22452526,Patent_US7713984,Patent_EP2861223A1,Patent_EP1107744A2,Patent_WO2013188847A1,Patent_US20100055176,Patent_US20080161329,Medline_26146793,Pmcoa_4432406","Prepositional,Treat"
"6","OCCOCCN1CCN(CC1)C1=Nc2ccccc2Sc2ccccc12","QUETIAPINE","DRUG","FIBROMYALGIA","FIBROMYALGIA","CONDITION","88.14192414645183","5","Medline_17447176,Medline_24398824,Medline_22296316,Pmcoa_2646648,Pmcoa_5749350","Treat,Regulation"
"8","COc1ccc2cccc(CCN=C(C)O)c2c1","AGOMELATINE","DRUG","FIBROMYALGIA","FIBROMYALGIA","CONDITION","80.60332306734213","4","Medline_24549860,Pmcoa_5611767,Medline_23764682,Patent_WO2013063289A1","Treat"
"9","COc1ccc2[nH]cc(CCNC(C)=O)c2c1","MELATONIN","DRUG","FIBROMYALGIA","FIBROMYALGIA","CONDITION","94.05082954872367","17","Pmcoa_4119581,Medline_22193230,Medline_10606381,Medline_9517780,Pmcoa_5535882,Medline_26984272,Medline_16313505,Patent_US20060223877,Patent_US20060257502,Medline_17894923,Patent_EP1898906A2,Pmcoa_3386506,Pmcoa_4912970,Medline_10752492,Medline_20423309,Medline_28661421,Pmcoa_3714407","Association,Prepositional,Treat,Modification,Similarity"
"10","C[C@]12C[C@H](O)[C@H]3[C@@H](CCC4=CC(=O)CC[C@]34C)[C@@H]1CC[C@]2(O)C(=O)CO","HYDROCORTISONE","DRUG","FIBROMYALGIA","FIBROMYALGIA","CONDITION","94.64476866296611","23","Medline_19457504,Pmcoa_416440,Medline_24426206,Patent_EP1854486A2,Pmcoa_2627911,Medline_20190129,Medline_9821456,Medline_25425224,Medline_27146618,Medline_20627822,Medline_15157948,Medline_16274933,Medline_21887116,Medline_5245506,Pmcoa_3160832,Pmcoa_4540854,Pmcoa_3903798,Pmcoa_4880655,Pmcoa_5816755,Medline_16258904,Medline_24478898,Medline_15142269,Medline_26404060","Prepositional,Regulation,AssociationNegative"
"11","NCC1(CC(O)=O)CCCCC1","GABAPENTIN","DRUG","FIBROMYALGIA","FIBROMYALGIA","CONDITION","93.12554052302985","14","Medline_19539427,Medline_18388513,Medline_25627453,Patent_US20110039875,Patent_US20150313892,Pmcoa_4343277,Patent_WO2009021058A2,Medline_27345098,Pmcoa_2888218,Medline_19817076,Medline_28045473,Patent_EP1572184A1,Patent_WO2004054564A1,Pmcoa_4387486","TREAT,Prepositional,Treat,AssociationNegative"
