"Link ID","Source name","Source Display Name","Source type","Target name","Target Display Name","Target type","Confidence","Documents","Document IDs","Relationships"
"0","SUPEROXIDE DISMUTASE","SUPEROXIDE DISMUTASE","GENE","LYME DISEASE","LYME DISEASE","CONDITION","81.92369672573118","3","Medline_9353077,Medline_23376276,Medline_10650199","Prepositional"
"1","IL2RA","IL2RA","GENE","LYME DISEASE","LYME DISEASE","CONDITION","85.30605533363222","3","Medline_15939755,Medline_11339478,Medline_8350338","Association,Prepositional"
"3","CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@@H]([C@H]2O)N(C)C)[C@](C)(O)C[C@@H](C)\C(=N\OCOCCOC)[C@H](C)[C@@H](O)[C@]1(C)O","ROXITHROMYCIN","DRUG","LYME DISEASE","LYME DISEASE","CONDITION","78.95436958090968","2","Medline_1357894,Medline_8852472","Prepositional"
"4","RRP1","RRP1","GENE","LYME DISEASE","LYME DISEASE","CONDITION","61.03722219939274","2","Pmcoa_3128128,Medline_15716451","AssociationPositive,Prepositional"
"7","FN1","FN1","GENE","LYME DISEASE","LYME DISEASE","CONDITION","82.46348818813007","6","Pmcoa_5811584,Patent_EP1868638A2,Medline_15292204,Medline_15737988,Pmcoa_3785480,Medline_16714558","Regulation,Binding,GeneExpression"
"8","PROC","PROC","GENE","LYME DISEASE","LYME DISEASE","CONDITION","85.31761955274696","97","Patent_US7060281,Medline_9728542,Patent_US20070178117,Patent_US7794727,Medline_16965353,Patent_US20070117970,Patent_US20100317026,Medline_16714587,Patent_US8283458,Patent_US8354240,Patent_WO2000018791A1,Patent_US20130102057,Patent_US6719983,Medline_11926737,Patent_US20060240035,Patent_US20100150964,Medline_10496930,Medline_16299277,Patent_EP0832093B1,Patent_EP1589109B1,Patent_US20150064208,Medline_12089279,Medline_7699024,Patent_US20150044249,Patent_US9556239,Patent_WO2004058181A2,Medline_8039931,Patent_EP1117677B1,Patent_US20040214225,Patent_US20110070257,Patent_US20120177680,Medline_12941385,Medline_23962611,Patent_EP2199303A1,Patent_EP3102234A1,Patent_US20140220605,Medline_17239505,Medline_26411486,Patent_EP0894143B2,Patent_EP2283031B1,Patent_US20120088289,Patent_US20120122238,Patent_EP1957520A2,Patent_US20030060618,Patent_US20040044192,Patent_WO2007065098A2,Medline_16601766,Patent_US20110124047,Medline_14970347,Medline_26384476,Medline_27619624,Patent_US20040086949,Patent_EP1572714A2,Patent_EP2292762A2,Medline_7665660,Patent_US6740744,Patent_US6437116,Patent_US20160266112,Patent_US8778352,Pmcoa_4974518,Patent_US7847084,Patent_US9670254,Patent_WO2015116907A1,Patent_US20170165342,Patent_US6878816,Patent_US9376472,Patent_EP2199303B1,Patent_EP3029073A1,Patent_US20030092903,Patent_US20130266606,Patent_US20160102124,Patent_US7785597,Patent_US9212218,Patent_WO1997031123A1,Patent_WO2012054580A2,Patent_US8071109,Patent_US8722871,Patent_US9115193,Patent_US20130245234,Patent_US6210676,Patent_US7135176,Patent_US8431135,Patent_US8808705,Medline_11230121,Medline_11173486,Patent_EP2283031A2,Patent_US9534021,Medline_11139584,Medline_11726188,Patent_US20170114106,Patent_US20140212451,Medline_21865883,Patent_WO2016193370A1,Patent_US20110262475,Patent_WO2009135118A2,Medline_7650170,Medline_16926410","Prepositional,GeneExpression,Association,Localization,AssociationNegative"
"9","TNF","TNF","GENE","LYME DISEASE","LYME DISEASE","CONDITION","90.97324936075519","6","Medline_12235693,Medline_14535835,Medline_17436229,Medline_16081826,Medline_17295680,Medline_18190271","Prepositional,AssociationPositive"
"10","IL10","IL10","GENE","LYME DISEASE","LYME DISEASE","CONDITION","90.67776847531373","11","Pmcoa_3443101,Medline_17082624,Medline_24042116,Medline_17295680,Pmcoa_5466968,Medline_22180617,Pmcoa_4529177,Pmcoa_2193682,Medline_29311239,Pmcoa_3187844,Medline_18824530","Regulation,AssociationPositive,AssociationNegative,Prepositional,Association"
"11","TLR2","TLR2","GENE","LYME DISEASE","LYME DISEASE","CONDITION","87.02679768824328","10","Medline_20393136,Pmcoa_5093308,Pmcoa_4849792,Pmcoa_3674595,Medline_16081826,Medline_10452971,Pmcoa_3317006,Medline_25975355,Pmcoa_4436792,Medline_20441518","Prepositional,Association,Regulation,AssociationPositive,AssociationNegative"
"12","NAPA","NAPA","GENE","LYME DISEASE","LYME DISEASE","CONDITION","70.90136869278373","3","Medline_24355226,Medline_20851780,Pmcoa_4192664","Prepositional"
"13","DCN","DCN","GENE","LYME DISEASE","LYME DISEASE","CONDITION","75.52309745320119","19","Medline_9596733,Patent_WO2000077041A2,Patent_US6517838,Medline_21628660,Patent_WO2017031216A1,Patent_WO2017031196A1,Patent_US20060194267,Patent_US6833356,Patent_US7390626,Patent_EP1355662A2,Patent_US7153515,Patent_WO2002077010A2,Medline_10094620,Patent_US20030108564,Patent_US20070092533,Medline_11285303,Patent_US20040071703,Patent_US20050147999,Patent_US6902893","Binding,Prepositional,AssociationNegative,Regulation"
"14","CFH","CFH","GENE","LYME DISEASE","LYME DISEASE","CONDITION","82.62636533317063","23","Medline_22367885,Pmcoa_4215630,Patent_US7390626,Medline_12244181,Medline_25400633,Patent_US20060194267,Pmcoa_3982108,Medline_18248762,Medline_16208765,Medline_17160605,Medline_29190743,Pmcoa_5708776,Patent_US7264922,Patent_US20040234530,Pmcoa_2717971,Medline_19604355,Pmcoa_2596382,Medline_29472926,Pmcoa_5809437,Medline_11113124,Patent_EP1980616A2,Patent_EP1718750A1,Patent_WO2005083088A1","Prepositional,Binding"
"15","C[C@@H]1[C@H]2[C@H](O)[C@H]3[C@H](N(C)C)C(O)=C(C(N)=O)C(=O)[C@@]3(O)C(O)=C2C(=O)c2c(O)cccc12","DOXYCYCLINE","DRUG","LYME DISEASE","LYME DISEASE","CONDITION","92.97914254375124","26","Pmcoa_4681354,Pmcoa_4738477,Medline_11143543,Pmcoa_4997053,Medline_10194080,Medline_26248368,Pmcoa_4370023,Patent_EP3149190A1,Patent_WO2015171225A1,Medline_19301981,Pmcoa_3364977,Medline_3166545,Patent_US20160106777,Patent_US20160339057,Pmcoa_128914,Pmcoa_4196523,Medline_18193264,Pmcoa_4876775,Medline_7625800,Medline_29477274,Medline_11874281,Medline_24407743,Pmcoa_5850433,Medline_26896500,Pmcoa_3954163,Pmcoa_5029759","AssociationNegative,Regulation,Association,Prepositional,Treat"
"17","NT5C2","NT5C2","GENE","LYME DISEASE","LYME DISEASE","CONDITION","76.74277344840145","4","Medline_25987708,Pmcoa_3749722,Medline_19210621,Medline_27852620","GeneExpression,Prepositional,Regulation,AssociationPositive"
"18","MIR155","MIR155","GENE","LYME DISEASE","LYME DISEASE","CONDITION","69.44092364356715","2","Pmcoa_4529177,Medline_26252010","Prepositional,Association"
"21","CLDN11","CLDN11","GENE","LYME DISEASE","LYME DISEASE","CONDITION","78.0748536269646","28","Patent_EP0833916A1,Patent_WO1996034106A1,Medline_8005669,Medline_8740123,Patent_US20080249014,Patent_US5308753,Medline_1475523,Patent_US6066623,Patent_US8293876,Medline_8339919,Patent_WO1991013630A1,Medline_9364698,Patent_WO1994019482A1,Medline_18359818,Patent_EP2129684B1,Patent_EP2129684A1,Patent_WO1995021928A1,Patent_WO2008101667A1,Patent_EP2283031B1,Patent_WO1998023763A1,Medline_8024615,Pmcoa_3359254,Pmcoa_5640720,Patent_EP1100922B1,Medline_9330467,Medline_22336289,Patent_WO1993004175A1,Patent_US6180141","AssociationNegative,Prepositional,Regulation,Help,Treat"
"22","Cc1cc(NS(=O)(=O)c2ccc(N)cc2)no1.COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC","CO-TRIMOXAZOLE","DRUG","LYME DISEASE","LYME DISEASE","CONDITION","83.7656967947505","2","Medline_9248750,Medline_8852472","Prepositional"
"25","HTRA1","HTRA1","GENE","LYME DISEASE","LYME DISEASE","CONDITION","63.98260430399849","7","Patent_EP2805168A1,Patent_US9816992,Patent_WO2013110026A1,Patent_US20150293096,Patent_US9383360,Pmcoa_3641820,Medline_23565798","Association,Prepositional,Treat"
"28","IL4","IL4","GENE","LYME DISEASE","LYME DISEASE","CONDITION","88.43749606625212","21","Patent_US20150044249,Patent_EP1957520A2,Patent_US20070178117,Patent_US20110070257,Patent_US8778352,Pmcoa_5336413,Patent_EP3029073A1,Patent_US20130266606,Medline_10675604,Patent_US20150064208,Patent_US9556239,Patent_US9376472,Patent_US7794727,Patent_US8808705,Patent_WO2007065098A2,Patent_WO2012054580A2,Medline_11390492,Medline_15122525,Medline_10377109,Medline_9394788,Patent_US20160030538","Follow,AssociationPositive,Regulation,Prepositional,Association"
"29","RAD51","RAD51","GENE","LYME DISEASE","LYME DISEASE","CONDITION","73.1850704206543","9","Pmcoa_5663514,Medline_29088268,Patent_US20150232517,Patent_EP2889382A1,Medline_8566765,Patent_US20160289746,Patent_EP3044337A2,Patent_US20150250865,Patent_US20160333056","Prepositional"
"30","IGHM","IGHM","GENE","LYME DISEASE","LYME DISEASE","CONDITION","90.10037862315836","31","Medline_16273467,Medline_6884950,Medline_17703406,Medline_2098630,Medline_12757227,Pmcoa_3474945,Pmcoa_4734519,Medline_2716745,Medline_4078585,Medline_2284917,Medline_6659638,Medline_21180094,Medline_11465762,Pmcoa_2722197,Pmcoa_1950515,Medline_17160608,Medline_10517192,Patent_EP3204404A1,Patent_US20170252422,Patent_WO2016057793A1,Medline_15655723,Medline_9857619,Medline_8542836,Medline_9819119,Medline_3956539,Pmcoa_5038099,Pmcoa_4211521,Pmcoa_5426134,Pmcoa_4777951,Pmcoa_3498272,Pmcoa_3162266","Prepositional"
