"Link ID","Source name","Source Display Name","Source type","Target name","Target Display Name","Target type","Confidence","Documents","Document IDs","Relationships"
"0","LYZ","LYZ","GENE","SARCOIDOSIS","SARCOIDOSIS","CONDITION","89.31680392948981","18","Medline_231820,Medline_100124,Medline_6100991,Medline_6288426,Medline_23685362,Medline_195457,Medline_220704,Medline_649303,Medline_848286,Medline_7413458,Medline_6290729,Medline_854716,Medline_6270984,Pmcoa_4167455,Pmcoa_4435999,Medline_220748,Medline_28295528,Pmcoa_3599400","Prepositional,Similarity,AssociationPositive,Treat,Association,Predict"
"1","CD80","CD80","GENE","SARCOIDOSIS","SARCOIDOSIS","CONDITION","82.86901426995468","3","Medline_10461083,Medline_10444517,Medline_29598014","Prepositional,Regulation"
"2","IL12","IL12","GENE","SARCOIDOSIS","SARCOIDOSIS","CONDITION","91.80219807261669","12","Medline_10508796,Patent_WO2000072836A2,Patent_WO2000041547A2,Pmcoa_5534042,Pmcoa_4209812,Pmcoa_4590933,Medline_15554077,Medline_11033843,Medline_15281432,Medline_11123348,Patent_EP1611154A1,Patent_WO2004085477A1","Prepositional,AssociationPositive"
"4","CN(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(cc1)C(=O)N[C@@H](CCC(O)=O)C(O)=O","METHOTREXATE","DRUG","SARCOIDOSIS","SARCOIDOSIS","CONDITION","96.2529281368276","30","Medline_10746262,Medline_2196793,Pmcoa_3603204,Medline_23880702,Medline_12172455,Medline_5360308,Medline_5360310,Medline_2316559,Medline_5360309,Medline_5725738,Pmcoa_2072890,Pmcoa_4293394,Medline_9003847,Medline_26031148,Medline_12622609,Medline_6929567,Medline_7717793,Pmcoa_4094574,Pmcoa_2737791,Medline_21044457,Medline_7949645,Patent_WO2003103702A1,Pmcoa_4037970,Medline_25616361,Patent_WO2017019636A1,Patent_US20170050945,Medline_24334575,Medline_2252243,Medline_9789892,Medline_9003841","Prepositional,Treat,AssociationPositive"
"5","TNF","TNF","GENE","SARCOIDOSIS","SARCOIDOSIS","CONDITION","98.72669245370781","74","Medline_8635282,Pmcoa_3540653,Medline_16837501,Medline_17560312,Pmcoa_3603204,Pmcoa_3352267,Medline_29054587,Pmcoa_2118208,Pmcoa_2981761,Medline_20808167,Pmcoa_2643111,Pmcoa_3747407,Pmcoa_3095245,Medline_28124746,Pmcoa_3637087,Pmcoa_64817,Pmcoa_4586909,Medline_19382527,Medline_12870718,Medline_16247590,Medline_17261090,Medline_29496351,Pmcoa_3920421,Pmcoa_3724565,Pmcoa_5810034,Pmcoa_4696966,Medline_27462388,Pmcoa_3510393,Medline_12405487,Pmcoa_5256960,Medline_26419478,Medline_3799813,Medline_24604725,Pmcoa_4590933,Medline_11956055,Medline_12039524,Medline_11354543,Medline_23901289,Pmcoa_5685688,Medline_19225544,Pmcoa_3523152,Pmcoa_5192066,Medline_10335007,Medline_22195005,Pmcoa_3237595,Patent_US20060018906,Medline_27537723,Medline_14614765,Medline_8432140,Patent_WO1997041895A2,Medline_12449172,Medline_11243939,Medline_20001207,Medline_17768594,Medline_26164297,Medline_16840744,Medline_7474565,Pmcoa_2072890,Patent_WO2005030138A2,Patent_US20070224287,Pmcoa_3875971,Pmcoa_3876082,Pmcoa_4737745,Pmcoa_4393873,Pmcoa_5473387,Pmcoa_5859391,Medline_23157794,Medline_21381234,Medline_26029514,Medline_22128762,Medline_19208587,Pmcoa_3790023,Pmcoa_3542013,Medline_12921647","AssociationPositive,Association,AssociationNegative,Transcription,Modification,Treat,Prepositional,Regulation,GeneExpression,Similarity,Localization"
"6","C[C@]12CC(=O)[C@H]3[C@@H](CCC4=CC(=O)CC[C@]34C)[C@@H]1CC[C@]2(O)C(=O)CO","CORTISONE","DRUG","SARCOIDOSIS","SARCOIDOSIS","CONDITION","94.7643163959677","20","Medline_14796816,Medline_14902863,Medline_14902614,Medline_13125220,Medline_14835776,Medline_14873596,Medline_13051373,Medline_13182965,Medline_13201335,Medline_13873215,Medline_13055028,Medline_3174569,Medline_13347641,Medline_13489498,Medline_12991754,Medline_13034422,Medline_13080409,Medline_28907897,Pmcoa_5087199,Pmcoa_5565664","Prepositional,Treat,AssociationNegative"
"7","Cc1oncc1C(=O)Nc1ccc(cc1)C(F)(F)F","LEFLUNOMIDE","DRUG","SARCOIDOSIS","SARCOIDOSIS","CONDITION","86.10864701821032","3","Medline_15127968,Medline_17094333,Medline_15127974","Prepositional"
"8","C[C@H](CCCC(C)(C)O)[C@H]1CC[C@H]2\C(CCC[C@]12C)=C\C=C1\C[C@@H](O)C[C@H](O)C1=C","CALCITRIOL","DRUG","SARCOIDOSIS","SARCOIDOSIS","CONDITION","88.03608117104446","23","Medline_2166103,Patent_US20020049344,Patent_US20030018194,Patent_US20030149006,Patent_US20050227951,Patent_US6642218,Medline_3335611,Patent_US6376480,Patent_US6531459,Patent_US7211680,Patent_US6613920,Patent_US20050080058,Patent_US20030166622,Patent_US6372731,Patent_US6600058,Patent_US6603031,Patent_US7115758,Patent_US7071344,Pmcoa_5872784,Medline_15255428,Medline_7229793,Pmcoa_3014744,Pmcoa_2500026","Prepositional,AssociationPositive,AssociationNegative"
"9","CD79A","CD79A","GENE","SARCOIDOSIS","SARCOIDOSIS","CONDITION","85.45258725896132","2","Medline_8855136,Medline_15316417","Association,Prepositional"
"10","RBM45","RBM45","GENE","SARCOIDOSIS","SARCOIDOSIS","CONDITION","81.72814273730397","5","Patent_EP1582530B1,Medline_16321988,Medline_9130059,Pmcoa_2821522,Medline_25506722","Part_Of,Association,Prepositional,AssociationPositive"
"12","ACE","ACE","GENE","SARCOIDOSIS","SARCOIDOSIS","CONDITION","90.09663963853323","97","Pmcoa_3438270,Pmcoa_4707795,Medline_2985011,Pmcoa_4696084,Medline_10362030,Medline_2156032,Medline_231820,Medline_169692,Pmcoa_4738659,Medline_7955411,Medline_25966127,Medline_1664954,Medline_3033979,Medline_23311121,Pmcoa_5678335,Pmcoa_5182256,Pmcoa_4330460,Pmcoa_5105277,Medline_183757,Medline_26847094,Pmcoa_5036380,Medline_18496980,Medline_23089703,Medline_6259614,Medline_3028081,Medline_28032065,Medline_2984255,Medline_6265617,Medline_3031789,Medline_195458,Medline_24814734,Medline_6249067,Medline_6259928,Medline_6290143,Medline_6319781,Medline_16901684,Medline_6270985,Medline_6289705,Medline_3014583,Medline_3028219,Medline_6268903,Medline_6296555,Medline_85031,Medline_1280495,Medline_19367262,Medline_230396,Medline_200017,Medline_6288426,Medline_6310714,Medline_82838,Medline_220347,Medline_233420,Medline_184726,Medline_2844453,Medline_1669976,Medline_2175927,Medline_205523,Medline_22422021,Medline_225928,Medline_204909,Medline_8564143,Medline_213635,Medline_6189232,Medline_6247943,Medline_2997947,Medline_6252640,Medline_6294775,Medline_6318638,Medline_8046841,Medline_2992790,Medline_6098002,Medline_8213873,Medline_6279420,Patent_US20050203169,Medline_6287521,Medline_9772062,Medline_6253106,Medline_6290729,Medline_2982335,Medline_6272142,Patent_US20090196867,Medline_26563332,Medline_2824351,Medline_6291133,Medline_6313303,Medline_9098308,Medline_6257617,Medline_6258399,Pmcoa_5878857,Pmcoa_4504536,Medline_28295528,Medline_224741,Medline_6309003,Medline_15781381,Patent_WO1984004331A1,Pmcoa_4612475,Pmcoa_4763698","Similarity,Treat,AssociationNegative,Association,Prepositional,Help,Regulation,Binding,AssociationPositive,Follow"
"13","CD8A","CD8A","GENE","SARCOIDOSIS","SARCOIDOSIS","CONDITION","85.8565121062382","13","Medline_8339618,Medline_12094142,Medline_1839775,Medline_15572545,Medline_11694250,Medline_8238062,Pmcoa_5108373,Pmcoa_2939603,Pmcoa_2852744,Medline_19348268,Medline_27428439,Pmcoa_4919536,Pmcoa_5450335","AssociationNegative,Prepositional,Association,Modification"
"14","OC[C@H]1O[C@H](O)[C@H]([18F])[C@@H](O)[C@@H]1O","FLUDEOXYGLUCOSE (18F)","DRUG","SARCOIDOSIS","SARCOIDOSIS","CONDITION","87.60626504013256","9","Medline_19382534,Medline_23640228,Medline_18278208,Pmcoa_2169207,Pmcoa_4901153,Pmcoa_4912521,Pmcoa_4145158,Pmcoa_4807716,Medline_28079849","Prepositional,Predict"
"15","CC(C)[C@@H](C)\C=C\[C@@H](C)[C@H]1CC[C@H]2\C(CCC[C@]12C)=C\C=C1\C[C@@H](O)CCC1=C","ERGOCALCIFEROL","DRUG","SARCOIDOSIS","SARCOIDOSIS","CONDITION","78.62578538671275","2","Medline_20286526,Medline_19993429","Treat"
"16","MUC1","MUC1","GENE","SARCOIDOSIS","SARCOIDOSIS","CONDITION","83.43538004210251","8","Medline_21045068,Medline_16133026,Pmcoa_3394217,Pmcoa_4841967,Medline_22650152,Medline_29607232,Pmcoa_1215520,Pmcoa_5828552","Prepositional,Regulation,Similarity"
"18","MMP9","MMP9","GENE","SARCOIDOSIS","SARCOIDOSIS","CONDITION","89.09744246637483","4","Pmcoa_4736642,Medline_21959615,Pmcoa_3539463,Pmcoa_4522997","Prepositional,Association,AssociationPositive,Localization"
"19","TIMP2","TIMP2","GENE","SARCOIDOSIS","SARCOIDOSIS","CONDITION","77.14896245528091","6","Medline_21959615,Patent_WO2016073768A1,Patent_US20170335396,Patent_EP3215170A1,Pmcoa_3539463,Pmcoa_4736642","Prepositional"
"20","ADALIMUMAB","ADALIMUMAB","DRUG","SARCOIDOSIS","SARCOIDOSIS","CONDITION","92.25840509425053","15","Medline_22119879,Pmcoa_3332360,Pmcoa_5473387,Pmcoa_4191333,Medline_26029514,Medline_28124746,Pmcoa_3920421,Medline_22128762,Medline_24346872,Pmcoa_3875971,Medline_18762943,Pmcoa_3603204,Pmcoa_5810034,Pmcoa_3627473,Medline_27215507","TREAT,Prepositional,AssociationPositive,Treat"
"21","IL6","IL6","GENE","SARCOIDOSIS","SARCOIDOSIS","CONDITION","92.92134931923576","4","Medline_1569718,Medline_8635282,Medline_22871212,Pmcoa_5144133","Prepositional,AssociationPositive,Transcription"
"23","INFLIXIMAB","INFLIXIMAB","DRUG","SARCOIDOSIS","SARCOIDOSIS","CONDITION","96.01343188849052","45","Medline_26069750,Pmcoa_4400454,Pmcoa_3611045,Medline_21811048,Medline_18256069,Medline_26120779,Medline_23311125,Medline_23988768,Medline_19382534,Medline_12659618,Medline_17461746,Medline_16988163,Medline_20863968,Medline_18515552,Medline_19011506,Pmcoa_2724188,Pmcoa_3510393,Medline_25929955,Pmcoa_2948401,Pmcoa_3287122,Medline_21477573,Medline_21477572,Medline_23762724,Medline_15626311,Medline_27390275,Medline_29496351,Pmcoa_3671292,Medline_23866866,Medline_29030454,Medline_21601318,Medline_27222775,Pmcoa_3582434,Pmcoa_4821248,Pmcoa_5810034,Pmcoa_3603204,Medline_23329903,Medline_11354550,Medline_11462996,Medline_12186528,Medline_19420205,Medline_14746631,Medline_19886968,Medline_12186527,Pmcoa_3627473,Pmcoa_5887274","Prepositional,Treat,AssociationPositive,Similarity"
"26","OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C(F)=O","FLUORODEOXYGLUCOSE","DRUG","SARCOIDOSIS","SARCOIDOSIS","CONDITION","86.57204981866559","8","Medline_24893233,Medline_24132814,Medline_25007087,Medline_16160116,Pmcoa_4785205,Pmcoa_4541420,Pmcoa_3146448,Medline_9669387","Treat,Prepositional,AssociationPositive,Regulation,Similarity"
"30","VEGFA","VEGFA","GENE","SARCOIDOSIS","SARCOIDOSIS","CONDITION","92.99887077293896","8","Medline_11004846,Pmcoa_3536569,Pmcoa_4712597,Pmcoa_4590933,Medline_18330749,Pmcoa_4595322,Pmcoa_2821758,Pmcoa_4595252","Regulation,Prepositional,AssociationNegative"
"31","SCGB1A1","SCGB1A1","GENE","SARCOIDOSIS","SARCOIDOSIS","CONDITION","79.247569265133","4","Medline_11193763,Medline_15297273,Medline_11028653,Pmcoa_1215520","Prepositional,Association,AssociationPositive,Similarity"
"32","IL18","IL18","GENE","SARCOIDOSIS","SARCOIDOSIS","CONDITION","92.77376039974428","13","Medline_12006423,Medline_17015003,Medline_12735669,Medline_15140035,Medline_16100009,Medline_21834618,Pmcoa_4590933,Pmcoa_3857538,Medline_11123348,Patent_WO2004085477A1,Patent_EP1611154A1,Medline_11069843,Medline_16837501","Prepositional,AssociationPositive,Association,AssociationNegative"
"34","IL2RA","IL2RA","GENE","SARCOIDOSIS","SARCOIDOSIS","CONDITION","93.08253197509049","19","Pmcoa_4723126,Medline_25745051,Medline_19259660,Medline_12708075,Medline_1907694,Medline_2171882,Medline_1870863,Medline_20066543,Pmcoa_1215520,Patent_WO2000072836A2,Patent_WO2000041547A2,Medline_7680189,Pmcoa_4536796,Medline_28231569,Medline_3128148,Medline_18030581,Medline_1327664,Medline_2796047,Medline_28295528","Regulation,Prepositional,AssociationPositive,GeneExpression,Association"
"36","CCN(CC)CCCC(C)Nc1ccnc2cc(Cl)ccc12","CHLOROQUINE","DRUG","SARCOIDOSIS","SARCOIDOSIS","CONDITION","88.14809736773832","4","Medline_3119653,Medline_14117676,Medline_14025396,Medline_12233084","AssociationNegative,Prepositional,Treat,GeneExpression"
"37","ACTH","ACTH","GENE","SARCOIDOSIS","SARCOIDOSIS","CONDITION","85.12051019768751","3","Medline_14902614,Medline_195469,Medline_13051373","Prepositional"
"40","FAS","FAS","GENE","SARCOIDOSIS","SARCOIDOSIS","CONDITION","86.33682438333997","4","Medline_18223337,Medline_17986116,Medline_18588573,Pmcoa_4574219","Regulation,Predict,Similarity,Prepositional"
"42","CD14","CD14","GENE","SARCOIDOSIS","SARCOIDOSIS","CONDITION","84.91522638169636","4","Medline_1280495,Medline_20430603,Medline_18496988,Pmcoa_3542013","Similarity,AssociationPositive,Prepositional"
"43","IPILIMUMAB","IPILIMUMAB","DRUG","SARCOIDOSIS","SARCOIDOSIS","CONDITION","84.97129763155623","5","Medline_28207422,Pmcoa_5168862,Medline_22124094,Pmcoa_4949498,Pmcoa_4491696","AssociationPositive,Association"
"45","AKT1","AKT1","GENE","SARCOIDOSIS","SARCOIDOSIS","CONDITION","75.5294611678198","2","Medline_27564547,Pmcoa_5666545","Prepositional"
