"Link ID","Source name","Source Display Name","Source type","Target name","Target Display Name","Target type","Confidence","Documents","Document IDs","Relationships"
"1","IL12","IL12","GENE","SYSTEMIC LUPUS ERYTHEMATOSUS","SYSTEMIC LUPUS ERYTHEMATOSUS","CONDITION","94.89947224577494","37","Medline_12123550,Medline_10525320,Medline_17564777,Medline_15498048,Medline_18795942,Patent_EP2922846A1,Patent_EP2922841A1,Patent_EP2922841B8,Patent_US20150299183,Patent_EP2917186B1,Patent_EP2922841B1,Medline_9512904,Patent_EP2917186A1,Patent_US20170022192,Medline_9512905,Patent_US9315494,Patent_US20150307483,Patent_US20170209426,Patent_WO2015069310A1,Patent_WO2015089143A1,Patent_US20160280649,Patent_US20160304524,Patent_US9540333,Patent_WO2014074660A1,Patent_US20150299139,Patent_WO2017087590A1,Patent_US9505748,Patent_US9663467,Patent_WO2014074661A1,Patent_WO2014074670A1,Patent_EP1756138A2,Patent_US20060193821,Patent_US20090082555,Patent_US20070066550,Patent_WO2005086835A2,Medline_17985193,Medline_23884985","Regulation,Prepositional,Treat,AssociationNegative,Modification"
"2","C[C@]12CC[C@H]3[C@@H](CCc4cc(O)ccc34)[C@@H]1CC[C@@H]2O","ESTRADIOL","DRUG","SYSTEMIC LUPUS ERYTHEMATOSUS","SYSTEMIC LUPUS ERYTHEMATOSUS","CONDITION","96.84008105210808","49","Medline_11090698,Pmcoa_5722986,Medline_19793680,Medline_1301981,Pmcoa_1253759,Medline_20529085,Medline_17211990,Medline_24825143,Medline_9011978,Medline_18539708,Medline_27003314,Patent_EP1067913B1,Patent_US6086915,Pmcoa_4138076,Pmcoa_4747494,Pmcoa_5882779,Medline_21837431,Medline_3730740,Pmcoa_2793013,Medline_18389442,Medline_1984779,Pmcoa_2878324,Medline_25619140,Medline_9787119,Pmcoa_4709986,Medline_29255468,Medline_24495300,Medline_26708399,Pmcoa_4355457,Pmcoa_5025626,Medline_11315357,Medline_14676992,Medline_15743110,Medline_11407298,Medline_18061155,Medline_10779406,Medline_508372,Medline_7104055,Medline_3489342,Medline_7240374,Medline_8905552,Medline_6439564,Pmcoa_5783342,Pmcoa_5089223,Pmcoa_4958991,Pmcoa_4730466,Medline_24525049,Medline_28706407,Medline_9038719","Regulation,AssociationPositive,GeneExpression,AssociationNegative,Transcription,Association,Prepositional,Treat,Aggravate,methylation,RegulationPositive"
"3","Cc1oncc1C(=O)Nc1ccc(cc1)C(F)(F)F","LEFLUNOMIDE","DRUG","SYSTEMIC LUPUS ERYTHEMATOSUS","SYSTEMIC LUPUS ERYTHEMATOSUS","CONDITION","88.92260940832453","6","Pmcoa_3009611,Pmcoa_4686023,Medline_11480845,Medline_17094333,Medline_12017890,Medline_15462490","Treat,Prepositional"
"4","IFNA1","IFNA1","GENE","SYSTEMIC LUPUS ERYTHEMATOSUS","SYSTEMIC LUPUS ERYTHEMATOSUS","CONDITION","95.5605692344363","194","Pmcoa_4172218,Pmcoa_4854731,Medline_20815919,Pmcoa_2945060,Medline_15961346,Medline_21705616,Medline_25804673,Patent_US20150368338,Pmcoa_3169336,Patent_WO2015200165A1,Pmcoa_4240164,Medline_27534558,Pmcoa_3409502,Medline_28000522,Medline_25940912,Patent_US20130101602,Patent_US8658771,Pmcoa_3978460,Medline_21923413,Pmcoa_3791549,Patent_US20080171716,Patent_EP2056880A1,Patent_WO2008019486A1,Pmcoa_2688218,Pmcoa_2453773,Medline_19333924,Medline_28619037,Pmcoa_2833536,Pmcoa_5471711,Medline_11488639,Medline_14984025,Medline_11711679,Medline_12480262,Medline_10570325,Medline_18576315,Medline_16303107,Medline_20659327,Medline_21120500,Medline_18321389,Medline_17581626,Medline_20303780,Medline_21389264,Medline_25180061,Medline_20178121,Medline_21798883,Medline_25775145,Medline_25338677,Medline_21705624,Medline_18373699,Medline_19109131,Patent_EP2170311A1,Medline_27586799,Medline_28049380,Medline_21575916,Medline_26590315,Medline_26277892,Medline_29224681,Patent_EP2518160A1,Patent_EP1604205A2,Medline_9802930,Patent_US20090214557,Patent_US20120128710,Patent_US20140030264,Patent_US20140271648,Patent_US20150064205,Patent_EP2630968A1,Patent_EP2702169A1,Patent_US20050064401,Patent_EP2077821A1,Patent_EP2477655A2,Patent_US20070238094,Patent_US20100151000,Patent_EP2970461A1,Patent_EP2635305A1,Patent_US20070202106,Patent_US20070237763,Patent_US20090214565,Patent_US20110311558,Patent_US20180002418,Patent_US9561272,Patent_US20070117105,Patent_US20110081343,Patent_WO2005052126A2,Patent_US20140099648,Patent_EP2151504A1,Patent_WO2008115750A2,Patent_WO2012061203A1,Patent_WO2008043157A1,Patent_US9642822,Patent_WO2008109558A2,Patent_WO2010015632A2,Patent_US20120177597,Patent_US8389694,Patent_WO2014151422A1,Pmcoa_3446541,Patent_WO2008144011A1,Patent_US9017697,Patent_US20150202285,Pmcoa_2193854,Pmcoa_2910508,Pmcoa_2947062,Patent_WO2012146783A1,Patent_US9631235,Patent_WO2002018632A2,Patent_WO2011032161A2,Pmcoa_1526567,Pmcoa_3196871,Pmcoa_3408474,Pmcoa_3239333,Patent_US9315580,Patent_WO2012166611A2,Pmcoa_2213213,Pmcoa_2945049,Pmcoa_3377102,Pmcoa_3672755,Pmcoa_3788378,Pmcoa_3978614,Patent_WO2004082635A2,Pmcoa_5564555,Pmcoa_5818443,Pmcoa_5054935,Patent_WO2016176222A1,Pmcoa_4246916,Pmcoa_3060320,Pmcoa_5663269,Pmcoa_4830934,Pmcoa_4305028,Pmcoa_5380685,Pmcoa_2212890,Pmcoa_5905401,Pmcoa_2193846,Pmcoa_3439981,Medline_16736505,Pmcoa_4756531,Medline_15314491,Pmcoa_4172228,Pmcoa_5052287,Pmcoa_4992389,Patent_EP2714080A1,Pmcoa_2575605,Pmcoa_5733219,Pmcoa_5748321,Patent_US20080166319,Patent_US7919078,Medline_8903853,Medline_16645992,Medline_15565395,Medline_20353741,Pmcoa_3824374,Medline_11480846,Medline_15728455,Medline_18524426,Pmcoa_2834132,Medline_12188106,Medline_20298124,Patent_WO2008137552A2,Medline_1690258,Medline_2483602,Pmcoa_2950308,Pmcoa_4484229,Medline_22307521,Patent_US20060275298,Patent_EP1351707B1,Patent_EP2236156A2,Patent_EP1351707B9,Patent_US7544357,Patent_US20020160974,Patent_EP1351707A2,Patent_WO2002067760A2,Patent_US20090263474,Pmcoa_5649081,Medline_21315035,Medline_24379124,Patent_EP3262049A1,Patent_EP3110820A1,Patent_US20160251376,Patent_US20150266875,Patent_US20170247373,Patent_US9340540,Patent_US20160297826,Patent_US20170066763,Patent_US20170305933,Patent_US9630970,Patent_WO2016138352A1,Patent_WO2017040757A1,Patent_WO2015131080A1,Medline_20131244,Pmcoa_3207297,Medline_20805419,Pmcoa_3509422,Pmcoa_4374755,Medline_18354236,Pmcoa_5133406,Medline_28779021","Regulation,Treat,Modification,Association,GeneExpression,Similarity,Prepositional,AssociationPositive,AssociationNegative,Part_Of,Precipitate"
"5","C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO","DEXAMETHASONE","DRUG","SYSTEMIC LUPUS ERYTHEMATOSUS","SYSTEMIC LUPUS ERYTHEMATOSUS","CONDITION","86.56741541378443","3","Pmcoa_4397023,Medline_11570643,Medline_8371219","TREAT,Treat,AssociationPositive,AssociationNegative"
"6","TNFRSF1B","TNFRSF1B","GENE","SYSTEMIC LUPUS ERYTHEMATOSUS","SYSTEMIC LUPUS ERYTHEMATOSUS","CONDITION","91.97425472234674","9","Medline_11762942,Medline_11197692,Pmcoa_1779567,Medline_11600223,Medline_12739039,Medline_11196716,Medline_26749069,Medline_19684152,Medline_10395102","Prepositional,Association,AssociationPositive"
"7","CD40LG","CD40LG","GENE","SYSTEMIC LUPUS ERYTHEMATOSUS","SYSTEMIC LUPUS ERYTHEMATOSUS","CONDITION","95.78176924861026","63","Medline_11751940,Medline_20506525,Patent_EP2114432A2,Medline_8698875,Patent_US20030220473,Patent_US7495090,Patent_US20080318886,Patent_WO2003099340A1,Patent_US20110177556,Patent_EP1509253B1,Patent_EP1509253A1,Patent_WO2008070743A2,Patent_EP2114432B1,Patent_US8138310,Pmcoa_3428310,Pmcoa_2212561,Medline_26936892,Medline_28793932,Pmcoa_5550984,Medline_17211990,Patent_US7169387,Patent_US20050008636,Patent_US20070110745,Patent_US20100061985,Patent_US7579001,Patent_US20120027751,Patent_WO2000042073A1,Patent_US8440189,Medline_15613107,Medline_28550400,Pmcoa_4126210,Medline_11604589,Medline_17877113,Medline_10323442,Medline_11823542,Medline_10510335,Medline_15230298,Medline_15103242,Medline_15828909,Medline_18590112,Medline_16188945,Medline_16881361,Medline_20585032,Medline_17237447,Patent_US20070178087,Patent_US20090263348,Patent_US20130108621,Patent_US20160333102,Patent_US20130295085,Patent_US8852597,Patent_US7332298,Patent_US20130136734,Patent_US7300774,Patent_WO2012138768A2,Patent_US20160060348,Patent_WO2017160975A1,Patent_US9321833,Patent_US9758587,Patent_US9028826,Pmcoa_3202102,Patent_WO2017011544A1,Patent_WO2001019844A1,Pmcoa_5794761","GeneExpression,AssociationPositive,Association,Prepositional,Transcription,AssociationNegative,Treat"
"9","PRL","PRL","GENE","SYSTEMIC LUPUS ERYTHEMATOSUS","SYSTEMIC LUPUS ERYTHEMATOSUS","CONDITION","91.86979706507866","43","Medline_8620091,Medline_14528507,Medline_14870917,Medline_21205462,Medline_8563728,Medline_7920527,Medline_9706433,Medline_21945780,Pmcoa_3353839,Medline_11305794,Medline_9736320,Medline_11721701,Medline_11669159,Medline_11397862,Medline_11721703,Medline_11155810,Medline_11315926,Medline_11407692,Medline_12559630,Medline_10756771,Medline_11789490,Medline_11721702,Medline_21207638,Medline_15462486,Medline_17933471,Medline_19911311,Medline_23569517,Medline_27666289,Medline_28420051,Medline_26770558,Medline_9736323,Medline_7869311,Medline_8882050,Medline_9736322,Medline_9736324,Medline_9134821,Pmcoa_3615941,Pmcoa_2792358,Pmcoa_3313762,Medline_12867581,Pmcoa_3505372,Medline_26844452,Medline_9629303","Association,GeneExpression,Regulation,Prepositional,AssociationPositive,Similarity,Treat"
"10","IL18","IL18","GENE","SYSTEMIC LUPUS ERYTHEMATOSUS","SYSTEMIC LUPUS ERYTHEMATOSUS","CONDITION","95.75116733259186","21","Medline_25204040,Pmcoa_5776671,Medline_23914907,Medline_21149337,Pmcoa_2888200,Pmcoa_3033184,Medline_21126942,Medline_17364073,Medline_23577265,Pmcoa_3612460,Medline_18250135,Medline_15168150,Medline_12139372,Medline_18590113,Medline_15975968,Medline_21120501,Medline_19758166,Pmcoa_5052569,Medline_26465326,Pmcoa_4605611,Medline_18050226","RegulationPositive,Prepositional,AssociationPositive,Association,Regulation,Similarity"
"11","CCN(CCO)CCCC(C)Nc1ccnc2cc(Cl)ccc12","HYDROXYCHLOROQUINE","DRUG","SYSTEMIC LUPUS ERYTHEMATOSUS","SYSTEMIC LUPUS ERYTHEMATOSUS","CONDITION","94.6657221790456","84","Patent_EP2967062A1,Patent_US20170172998,Patent_US20140275164,Patent_WO2014144944A1,Patent_US9616057,Medline_24855048,Medline_24851683,Medline_28793932,Pmcoa_5550984,Medline_27927040,Patent_US20020151564,Patent_WO2016176222A1,Pmcoa_3446541,Medline_17664230,Medline_1485814,Pmcoa_5460429,Medline_23144449,Medline_26579125,Pmcoa_4378375,Pmcoa_4623412,Medline_27263963,Medline_29081653,Pmcoa_5652906,Medline_17711898,Medline_22343096,Medline_22734582,Medline_29669768,Medline_22160434,Medline_22202645,Medline_29545450,Pmcoa_3886602,Pmcoa_5358455,Pmcoa_5427554,Pmcoa_5446003,Medline_11315975,Medline_22641182,Medline_15079764,Pmcoa_5814237,Medline_26316040,Medline_22168306,Medline_1017229,Medline_26749299,Medline_28142291,Pmcoa_4252947,Pmcoa_5790731,Pmcoa_3522006,Medline_23778483,Pmcoa_3674253,Medline_20391485,Medline_22089460,Pmcoa_5831976,Pmcoa_4455857,Medline_12139373,Medline_17434394,Medline_21417950,Medline_10229401,Medline_1886629,Medline_22943753,Medline_22635222,Medline_23425382,Medline_27745934,Medline_26555405,Medline_29157178,Medline_27417340,Medline_28659047,Pmcoa_5783866,Pmcoa_5383461,Pmcoa_5298362,Medline_22333122,Medline_28894082,Medline_22481059,Medline_27349992,Medline_29496271,Pmcoa_2965916,Pmcoa_4594997,Pmcoa_5604309,Pmcoa_3616729,Medline_20397038,Medline_28500073,Medline_9051865,Pmcoa_4317237,Pmcoa_3446518,Pmcoa_5133640,Pmcoa_4454213","Regulation,Association,Treat,AssociationNegative,AssociationPositive,Prepositional"
