Source,Target
TNNI3,ACTIVE RHEUMATIC FEVER
POMC,ACTIVE RHEUMATIC FEVER
HP,ACTIVE RHEUMATIC FEVER
CRP,ACTIVE RHEUMATIC FEVER
RHD,ACTIVE RHEUMATIC FEVER
CCDC183,ACTIVE RHEUMATIC FEVER
F2,ACTIVE RHEUMATIC FEVER
ALB,ACTIVE RHEUMATIC FEVER
TNF,ACTIVE RHEUMATIC FEVER
IL6,ACTIVE RHEUMATIC FEVER
POMC,ACUTE GOUT
IL1B,ACUTE GOUT
PTGS2,ACUTE GOUT
IL6,AGE RELATED OSTEOPOROSIS
ESR1,AGE RELATED OSTEOPOROSIS
PTH,AGE RELATED OSTEOPOROSIS
TNFSF11,AGE RELATED OSTEOPOROSIS
TNFRSF11B,AGE RELATED OSTEOPOROSIS
IGF1,AGE RELATED OSTEOPOROSIS
GH1,AGE RELATED OSTEOPOROSIS
PRL,AGE RELATED OSTEOPOROSIS
CSF1R,AGE RELATED OSTEOPOROSIS
VDR,AGE RELATED OSTEOPOROSIS
RUNX2,AGE RELATED OSTEOPOROSIS
NFKB1,AGE RELATED OSTEOPOROSIS
HSD11B1,AGE RELATED OSTEOPOROSIS
AR,AGE RELATED OSTEOPOROSIS
BGLAP,AGE RELATED OSTEOPOROSIS
TNF,AGE RELATED OSTEOPOROSIS
LRP5,AGE RELATED OSTEOPOROSIS
PTHLH,AGE RELATED OSTEOPOROSIS
NOS2,AGE RELATED OSTEOPOROSIS
CSF1,AGE RELATED OSTEOPOROSIS
PTK2B,AGE RELATED OSTEOPOROSIS
CTSK,AGE RELATED OSTEOPOROSIS
ADIPOQ,AGE RELATED OSTEOPOROSIS
KL,AGE RELATED OSTEOPOROSIS
LCT,AGE RELATED OSTEOPOROSIS
MMP9,AGE RELATED OSTEOPOROSIS
COL1A1,AGE RELATED OSTEOPOROSIS
IL1B,AGE RELATED OSTEOPOROSIS
HSPB3,AGE RELATED OSTEOPOROSIS
SOST,AGE RELATED OSTEOPOROSIS
CD34,AGE RELATED OSTEOPOROSIS
LEP,AGE RELATED OSTEOPOROSIS
PTH1R,AGE RELATED OSTEOPOROSIS
SIRT1,AGE RELATED OSTEOPOROSIS
PPARG,AGE RELATED OSTEOPOROSIS
