"Link ID","Source name","Source Display Name","Source type","Target name","Target Display Name","Target type","Confidence","Documents","Document IDs","Relationships"
"0","NC(=O)NO","HYDROXYCARBAMIDE","DRUG","PSORIASIS","PSORIASIS","CONDITION","93.1282301558715","5","Medline_4133022,Medline_7397816,Medline_1054261,Medline_4643395,Medline_4692125","Treat,Prepositional"
"1","CN(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(cc1)C(=O)N[C@@H](CCC(O)=O)C(O)=O","METHOTREXATE","DRUG","PSORIASIS","PSORIASIS","CONDITION","97.94761077018354","89","Medline_356763,Medline_4444743,Medline_5310496,Medline_5469272,Medline_5914561,Medline_5695945,Medline_5818508,Medline_4542005,Medline_5397170,Medline_778295,Medline_4729773,Medline_7000451,Medline_4709901,Medline_4930355,Medline_5441040,Medline_5108291,Medline_5934378,Medline_602766,Patent_US3937822,Medline_1054764,Medline_4172709,Medline_5015292,Medline_5012144,Medline_5410994,Medline_5675991,Medline_6054222,Medline_4502393,Medline_4586960,Medline_5668252,Medline_5723067,Medline_6966936,Medline_6046389,Medline_5740856,Medline_4172806,Medline_4177959,Medline_4434781,Medline_4177237,Medline_4243752,Medline_4172807,Medline_4210558,Medline_5383585,Medline_5403653,Medline_7364974,Medline_5510735,Medline_7369769,Medline_5022031,Medline_4169155,Medline_4164809,Medline_641369,Medline_5032922,Medline_5822366,Medline_4251912,Medline_5289429,Medline_5640845,Medline_14107621,Medline_14309986,Medline_424787,Medline_93377,Medline_736591,Medline_5424478,Medline_4853200,Medline_5467667,Medline_4099147,Medline_4431967,Medline_7405393,Medline_4109281,Medline_4551804,Medline_319725,Medline_1225656,Medline_1119817,Medline_4750546,Medline_5501902,Medline_5005520,Medline_5353489,Medline_4716739,Medline_5539502,Medline_433728,Medline_71818,Medline_4579196,Medline_5915387,Medline_6066717,Medline_5761810,Medline_5350403,Medline_4741015,Medline_5830614,Medline_5471371,Medline_4171361,Medline_4758150,Medline_4783020","Regulation,TREAT,Prepositional,Treat,AssociationPositive"
"3","COc1cc2CC[C@H](NC(C)=O)c3cc(=O)c(OC)ccc3-c2c(OC)c1OC","COLCHICINE","DRUG","PSORIASIS","PSORIASIS","CONDITION","92.44799237392255","3","Medline_6162337,Medline_1267467,Medline_1119820","Prepositional"
"5","C\C(\C=C\C1=C(C)CCCC1(C)C)=C/C=C/C(/C)=C/C(O)=O","TRETINOIN","DRUG","PSORIASIS","PSORIASIS","CONDITION","96.1400370811569","8","Medline_134523,Medline_5802862,Medline_5479312,Medline_4706460,Medline_5080344,Medline_4885330,Medline_4566493,Medline_4648740","Prepositional"
"6","CC(C)NNC(=O)c1ccncc1","IPRONIAZID","DRUG","PSORIASIS","PSORIASIS","CONDITION","76.61070479682944","2","Medline_13620511,Medline_14446703","Prepositional,Treat"
"7","C[C@]12C[C@H](O)[C@@]3(F)[C@@H](CCC4=CC(=O)C=C[C@]34C)[C@@H]1C[C@@H](O)[C@]2(O)C(=O)CO","TRIAMCINOLONE","DRUG","PSORIASIS","PSORIASIS","CONDITION","91.47055848758043","6","Medline_13931226,Medline_13881296,Medline_14417936,Medline_14407160,Medline_13704503,Medline_13789584","Prepositional,Treat"
"8","OC(=O)c1cccnc1","NICOTINIC ACID","DRUG","PSORIASIS","PSORIASIS","CONDITION","89.24628432539035","3","Medline_14018924,Medline_4432619,Medline_14134545","Prepositional"
"10","Nc1nc(N)c2nc(CNc3ccc(cc3)C(=O)NC(CCC(O)=O)C(O)=O)cnc2n1","AMINOPTERIN","DRUG","PSORIASIS","PSORIASIS","CONDITION","88.33947569742662","7","Medline_13499602,Medline_5051503,Medline_13726586,Medline_319725,Medline_14206858,Medline_13740302,Medline_14397845","Prepositional,Treat"
"11","C\C(=C/CO)\C=C\C=C(/C)\C=C\C1=C(C)CCCC1(C)C","RETINOL","DRUG","PSORIASIS","PSORIASIS","CONDITION","95.80867081687614","4","Medline_1163337,Medline_4680624,Medline_5003433,Medline_5152070","Prepositional,Treat"
"14","CP","CP","GENE","PSORIASIS","PSORIASIS","CONDITION","86.69940323556855","3","Medline_1015800,Medline_5336014,Medline_5916129","Prepositional"
