"Link ID","Source name","Source Display Name","Source type","Target name","Target Display Name","Target type","Confidence","Documents","Document IDs","Relationships"
"0","C[C@]12CC(=O)[C@H]3[C@@H](CCC4=CC(=O)CC[C@]34C)[C@@H]1CC[C@]2(O)C(=O)CO","CORTISONE","DRUG","ARTHRITIS","ARTHRITIS","CONDITION","96.09358462495491","31","Medline_14869221,Medline_13180294,Medline_14865688,Medline_12990838,Medline_14861917,Medline_14906748,Medline_13112984,Medline_13218036,Medline_14858147,Medline_14886141,Medline_13248615,Medline_13409164,Medline_14807965,Medline_14405150,Medline_14866050,Medline_13527463,Medline_14094436,Medline_14219320,Medline_13238241,Medline_14876398,Medline_13113151,Medline_13077839,Medline_13616546,Medline_14883602,Medline_12984555,Medline_14931319,Medline_13433192,Medline_4182294,Medline_12978868,Medline_7290467,Medline_14950153","Prepositional,Treat"
"1","NC[C@H](O)c1ccc(O)c(O)c1","NOREPINEPHRINE","DRUG","ARTHRITIS","ARTHRITIS","CONDITION","73.13926189634614","1","Medline_13575407","Prepositional"
"2","CCN(CC)CCCC(C)Nc1ccnc2cc(Cl)ccc12","CHLOROQUINE","DRUG","ARTHRITIS","ARTHRITIS","CONDITION","95.35270300817746","11","Medline_2890505,Medline_14442857,Medline_13265054,Medline_6087474,Medline_13613595,Medline_13892304,Medline_14442785,Medline_13663629,Medline_13593482,Medline_14322757,Medline_13976283","Association,Prepositional,Treat"
"3","Cl.CNC1=Nc2ccc(Cl)cc2C(c2ccccc2)=[N+]([O-])C1","CHLORDIAZEPOXIDE HYDROCHLORIDE","DRUG","ARTHRITIS","ARTHRITIS","CONDITION","65.1201679394891","1","Medline_14159668","Prepositional"
"4","CRP","CRP","GENE","ARTHRITIS","ARTHRITIS","CONDITION","93.56523579998368","5","Medline_14357357,Medline_5850072,Medline_4134651,Medline_6681126,Medline_3418644","Prepositional"
"5","ACTH","ACTH","GENE","ARTHRITIS","ARTHRITIS","CONDITION","91.48539612887411","13","Medline_14906748,Medline_13409140,Medline_14815187,Medline_14796931,Medline_12990838,Medline_14869221,Medline_14886141,Medline_15418399,Medline_13409164,Medline_14858147,Medline_14861917,Medline_14080412,Medline_14958425","Prepositional,Treat"
"6","CN(CC(O)=O)C(N)=N","CREATINE","DRUG","ARTHRITIS","ARTHRITIS","CONDITION","89.99797589838727","3","Medline_12978881,Medline_18126737,Medline_14915429","Prepositional"
"7","C[C@]12CC(=O)[C@H]3[C@@H](CCC4=CC(=O)C=C[C@]34C)[C@@H]1CC[C@]2(O)C(=O)CO","PREDNISONE","DRUG","ARTHRITIS","ARTHRITIS","CONDITION","95.54945503515118","10","Medline_96995,Medline_13282747,Medline_13351581,Medline_13325758,Medline_13318357,Medline_13290506,Medline_13344272,Medline_13393265,Medline_5979886,Medline_4975411","TREAT,AssociationNegative,Prepositional"
"8","COc1ccc(cc1O)[C@@H]1CC(=O)c2c(O)cc(O[C@@H]3O[C@H](CO[C@@H]4O[C@@H](C)[C@H](O)[C@@H](O)[C@H]4O)[C@@H](O)[C@H](O)[C@H]3O)cc2O1","HESPERIDIN","DRUG","ARTHRITIS","ARTHRITIS","CONDITION","90.1243573057886","1","Medline_13398550","Prepositional"
"9","Oc1ccccc1C([O-])=O","SALICYLATE","DRUG","ARTHRITIS","ARTHRITIS","CONDITION","89.55028970274185","4","Medline_14426756,Medline_20265339,Medline_7093867,Medline_703688","Prepositional,Treat"
"10","CSCC[C@H](NC(=O)[C@H](CO)NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@@H](N)CO)C(=O)N[C@@H](CCC(O)=O)C(=O)N[C@@H](Cc1cnc[nH]1)C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](CCCNC(N)=N)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)NCC(=O)N[C@@H](CCCCN)C(=O)N1CCC[C@H]1C(=O)N[C@@H](C(C)C)C(=O)NCC(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCCNC(N)=N)C(=O)N[C@@H](CCCNC(N)=N)C(=O)N1CCC[C@H]1C(=O)N[C@@H](C(C)C)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](C(C)C)C(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CC(N)=O)C(=O)NCC(=O)N[C@@H](C)C(=O)N[C@@H](CCC(O)=O)C(=O)N[C@@H](CC(O)=O)C(=O)N[C@@H](CCC(O)=O)C(=O)N[C@@H](CO)C(=O)N[C@@H](C)C(=O)N[C@@H](CCC(O)=O)C(=O)N[C@@H](C)C(=O)N[C@@H](Cc1ccccc1)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCC(O)=O)C(=O)N[C@@H](Cc1ccccc1)C(O)=O","CORTICOTROPIN","DRUG","ARTHRITIS","ARTHRITIS","CONDITION","94.32279207881878","13","Medline_12990838,Medline_14906748,Medline_14796931,Medline_15418399,Medline_13107373,Medline_14858147,Medline_14886141,Medline_13409140,Medline_14869221,Medline_14080412,Medline_13718283,Medline_14876398,Medline_14958425","Prepositional,Treat"
"11","CC(=O)OCC(=O)[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C","DESOXYCORTICOSTERONE ACETATE","DRUG","ARTHRITIS","ARTHRITIS","CONDITION","79.41354820988235","2","Medline_14853107,Medline_13007384","Prepositional,Treat"
"12","CC(=O)OCC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3[C@@H](O)C[C@]12C","HYDROCORTISONE ACETATE","DRUG","ARTHRITIS","ARTHRITIS","CONDITION","80.16598012787564","2","Medline_13389946,Medline_13178032","Prepositional"
"13","N(c1ccccc1)c1ccccc1","DIPHENYL AMINE","DRUG","ARTHRITIS","ARTHRITIS","CONDITION","67.2210492308178","1","Medline_13665917","Prepositional"
"14","CC1(C)S[C@@H]2[C@H](NC(*)=O)C(=O)N2[C@H]1C(O)=O","PENICILLIN","DRUG","ARTHRITIS","ARTHRITIS","CONDITION","90.7134528929766","5","Medline_20282763,Medline_18856766,Medline_14788001,Medline_6967272,Medline_20983792","Prepositional,AssociationNegative,Treat"
"15","ClCCN(CCCl)P1(=O)NCCCO1","CYCLOPHOSPHAMIDE","DRUG","ARTHRITIS","ARTHRITIS","CONDITION","96.0517319553961","17","Medline_305933,Medline_307465,Medline_2339671,Medline_1093503,Medline_7247975,Medline_6524885,Medline_4103138,Medline_5082180,Medline_3437603,Medline_5152706,Medline_5152710,Medline_2138672,Medline_7352945,Medline_7237504,Medline_7082399,Medline_685513,Medline_1174636","Regulation,AssociationNegative,Treat,Regress,Prepositional,Cure,AssociationPositive"
"16","COc1ccc2n(C(=O)c3ccc(Cl)cc3)c(C)c(CC(O)=O)c2c1","INDOMETACIN","DRUG","ARTHRITIS","ARTHRITIS","CONDITION","97.28385172968657","21","Medline_3989472,Medline_4895341,Pmcoa_2187607,Medline_1254374,Medline_14240278,Medline_133645,Medline_195764,Medline_5955419,Medline_327517,Medline_5680335,Medline_2581324,Medline_899977,Medline_5997970,Medline_392647,Medline_5380937,Patent_WO1990004398A1,Patent_US4208414,Medline_2782971,Medline_5932803,Medline_20726044,Medline_7046034","AssociationNegative,Regulation,AssociationPositive,Prepositional,Treat,Similarity"
"17","C[C@]12C[C@H](O)[C@H]3[C@@H](CCC4=CC(=O)CC[C@]34C)[C@@H]1CC[C@]2(O)C(=O)CO","HYDROCORTISONE","DRUG","ARTHRITIS","ARTHRITIS","CONDITION","95.44986114412967","13","Medline_305933,Medline_13108900,Medline_13395266,Medline_13241500,Medline_13506235,Medline_14372752,Medline_13282227,Medline_13183970,Medline_13389946,Medline_5373398,Medline_7247975,Medline_13244198,Patent_US4956381","Regulation,Prepositional,Regress"
"18","CN(CCCl)CCCl","CHLORMETHINE","DRUG","ARTHRITIS","ARTHRITIS","CONDITION","86.40254746253737","3","Medline_13196509,Medline_14890578,Medline_2225450","Prepositional"
"19","CCN(CC)CCOC(=O)c1ccc(N)cc1","PROCAINE","DRUG","ARTHRITIS","ARTHRITIS","CONDITION","72.02001925046333","1","Medline_13395266","Prepositional"
