"Link ID","Source name","Source Display Name","Source type","Target name","Target Display Name","Target type","Confidence","Documents","Document IDs","Relationships"
"0","VDR","VDR","GENE","AGE RELATED OSTEOPOROSIS","AGE RELATED OSTEOPOROSIS","CONDITION","89.98254506247301","17","Patent_US6605639,Medline_14527203,Medline_10907990,Medline_10884183,Medline_9030833,Pmcoa_128904,Medline_10322698,Medline_7934357,Medline_8676709,Medline_7983982,Medline_7983983,Medline_8650247,Patent_WO1996022387A1,Medline_15524410,Medline_10605626,Medline_12570835,Patent_WO1999019354A1","Regulation,Prepositional,Predict,AssociationPositive,Treat"
"1","NCCCC(O)(P(O)(O)=O)P(O)(O)=O","ALENDRONIC ACID","DRUG","AGE RELATED OSTEOPOROSIS","AGE RELATED OSTEOPOROSIS","CONDITION","94.68788730743728","106","Patent_US20040063628,Medline_11991437,Medline_14565594,Medline_9445833,Medline_14550817,Medline_15775546,Patent_EP1414486A2,Patent_US20040116375,Patent_US6770620,Medline_11062355,Medline_10234582,Patent_EP0759757A1,Patent_EP0759757B1,Medline_16036078,Medline_8915664,Medline_10375295,Medline_9188318,Medline_10620343,Medline_15095621,Medline_12627984,Medline_12861347,Medline_10793867,Medline_11485342,Medline_10710050,Medline_11000341,Medline_12414621,Medline_14630840,Medline_12528472,Medline_15775068,Medline_15193554,Medline_19078150,Medline_9278398,Medline_8070316,Medline_7902239,Medline_8989272,Patent_US20030042204,Medline_8948272,Medline_9506003,Medline_9626638,Patent_EP0883404A1,Patent_US20020169148,Patent_EP0824341A1,Patent_US20040005345,Patent_US20010046977,Patent_US6616846,Patent_WO2004078261A1,Patent_WO2002009631A1,Patent_WO2004078163A2,Patent_WO1997031640A1,Patent_WO1996035407A1,Patent_WO2004067063A2,Patent_WO1996038156A1,Patent_WO1996031227A1,Medline_12577179,Medline_11035904,Medline_11132054,Patent_US5914099,Medline_14764315,Medline_14619061,Medline_9016728,Patent_US20040062802,Medline_12020160,Medline_11459259,Medline_15344210,Medline_11932272,Medline_12608943,Medline_10341016,Medline_11730259,Medline_15251673,Medline_10375203,Medline_12425805,Medline_11069197,Medline_14671165,Medline_17516720,Medline_7703618,Medline_9351879,Medline_9324817,Medline_9059001,Patent_US20030158154,Patent_WO2004058235A2,Patent_WO2003007916A1,Medline_11471319,Medline_15002282,Medline_9382121,Patent_US20030022161,Patent_US20040029202,Medline_12385509,Medline_11410457,Medline_11438917,Medline_10338731,Medline_10927664,Medline_15250064,Medline_12190044,Medline_10955341,Medline_12789190,Medline_12218724,Medline_15250063,Medline_15250065,Medline_15775410,Medline_15247362,Medline_9512836,Medline_9116385,Medline_9459879,Patent_US6387956,Patent_US5462932,Pmcoa_130028","Regulation,TREAT,Treat,AssociationNegative,Association,AssociationPositive,Help,Prepositional,Follow"
"2","RUNX2","RUNX2","GENE","AGE RELATED OSTEOPOROSIS","AGE RELATED OSTEOPOROSIS","CONDITION","82.78318749534002","2","Medline_10875310,Patent_US20040235728","Treat"
"3","IL6","IL6","GENE","AGE RELATED OSTEOPOROSIS","AGE RELATED OSTEOPOROSIS","CONDITION","92.71762424206649","78","Medline_11281165,Medline_12218373,Medline_15240611,Patent_US20030100603,Medline_12764913,Patent_WO2000072864A1,Patent_US6472179,Patent_WO1997038103A1,Medline_11113455,Medline_12519862,Patent_EP1414810A2,Patent_EP1232150A1,Patent_EP1438048A1,Patent_EP1163236A1,Patent_EP1395561A1,Patent_US20020065285,Patent_US20020055507,Patent_US20010039290,Patent_EP1381594A1,Patent_EP1480973A1,Patent_EP1028953A1,Patent_EP1392661A1,Patent_US20020082256,Patent_US20030225053,Patent_US20030232865,Patent_US20040077647,Patent_US20040192748,Patent_US20030162968,Patent_US20040110755,Patent_US20040152725,Patent_US20030008868,Patent_US20030225077,Patent_US20020032195,Patent_US20030130309,Patent_US20040102492,Patent_US20020058678,Patent_US20030060455,Patent_US20040019038,Patent_US6080763,Patent_US6506748,Patent_US6656933,Patent_US6765009,Patent_US6492393,Patent_US20030092702,Patent_US20030100608,Patent_US20030125354,Patent_US6525046,Patent_US6319921,Patent_US20040186114,Patent_US6372773,Patent_US6432995,Patent_US6492529,Patent_US6608052,Patent_US6660732,Patent_US6228881,Patent_US6329415,Patent_US6825184,Patent_US6476023,Patent_US6297381,Patent_US6720321,Patent_US6743788,Patent_WO2000055152A1,Patent_US6333325,Patent_US6358945,Patent_WO2001036403A1,Patent_WO2004014870A1,Patent_WO2004014387A1,Patent_WO2002083642A1,Patent_WO2002092576A1,Patent_WO2002096876A1,Patent_US6242453,Patent_WO2003072569A1,Patent_WO1999023091A1,Patent_WO2003087085A1,Patent_WO2003032989A1,Medline_11254686,Patent_EP0912759B1,Patent_EP0912759A2","Regulation,Similarity,Prepositional,AssociationPositive,Association,Part_Of"
"4","[Na+].C[C@]12CC[C@H]3[C@@H](CCc4cc(OS([O-])(=O)=O)ccc34)[C@@H]1CCC2=O","ESTRONE SODIUM SULFATE","DRUG","AGE RELATED OSTEOPOROSIS","AGE RELATED OSTEOPOROSIS","CONDITION","96.08603711036045","58","Patent_US20010051636,Patent_US20030216358,Patent_US20040167080,Patent_WO2002007733A2,Medline_9413936,Medline_9749893,Patent_US5424331,Patent_WO1994008536A1,Medline_2970444,Medline_11113455,Patent_US20030220377,Patent_US20040002524,Patent_WO2004000817A2,Patent_EP1028724A1,Patent_US20030148466,Patent_WO1999024031A1,Patent_WO2003033665A2,Patent_WO1999024032A1,Medline_15775546,Patent_EP1082319A1,Patent_EP0607268B1,Medline_7046670,Patent_EP0607268A1,Medline_9182853,Patent_US20040224884,Patent_US6416737,Medline_2517704,Medline_863448,Medline_11181531,Medline_12237295,Medline_10954771,Medline_3728509,Medline_9506003,Medline_8146998,Patent_WO2000075660A1,Patent_EP1382340A1,Medline_2038641,Patent_WO2004016639A1,Pmcoa_138658,Patent_WO2000028982A2,Patent_WO2000020007A1,Medline_7400303,Medline_11546554,Medline_7098615,Medline_2532784,Medline_7839330,Medline_13678329,Patent_US20020151876,Patent_US20040038946,Patent_WO2001080898A1,Patent_WO2002062352A2,Medline_3732680,Medline_4363387,Patent_US4529593,Patent_WO2000022437A1,Patent_US4970237,Patent_US4820736,Patent_WO2004041288A1","AssociationNegative,Association,Treat,Regulation,RegulationNegative,Prepositional,Part_Of,AssociationPositive"
"5","NCCC(O)(P(O)(O)=O)P(O)(O)=O","PAMIDRONIC ACID","DRUG","AGE RELATED OSTEOPOROSIS","AGE RELATED OSTEOPOROSIS","CONDITION","93.6652113271549","24","Patent_US20030195170,Patent_WO2003086355A1,Medline_10643324,Medline_15086695,Medline_12054161,Medline_10793877,Medline_10906023,Medline_7599454,Medline_17039127,Medline_12787715,Medline_11936708,Medline_10624455,Medline_14616979,Medline_9783331,Patent_EP1490090A2,Patent_US20040063628,Patent_WO2003020200A2,Patent_WO2003079972A2,Medline_12408189,Medline_15482386,Medline_15151127,Medline_9132334,Medline_11603525,Medline_12948302","Treat,Prepositional,AssociationNegative"
"6","CC(O)=N[C@@H]1[C@@H](O)[C@H](O)[C@@H](COS(O)(=O)=O)O[C@@H]1O[C@H]1[C@H](O)[C@@H](O)[C@H](O[C@@H]2[C@@H](O)O[C@H](O[C@H]3[C@H](O)[C@@H](OS(O)(=O)=O)C(O)O[C@H]3C(O)=O)[C@H](OS(O)(=O)=O)[C@H]2CS(O)(=O)=O)O[C@@H]1C(O)=O","HEPARIN","DRUG","AGE RELATED OSTEOPOROSIS","AGE RELATED OSTEOPOROSIS","CONDITION","96.20060669851807","116","Medline_12128275,Pmcoa_3332958,Medline_7605875,Medline_10629418,Medline_1485282,Medline_2169657,Medline_8834771,Pmcoa_384377,Medline_2173673,Patent_US20030099644,Patent_US6482411,Medline_12091128,Medline_223209,Medline_6249879,Medline_3563963,Medline_9129028,Medline_9949165,Medline_8695849,Medline_11510916,Medline_10726030,Patent_EP1412378A1,Medline_9646784,Patent_WO2003002592A1,Medline_6354546,Medline_6652051,Patent_WO1994016720A1,Medline_14677021,Medline_12149930,Medline_10785946,Medline_10069759,Medline_12812389,Medline_11874234,Medline_12787535,Medline_12763491,Medline_15485112,Medline_2176772,Medline_15034940,Medline_15094943,Medline_7079575,Medline_3947197,Medline_9801731,Medline_7632944,Medline_8141217,Medline_9759137,Medline_4718297,Medline_8965038,Patent_EP1110949B1,Patent_EP1110949A1,Patent_EP1339678A2,Patent_EP1470109A1,Medline_7087974,Patent_EP0950417A2,Medline_9456011,Medline_9488783,Medline_9759620,Patent_EP1121939A2,Patent_US20010056060,Medline_9256306,Patent_EP0946501A1,Medline_9488788,Patent_EP0911321A2,Medline_6098977,Medline_6963333,Patent_US20020165255,Patent_EP0951282A1,Patent_EP1021410A1,Patent_EP1232757A1,Patent_US20010047105,Patent_EP1448182A1,Patent_US20040176461,Patent_EP1452178A1,Patent_US20030008895,Patent_US20030078261,Patent_US20040058889,Patent_US20030105092,Patent_US20040259921,Patent_US20020016368,Patent_US20030175680,Patent_US20020019351,Patent_US20030166631,Patent_US20030216445,Patent_US20020040149,Patent_US20030149086,Patent_US20040162289,Patent_US20040209848,Patent_US20020065308,Patent_US6124314,Patent_US6747054,Patent_US6376502,Patent_US20040258730,Patent_US6352970,Patent_WO2001046140A1,Patent_US6649657,Patent_WO1998027976A1,Patent_US6288120,Patent_US6531485,Patent_US6552067,Patent_WO2004026239A2,Patent_US6426359,Patent_WO1998058911A2,Patent_WO1998028264A1,Patent_US6642266,Patent_US6737437,Patent_WO1999019300A1,Patent_US6492412,Patent_US6498172,Patent_WO2004019873A2,Patent_WO2002042268A2,Patent_WO2003045371A1,Patent_WO2003064391A1,Patent_WO2004009129A1,Medline_1724341,Medline_7157449,Medline_1878493,Medline_8219935,Medline_8165649","Prepositional,Regulation,Association,AssociationNegative,AssociationPositive,Similarity,Treat"
"7","Oc1ccc(cc1)-c1sc2cc(O)ccc2c1C(=O)c1ccc(OCCN2CCCCC2)cc1","RALOXIFENE","DRUG","AGE RELATED OSTEOPOROSIS","AGE RELATED OSTEOPOROSIS","CONDITION","94.18276396203247","50","Medline_15293890,Medline_11795370,Medline_11578816,Medline_11815274,Patent_EP1436423A2,Patent_US20020019418,Patent_US20040167170,Patent_US20040002071,Patent_WO1998018449A1,Patent_WO2003025141A2,Patent_US6080762,Patent_WO1999051096A1,Medline_12525466,Medline_11589267,Medline_24672099,Patent_EP0839532B1,Pmcoa_138785,Medline_15775546,Medline_9782696,Medline_10517716,Medline_15040827,Patent_US6441041,Medline_12549992,Medline_11535963,Medline_10852452,Medline_11921648,Medline_15577140,Patent_EP1490090A2,Patent_US20040063628,Patent_US5972383,Patent_US5811120,Patent_WO2003020200A2,Patent_WO2003079972A2,Medline_12036407,Medline_12846124,Patent_EP1339662A1,Patent_US20040082642,Patent_US20040127576,Patent_US20040156859,Patent_US6706892,Patent_US20040116398,Patent_US6608111,Patent_WO2002053522A2,Patent_WO2002046134A1,Medline_11801870,Medline_10821534,Medline_10428318,Medline_21765655,Pmcoa_2409614,Medline_13678769","Prepositional,Treat,AssociationNegative"
"8","OC(Cn1ccnc1)(P(O)(O)=O)P(O)(O)=O","ZOLEDRONIC ACID","DRUG","AGE RELATED OSTEOPOROSIS","AGE RELATED OSTEOPOROSIS","CONDITION","94.4503725447847","4","Medline_12787715,Medline_14765015,Medline_12667119,Patent_WO2004078261A1","TREAT,Treat,AssociationNegative,Change"
"9","CC[C@@H](C)c1ccc2cc3C[C@H](CC(=O)c3c(O)c2c1O)[C@H](OC)C(=O)[C@@H](O)[C@@H](C)O","(3R)-7-[(2R)-BUTAN-2-YL]-3-[(1S,3S,4R)-3,4-DIHYDROXY-1-METHOXY-2-OXOPENTYL]-8,9-DIHYDROXY-3,4-DIHYDRO-2H-ANTHRACEN-1-ONE","DRUG","AGE RELATED OSTEOPOROSIS","AGE RELATED OSTEOPOROSIS","CONDITION","82.35271415888474","1","Medline_12733731","Predict"
