"Link ID","Source name","Source Display Name","Source type","Target name","Target Display Name","Target type","Confidence","Documents","Document IDs","Relationships"
"0","TNF","TNF","GENE","HENOCH-SCHONLEIN PURPURA","HENOCH-SCHONLEIN PURPURA","CONDITION","92.00924683192886","2","Medline_12390327,Medline_10990243","Prepositional,AssociationPositive"
"1","C[C@]12CC(=O)[C@H]3[C@@H](CCC4=CC(=O)CC[C@]34C)[C@@H]1CC[C@]2(O)C(=O)CO","CORTISONE","DRUG","HENOCH-SCHONLEIN PURPURA","HENOCH-SCHONLEIN PURPURA","CONDITION","87.68018827074184","3","Medline_14890886,Medline_13509422,Medline_13114160","Prepositional,Treat"
"2","IGAN","IGAN","GENE","HENOCH-SCHONLEIN PURPURA","HENOCH-SCHONLEIN PURPURA","CONDITION","83.45351992698272","5","Medline_3055961,Medline_153712,Medline_12538733,Medline_9509437,Medline_9524783","Prepositional,Part_Of"
"7","CSCC[C@H](NC(=O)[C@H](CO)NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@@H](N)CO)C(=O)N[C@@H](CCC(O)=O)C(=O)N[C@@H](Cc1cnc[nH]1)C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](CCCNC(N)=N)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)NCC(=O)N[C@@H](CCCCN)C(=O)N1CCC[C@H]1C(=O)N[C@@H](C(C)C)C(=O)NCC(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCCNC(N)=N)C(=O)N[C@@H](CCCNC(N)=N)C(=O)N1CCC[C@H]1C(=O)N[C@@H](C(C)C)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](C(C)C)C(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CC(N)=O)C(=O)NCC(=O)N[C@@H](C)C(=O)N[C@@H](CCC(O)=O)C(=O)N[C@@H](CC(O)=O)C(=O)N[C@@H](CCC(O)=O)C(=O)N[C@@H](CO)C(=O)N[C@@H](C)C(=O)N[C@@H](CCC(O)=O)C(=O)N[C@@H](C)C(=O)N[C@@H](Cc1ccccc1)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCC(O)=O)C(=O)N[C@@H](Cc1ccccc1)C(O)=O","CORTICOTROPIN","DRUG","HENOCH-SCHONLEIN PURPURA","HENOCH-SCHONLEIN PURPURA","CONDITION","83.40651254915565","2","Medline_13043358,Medline_14958172","Prepositional,Treat"
"10","CD79A","CD79A","GENE","HENOCH-SCHONLEIN PURPURA","HENOCH-SCHONLEIN PURPURA","CONDITION","89.96839718529807","17","Medline_7446551,Medline_8720981,Medline_8775220,Medline_1363477,Medline_10534663,Medline_4055989,Medline_9394310,Medline_6389205,Medline_3944697,Medline_9651087,Medline_3055961,Medline_9568852,Medline_8784278,Medline_9557162,Medline_3669060,Medline_10575422,Medline_12538733","AssociationPositive,Prepositional,Similarity,Binding,Association,Part_Of"
"14","ClCCN(CCCl)P1(=O)NCCCO1","CYCLOPHOSPHAMIDE","DRUG","HENOCH-SCHONLEIN PURPURA","HENOCH-SCHONLEIN PURPURA","CONDITION","90.51351149932076","2","Medline_11529643,Medline_7078800","Treat"
"21","Nc1ccc(cc1)S(=O)(=O)c1ccc(N)cc1","DAPSONE","DRUG","HENOCH-SCHONLEIN PURPURA","HENOCH-SCHONLEIN PURPURA","CONDITION","87.10535885321391","3","Medline_1775419,Medline_8029176,Pmcoa_65680","Prepositional,Treat"
"26","IGHM","IGHM","GENE","HENOCH-SCHONLEIN PURPURA","HENOCH-SCHONLEIN PURPURA","CONDITION","85.74725861869055","3","Medline_899772,Medline_9651087,Medline_2702774","Prepositional"
"33","O=C1N(C2CCC(=O)NC2=O)C(=O)c2ccccc12","THALIDOMIDE","DRUG","HENOCH-SCHONLEIN PURPURA","HENOCH-SCHONLEIN PURPURA","CONDITION","71.05752822066158","2","Medline_12647645,Pmcoa_4531694","Treat"
"36","VWF","VWF","GENE","HENOCH-SCHONLEIN PURPURA","HENOCH-SCHONLEIN PURPURA","CONDITION","77.62525519347977","2","Medline_9014604,Medline_8571941","Prepositional"
"37","IGHA1","IGHA1","GENE","HENOCH-SCHONLEIN PURPURA","HENOCH-SCHONLEIN PURPURA","CONDITION","76.87948170510799","2","Medline_9375892,Medline_10977812","Prepositional"
