"Link ID","Source name","Source Display Name","Source type","Target name","Target Display Name","Target type","Confidence","Documents","Document IDs","Relationships"
"0","UPK3B","UPK3B","GENE","LYME DISEASE","LYME DISEASE","CONDITION","63.18931366690141","2","Medline_10629203,Patent_US20040057962","Prepositional"
"2","CN[C@H](CC(C)C)C(=O)N[C@@H]1[C@H](O)c2ccc(Oc3cc4cc(Oc5ccc(cc5Cl)[C@@H](O)[C@@H]5NC(=O)[C@H](NC(=O)[C@@H]4NC(=O)[C@H](CC(N)=O)NC1=O)c1ccc(O)c(c1)-c1c(O)cc(O)cc1[C@H](NC5=O)C(O)=O)c3O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O[C@H]1C[C@](C)(N)[C@H](O)[C@H](C)O1)c(Cl)c2","VANCOMYCIN","DRUG","LYME DISEASE","LYME DISEASE","CONDITION","88.77269128331632","3","Medline_11282265,Medline_8913478,Medline_8517700","Prepositional"
"3","PROC","PROC","GENE","LYME DISEASE","LYME DISEASE","CONDITION","85.31761955274696","44","Medline_9728542,Patent_EP0894143A1,Patent_US20040214225,Patent_US20030092903,Patent_US20030060618,Patent_US20040044192,Patent_US6437116,Medline_7988912,Patent_US6740744,Patent_US6719983,Medline_12089279,Medline_7699024,Medline_8039931,Patent_EP1117677B1,Patent_US6379675,Medline_8675332,Medline_11926737,Medline_12941385,Patent_WO2004058181A2,Patent_US20040086949,Medline_10496930,Patent_WO2000018791A1,Patent_EP1194559A1,Patent_WO1997031123A1,Medline_14970347,Medline_7665660,Patent_US6251405,Patent_US20020131983,Patent_US6210676,Patent_US6538118,Patent_WO1996040718A1,Patent_WO2000078966A1,Patent_WO1997042221A1,Patent_WO1996040290A1,Medline_7929767,Patent_US20040033236,Medline_11173486,Medline_11230121,Medline_11726188,Medline_12358063,Medline_11139584,Patent_US6464985,Medline_11094292,Medline_7650170","GeneExpression,Prepositional,AssociationPositive,Localization"
"4","IGHM","IGHM","GENE","LYME DISEASE","LYME DISEASE","CONDITION","90.10037862315836","17","Medline_12757227,Medline_2098630,Medline_6884950,Medline_11465762,Medline_2716745,Medline_2284917,Medline_6659638,Medline_10517192,Patent_US20030031674,Patent_US20020106706,Patent_EP0896583B1,Medline_15655723,Medline_8542836,Medline_9857619,Medline_3668982,Medline_3956539,Medline_9819119","Prepositional,Binding"
"6","CLDN11","CLDN11","GENE","LYME DISEASE","LYME DISEASE","CONDITION","78.0748536269646","19","Patent_EP0833916A1,Patent_WO1996034106A1,Medline_8005669,Medline_1475523,Patent_WO1994019482A1,Medline_8740123,Patent_US6066623,Patent_US5308753,Medline_8339919,Patent_WO1998023763A1,Patent_WO1995021928A1,Patent_WO1991013630A1,Medline_8024615,Patent_US6464985,Patent_WO2000006745A1,Medline_9330467,Patent_WO1993004175A1,Patent_US6180141,Patent_WO1994006463A1","AssociationNegative,Prepositional,Regulation,Treat"
"7","CN(C)[C@H]1[C@@H]2C[C@@H]3Cc4c(ccc(O)c4C(=O)C3=C(O)[C@]2(O)C(=O)C(C(N)=O)=C1O)N(C)C","MINOCYCLINE","DRUG","LYME DISEASE","LYME DISEASE","CONDITION","88.6914383751893","3","Medline_1552067,Medline_8425959,Medline_11810535","Prepositional,Association"
"8","CC1(C)S[C@@H]2[C@H](NC(=O)Cc3ccccc3)C(=O)N2[C@H]1C(O)=O","BENZYLPENICILLIN","DRUG","LYME DISEASE","LYME DISEASE","CONDITION","85.38157122391783","3","Medline_10230690,Medline_2654818,Medline_9124859","Prepositional"
"10","CN(C)[C@H]1[C@@H]2C[C@H]3C(=C(O)[C@]2(O)C(=O)C(C(N)=O)=C1O)C(=O)c1c(O)cccc1[C@@]3(C)O","TETRACYCLINE","DRUG","LYME DISEASE","LYME DISEASE","CONDITION","91.21601314841958","5","Medline_12243610,Patent_WO2000078345A1,Patent_US6592875,Medline_7829706,Medline_2894572","Treat,Prepositional"
"11","CDK5R2","CDK5R2","GENE","LYME DISEASE","LYME DISEASE","CONDITION","75.3709633273028","12","Medline_15039353,Medline_8496875,Patent_WO1991013630A1,Medline_8675332,Patent_US5780041,Patent_US5470712,Medline_1551994,Medline_8150952,Patent_US20030059894,Patent_US20040067517,Patent_WO1999000413A1,Patent_US6660274","GeneExpression,Prepositional,Treat"
"12","RAD51","RAD51","GENE","LYME DISEASE","LYME DISEASE","CONDITION","73.1850704206543","2","Medline_8566765,Medline_15060027","Prepositional"
