"Link ID","Source name","Source Display Name","Source type","Target name","Target Display Name","Target type","Confidence","Documents","Document IDs","Relationships"
"0","Nc1ccc(O)c(c1)C(O)=O","MESALAZINE","DRUG","CROHN'S DISEASE","CROHN'S DISEASE","CONDITION","94.27701090050978","58","Medline_8328104,Patent_WO1994028911A1,Patent_WO2000024388A2,Medline_15745081,Medline_7615189,Medline_11685756,Medline_9719245,Medline_9289328,Patent_WO2001081404A2,Medline_2191425,Patent_EP1441700A1,Patent_US20030138495,Patent_WO2003032952A1,Medline_10194944,Medline_10498451,Medline_10624358,Medline_15830509,Medline_15830510,Medline_11559654,Medline_14714043,Medline_11922560,Medline_1728527,Medline_15898611,Medline_2256041,Medline_8608877,Patent_EP1080727A1,Medline_9243128,Medline_2563434,Medline_6123426,Medline_7502549,Medline_7876525,Patent_EP1366078A2,Patent_WO2002026781A2,Medline_12478239,Medline_8553032,Patent_US20020013270,Patent_US20040167062,Medline_9394721,Medline_1350343,Medline_10981226,Medline_11431204,Medline_12915753,Medline_9582560,Medline_9650818,Medline_10709142,Medline_15177540,Medline_10194943,Medline_1626611,Medline_1972296,Medline_3321418,Medline_8250520,Medline_8425685,Medline_9675663,Medline_10189017,Medline_15118974,Medline_9059966,Patent_WO2004004696A1,Medline_7977225","TREAT,Prepositional,Treat,AssociationNegative,Regulation"
"1","TNF","TNF","GENE","CROHN'S DISEASE","CROHN'S DISEASE","CONDITION","95.7195903743886","159","Patent_US20030022848,Patent_US20030099943,Patent_US20050053965,Medline_12832622,Medline_12190167,Patent_WO2001025277A1,Medline_12498003,Medline_11060664,Medline_9048788,Medline_15984988,Medline_9777308,Patent_US20040002546,Medline_16128948,Patent_EP0760010B1,Patent_WO1997039147A1,Patent_WO1997039146A1,Medline_15937090,Medline_15823500,Medline_9176073,Patent_US6465618,Medline_10719713,Medline_11231954,Medline_11258548,Medline_11979139,Medline_15893692,Medline_18159561,Medline_14985485,Medline_15168370,Medline_15583528,Patent_WO2005092368A1,Medline_12486099,Pmcoa_2196068,Medline_11429666,Medline_12617886,Medline_12105838,Medline_11475128,Medline_11249506,Medline_11743591,Medline_15546523,Medline_15741928,Medline_15580148,Medline_12698869,Medline_14602060,Medline_15626892,Medline_15459487,Medline_16339095,Medline_16141211,Patent_US20050214296,Medline_16246225,Medline_16174791,Patent_EP1558640A2,Patent_EP0723969B1,Patent_US5627173,Patent_WO2004039841A2,Patent_US20030064070,Medline_15784704,Medline_12110156,Medline_15275879,Medline_12049175,Patent_EP1578930A2,Patent_WO2004003147A2,Pmcoa_165067,Patent_WO2005110452A2,Medline_8612993,Medline_11918227,Medline_12517728,Patent_EP1161260A1,Patent_US20030157061,Patent_US20010004456,Patent_US6015557,Patent_US6379666,Patent_WO2001049321A1,Patent_US5656272,Patent_US6428787,Patent_WO2004019764A2,Patent_US6419934,Patent_US6423321,Patent_WO2000050079A1,Medline_10207730,Medline_14646574,Medline_10427657,Medline_12851868,Medline_12094865,Medline_15064428,Medline_12114256,Medline_12171957,Medline_15620462,Medline_10220494,Medline_12377803,Medline_15459771,Medline_16144202,Medline_12498004,Medline_14661993,Medline_14993360,Patent_EP1200828A2,Medline_8465094,Medline_9186412,Patent_EP1373475A2,Patent_EP1385476A2,Patent_US20050069549,Medline_9612932,Patent_US20050100531,Medline_7665984,Patent_US20020141977,Patent_US20030031625,Patent_US20050142539,Patent_US20030223969,Patent_US20050124590,Patent_US20030119797,Patent_US20050008652,Patent_US20020039599,Patent_US20050271663,Patent_US6861053,Patent_US6270766,Patent_WO2003105893A2,Patent_WO1999000136A1,Patent_WO2002089796A2,Patent_WO2003061684A2,Patent_WO2002083926A2,Patent_WO2003072038A2,Patent_WO2004087178A1,Patent_WO2001011077A2,Patent_WO2002083879A2,Patent_WO2003077840A2,Patent_WO2003099226A2,Medline_23282526,Medline_11478343,Medline_15212584,Patent_US20020077357,Patent_US20020068763,Patent_US20020198376,Patent_US20030032623,Patent_US6534499,Medline_15058523,Medline_15580149,Medline_15472531,Medline_9446035,Medline_9446034,Patent_EP1008650A1,Patent_EP1267903A1,Medline_9321530,Patent_EP0695189B1,Medline_9288004,Patent_EP1497331A2,Patent_EP1172444A1,Patent_EP1593386A1,Patent_EP1581223A2,Patent_US20030228642,Patent_US20050032691,Patent_US20050137218,Patent_US20040204355,Patent_US20020077308,Patent_US6479465,Patent_US6805852,Patent_US6531128,Patent_US6814966,Patent_WO2002072141A2,Patent_WO2001058469A1,Patent_WO2003057732A2","Part_Of,Regulation,Association,Treat,AssociationPositive,Predict,Prepositional,Similarity"
"2","GH1","GH1","GENE","CROHN'S DISEASE","CROHN'S DISEASE","CONDITION","89.69404414205032","8","Medline_15867582,Medline_16012948,Medline_14517795,Patent_WO1994020132A1,Medline_11601435,Medline_6341186,Medline_15102587,Medline_10833209","Prepositional,Association,AssociationPositive,Treat"
"3","O=C1N(C2CCC(=O)NC2=O)C(=O)c2ccccc12","THALIDOMIDE","DRUG","CROHN'S DISEASE","CROHN'S DISEASE","CONDITION","94.78071759089472","21","Patent_US20040235960,Patent_US6919483,Patent_WO2005012226A1,Patent_WO2000072836A2,Medline_11321389,Medline_10579968,Medline_14508228,Medline_11788559,Medline_15699709,Medline_11809002,Medline_9371171,Medline_9252926,Pmcoa_128942,Medline_14535285,Medline_10566035,Medline_11720008,Medline_10960273,Medline_10833076,Medline_11730158,Medline_10664572,Medline_15863968","AssociationNegative,TREAT,Prepositional,Treat"
"4","CCCC1O[C@@H]2C[C@H]3[C@@H]4CCC5=CC(=O)C=C[C@]5(C)[C@H]4[C@@H](O)C[C@]3(C)[C@@]2(O1)C(=O)CO","BUDESONIDE","DRUG","CROHN'S DISEASE","CROHN'S DISEASE","CONDITION","93.21856507864665","27","Medline_11417618,Medline_15704045,Medline_12643618,Medline_10333200,Medline_11922560,Medline_11479412,Medline_10194946,Medline_8889459,Medline_7610692,Medline_8652141,Medline_8161666,Medline_9282408,Medline_9861918,Patent_US5863910,Medline_12478239,Medline_11069312,Medline_14519035,Medline_10194943,Medline_7605858,Medline_15355126,Medline_9167034,Medline_10961590,Medline_11763799,Medline_11856950,Medline_12182751,Medline_8078529,Medline_9138184","TREAT,Prepositional,Treat,AssociationPositive,AssociationNegative,Association"
"5","Cn1cnc(c1Sc1ncnc2nc[nH]c12)[N+]([O-])=O","AZATHIOPRINE","DRUG","CROHN'S DISEASE","CROHN'S DISEASE","CONDITION","96.50616108054543","95","Patent_US20050009848,Patent_US20050009766,Patent_US20050153908,Patent_US20050009768,Patent_US20050153907,Patent_US20050009767,Patent_US6930093,Patent_WO2005004873A1,Medline_10680466,Medline_9762190,Medline_5554838,Medline_15625031,Medline_10349790,Medline_15842588,Medline_10028444,Medline_10416120,Medline_1098449,Medline_12035120,Medline_11692053,Medline_16214825,Medline_1551566,Medline_11151878,Medline_10726375,Medline_16234047,Medline_23282691,Medline_4595064,Medline_4770778,Medline_4097954,Medline_8467748,Medline_4107900,Medline_4634205,Medline_4941688,Patent_EP0817634A1,Medline_4143532,Medline_4392944,Medline_4638224,Medline_5131962,Medline_82802,Patent_EP1080727A1,Medline_5029069,Medline_7778826,Patent_US20050220709,Patent_US20030211978,Patent_US5905081,Patent_US6689788,Patent_US5928883,Patent_US5691343,Patent_US6166024,Patent_US6432967,Patent_WO2000016765A1,Patent_WO1996030021A1,Medline_15058520,Medline_10701145,Medline_7498645,Patent_EP1469733A2,Patent_US20040121991,Patent_WO2004058048A2,Patent_WO2003045979A2,Medline_12684586,Medline_12135008,Medline_11142564,Medline_16397313,Medline_11007256,Medline_12560764,Medline_12688327,Medline_15475752,Medline_16181376,Medline_7883236,Medline_8551879,Medline_9566640,Medline_10930894,Medline_11218242,Medline_10579116,Medline_14563183,Medline_10566725,Medline_10833103,Medline_2866866,Medline_6113105,Medline_7016483,Medline_9156125,Medline_81986,Medline_10656204,Medline_9860419,Medline_10923928,Medline_15126254,Medline_23282688,Medline_5055985,Medline_57449,Medline_6105443,Medline_6185763,Medline_5045704,Medline_8078549,Medline_4185592,Medline_7769199,Medline_11772328","TREAT,Prepositional,Association,Treat,AssociationPositive,AssociationNegative,Regulation"
"7","CO[C@@H]1C[C@@H](CC[C@H]1O)\C=C(/C)[C@H]1OC(=O)[C@@H]2CCCCN2C(=O)C(=O)[C@]2(O)O[C@@H]([C@H](C[C@H]2C)OC)[C@H](C[C@@H](C)C\C(C)=C\[C@@H](CC=C)C(=O)C[C@H](O)[C@H]1C)OC","TACROLIMUS","DRUG","CROHN'S DISEASE","CROHN'S DISEASE","CONDITION","94.60295914600782","5","Medline_11207512,Medline_10730928,Medline_10579116,Medline_10566035,Medline_10763928","Part_Of,TREAT,Prepositional,Treat"
"8","S=c1nc[nH]c2nc[nH]c12","MERCAPTOPURINE","DRUG","CROHN'S DISEASE","CROHN'S DISEASE","CONDITION","92.44343179933095","42","Medline_1976562,Medline_8338087,Patent_EP1080727A1,Patent_US20050009768,Patent_US20050009848,Patent_US20050153907,Patent_US20050009767,Patent_US20050153908,Patent_US20050009766,Patent_US6930093,Patent_WO2005004873A1,Medline_11218242,Medline_10189865,Medline_15168805,Medline_15139787,Medline_1449165,Medline_9226535,Medline_3874211,Medline_7778826,Medline_8949645,Patent_EP0817634A1,Patent_US5691343,Patent_US5928883,Patent_US5905081,Patent_US6166024,Medline_10701145,Patent_US20040121991,Medline_12135008,Medline_12684586,Medline_7608833,Medline_8122645,Medline_10930894,Medline_10579116,Medline_10566725,Medline_7016483,Medline_3912958,Medline_15625031,Medline_6102739,Medline_11772328,Medline_15811090,Medline_8677994,Medline_6105443","Prepositional,Treat,AssociationPositive,AssociationNegative,Association,Regulation"
"9","INFLIXIMAB","INFLIXIMAB","DRUG","CROHN'S DISEASE","CROHN'S DISEASE","CONDITION","96.5761032954773","196","Patent_US20030099943,Medline_15191204,Medline_11060664,Medline_15113369,Medline_12890215,Medline_12399677,Medline_16128948,Medline_11375946,Medline_11475128,Medline_12617886,Patent_US20030119824,Patent_EP1116488A2,Patent_US20050124609,Patent_US20050048120,Patent_US20020004502,Medline_12815833,Medline_15187780,Medline_12806638,Medline_11231954,Medline_14985485,Medline_15711049,Medline_10719713,Medline_18159561,Medline_15583528,Medline_15168370,Medline_11979139,Medline_15306601,Medline_14687146,Medline_16153132,Medline_10220494,Medline_14572573,Medline_10953366,Medline_15297279,Medline_15742461,Medline_14684579,Medline_11743591,Medline_12360101,Medline_12418831,Medline_12823146,Medline_12921510,Medline_15459487,Medline_10597336,Medline_11854604,Medline_12105838,Medline_11467623,Medline_15626892,Medline_16001645,Medline_11429666,Medline_12625812,Medline_14602060,Medline_15301561,Medline_12358256,Medline_16307694,Medline_15449986,Medline_16339095,Medline_14572598,Medline_12786609,Medline_16225364,Medline_15209360,Patent_US20050265962,Patent_US20050180948,Patent_US20050281795,Patent_US20030138401,Patent_US20040142856,Medline_16225377,Patent_US20030185845,Patent_US20040258660,Patent_WO2004099244A2,Patent_WO2003042244A2,Patent_WO2005092368A1,Medline_12172361,Medline_15290924,Patent_WO2005049638A2,Medline_12072629,Medline_12000604,Medline_15065007,Medline_15742462,Medline_11284774,Medline_15685549,Medline_12049175,Medline_15913508,Medline_15625031,Medline_12656136,Patent_US20050271663,Patent_US20050095243,Patent_US20050163775,Patent_US6531128,Patent_WO2005000351A2,Patent_WO2005023193A2,Patent_WO2004091657A2,Medline_12131606,Medline_12094858,Medline_12190104,Medline_12395595,Medline_16316890,Medline_11380038,Medline_11020841,Pmcoa_166136,Medline_12761378,Medline_12358255,Medline_11864540,Medline_12030953,Medline_10597334,Medline_12671888,Medline_11095340,Medline_11685975,Medline_12198696,Medline_12617039,Medline_12190096,Medline_12190206,Medline_12801957,Medline_11151879,Medline_12852717,Medline_14762776,Medline_14984376,Medline_11095380,Medline_12673372,Medline_14621279,Medline_15771766,Medline_15934836,Medline_15256978,Medline_15784704,Medline_15801928,Medline_15300614,Medline_15475741,Medline_16148549,Medline_11467677,Medline_11564005,Medline_12655253,Medline_15851955,Medline_11233658,Medline_11788561,Medline_12047962,Medline_15822505,Medline_15379845,Medline_10579985,Medline_11845044,Medline_11429665,Medline_12641520,Medline_15372114,Medline_15230665,Medline_16130441,Medline_15352908,Medline_12625813,Medline_15319637,Medline_15893967,Medline_16181301,Medline_12717087,Medline_15610407,Medline_16239844,Medline_15564805,Medline_16104480,Medline_16172549,Medline_15339330,Medline_15475750,Medline_15795662,Patent_EP1172444A1,Patent_US6379666,Patent_US6428787,Patent_US6177077,Patent_WO2001049321A1,Medline_12418832,Medline_15138201,Medline_12792431,Medline_12769443,Medline_12845957,Medline_16128684,Medline_15758934,Medline_15481318,Medline_12795463,Medline_15475752,Medline_11280541,Medline_15104379,Medline_28443771,Pmcoa_128942,Medline_12851868,Medline_11246620,Medline_12526944,Medline_15481319,Medline_12172360,Medline_11736736,Medline_15192172,Medline_15505269,Medline_16197398,Medline_10076592,Medline_12443622,Medline_15043515,Medline_11423591,Medline_12590236,Medline_12673373,Medline_15712655,Medline_11429663,Medline_15984961,Medline_16240855,Medline_15447761,Medline_15453039","Part_Of,Regulation,TREAT,Treat,RegulationNegative,Association,Prepositional,AssociationPositive,AssociationNegative,Cure,Stop"
"10","IL18","IL18","GENE","CROHN'S DISEASE","CROHN'S DISEASE","CONDITION","93.46661327226616","7","Medline_10384110,Medline_12492197,Medline_12572878,Medline_11282552,Medline_11907126,Pmcoa_546280,Medline_11606501","Association,AssociationPositive,Prepositional,Treat"
