"Link ID","Source name","Source Display Name","Source type","Target name","Target Display Name","Target type","Confidence","Documents","Document IDs","Relationships"
"0","CN(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(cc1)C(=O)N[C@@H](CCC(O)=O)C(O)=O","METHOTREXATE","DRUG","BEHCET SYNDROME","BEHCET SYNDROME","CONDITION","89.42557296837875","2","Medline_10078015,Medline_11185687","Prepositional"
"1","TGFB1","TGFB1","GENE","BEHCET SYNDROME","BEHCET SYNDROME","CONDITION","88.68213320245277","2","Medline_11760396,Medline_17067431","Prepositional"
"2","ICAM1","ICAM1","GENE","BEHCET SYNDROME","BEHCET SYNDROME","CONDITION","87.16194532634086","3","Medline_11409120,Medline_12808331,Pmcoa_3055064","Association,Prepositional"
"3","COc1cc2CC[C@H](NC(C)=O)c3cc(=O)c(OC)ccc3-c2c(OC)c1OC","COLCHICINE","DRUG","BEHCET SYNDROME","BEHCET SYNDROME","CONDITION","92.69337533332155","20","Medline_18823974,Medline_2064258,Medline_10696980,Medline_1946553,Medline_8783422,Medline_16409899,Medline_6778795,Medline_78172,Medline_611053,Medline_72942,Medline_6724071,Medline_16428075,Medline_7150387,Medline_3435573,Medline_1652388,Medline_1966643,Medline_1296716,Medline_12536172,Medline_16019038,Medline_7744140","TREAT,Prepositional,Association,AssociationPositive,Treat"
"4","IL8","IL8","GENE","BEHCET SYNDROME","BEHCET SYNDROME","CONDITION","93.07934707501404","6","Medline_15168145,Medline_12061429,Medline_8712863,Medline_10812500,Medline_8064002,Medline_16101867","Prepositional,Association"
"5","PROC","PROC","GENE","BEHCET SYNDROME","BEHCET SYNDROME","CONDITION","87.06735694710768","5","Medline_15287949,Medline_9922996,Medline_10971795,Medline_27265857,Medline_9592866","AssociationPositive,Prepositional"
"6","ETANERCEPT","ETANERCEPT","DRUG","BEHCET SYNDROME","BEHCET SYNDROME","CONDITION","91.27801568069209","2","Medline_15935122,Medline_15630733","Prepositional"
"7","TNF","TNF","GENE","BEHCET SYNDROME","BEHCET SYNDROME","CONDITION","96.6887116773916","16","Medline_17911463,Pmcoa_194711,Medline_15229938,Medline_1442353,Medline_15903033,Medline_15229958,Medline_14727453,Pmcoa_2833448,Medline_16897113,Medline_7591872,Patent_EP1944322A2,Medline_18557534,Medline_14596817,Medline_16078350,Medline_16273763,Medline_12946278","Prepositional,Association,Treat"
"12","IL6","IL6","GENE","BEHCET SYNDROME","BEHCET SYNDROME","CONDITION","94.7600979676346","4","Medline_18475474,Pmcoa_2365351,Medline_19010690,Medline_18711464","Regulation,Prepositional"
"13","ADM","ADM","GENE","BEHCET SYNDROME","BEHCET SYNDROME","CONDITION","80.38677166808704","2","Medline_11146340,Medline_24387173","Prepositional"
"15","Cn1cnc(c1Sc1ncnc2nc[nH]c12)[N+]([O-])=O","AZATHIOPRINE","DRUG","BEHCET SYNDROME","BEHCET SYNDROME","CONDITION","91.56009624598347","4","Medline_9125262,Medline_5703868,Medline_4451392,Medline_12424941","Prepositional"
"16","CCC1NC(=O)C(C(O)C(C)C\C=C\C)N(C)C(=O)C(C(C)C)N(C)C(=O)C(CC(C)C)N(C)C(=O)C(CC(C)C)N(C)C(=O)C(C)NC(=O)C(C)NC(=O)C(CC(C)C)N(C)C(=O)C(NC(=O)C(CC(C)C)N(C)C(=O)CN(C)C1=O)C(C)C","CICLOSPORIN","DRUG","BEHCET SYNDROME","BEHCET SYNDROME","CONDITION","96.92392259677713","28","Medline_9369064,Medline_9441500,Medline_17275966,Medline_2566048,Medline_6135934,Medline_2356556,Medline_2735696,Medline_8088063,Medline_8315064,Medline_19668484,Medline_2376943,Patent_US6284268,Medline_7836864,Medline_2358347,Medline_2384009,Medline_9582630,Medline_2257701,Medline_9801898,Medline_9069461,Medline_12539855,Medline_1442355,Medline_10080218,Medline_3580358,Patent_US20070010515,Medline_15782608,Medline_9430907,Medline_4004976,Medline_1425128","Treat,Prepositional,AssociationNegative,AssociationPositive"
"17","INFLIXIMAB","INFLIXIMAB","DRUG","BEHCET SYNDROME","BEHCET SYNDROME","CONDITION","96.0167451907613","34","Medline_15229958,Medline_15851955,Medline_17478466,Medline_18496694,Patent_WO2008006235A2,Pmcoa_3240140,Medline_14645859,Medline_11231954,Medline_17554481,Patent_US20040186114,Patent_US7115644,Patent_US20030060455,Patent_US7078419,Patent_WO2003005999A2,Patent_US20040192748,Patent_US20060046986,Patent_US20050032797,Patent_US20040152725,Patent_US20060100204,Patent_US7285545,Patent_US20050256113,Patent_US7279475,Patent_EP1408950B1,Patent_US6916814,Patent_US7470692,Patent_EP1539708B1,Patent_US20040102492,Patent_US7211575,Patent_EP1709965A2,Medline_18929351,Medline_15506610,Medline_14596817,Pmcoa_2687604,Medline_17554493","TREAT,Prepositional,Treat,Regulation,Association"
"18","ITGAM","ITGAM","GENE","BEHCET SYNDROME","BEHCET SYNDROME","CONDITION","72.09534172600625","2","Pmcoa_1781571,Medline_15545055","GeneExpression,Prepositional,AssociationPositive"
"20","SUPEROXIDE DISMUTASE","SUPEROXIDE DISMUTASE","GENE","BEHCET SYNDROME","BEHCET SYNDROME","CONDITION","85.97417447853756","3","Medline_11760394,Medline_14987277,Medline_9266021","Prepositional"
"21","ADA","ADA","GENE","BEHCET SYNDROME","BEHCET SYNDROME","CONDITION","83.04887203254972","3","Medline_15868151,Medline_16961545,Medline_12367777","Prepositional"
"22","C[C@]12C[C@H](O)[C@H]3[C@@H](CCC4=CC(=O)C=C[C@]34C)[C@@H]1CC[C@]2(O)C(=O)CO","PREDNISOLONE","DRUG","BEHCET SYNDROME","BEHCET SYNDROME","CONDITION","86.45052536825885","2","Medline_12424569,Medline_7732495","Prepositional,Treat"
"24","CRP","CRP","GENE","BEHCET SYNDROME","BEHCET SYNDROME","CONDITION","91.03937095207492","3","Medline_15096143,Medline_16360368,Medline_15752284","Prepositional"
"25","HLA-E","HLA-E","GENE","BEHCET SYNDROME","BEHCET SYNDROME","CONDITION","88.05853334571307","3","Medline_17767552,Medline_10759778,Medline_17257316","AssociationNegative,Prepositional,AssociationPositive"
"26","EDN1","EDN1","GENE","BEHCET SYNDROME","BEHCET SYNDROME","CONDITION","86.51788464983584","5","Medline_11510468,Medline_17497041,Medline_9456026,Medline_9132327,Pmcoa_1852888","Prepositional"
"29","EVA1C","EVA1C","GENE","BEHCET SYNDROME","BEHCET SYNDROME","CONDITION","83.46212123127327","3","Medline_8697661,Medline_17250756,Medline_11482311","Association,Prepositional"
"30","FAS","FAS","GENE","BEHCET SYNDROME","BEHCET SYNDROME","CONDITION","84.88840867808601","3","Medline_8814751,Pmcoa_1781828,Medline_9836498","Prepositional"
"31","CC1(C)S[C@@H]2[C@H](NC(*)=O)C(=O)N2[C@H]1C(O)=O","PENICILLIN","DRUG","BEHCET SYNDROME","BEHCET SYNDROME","CONDITION","86.56926804026305","3","Medline_8961912,Medline_10696980,Medline_16409899","Prepositional,Treat"
"32","HLA-B","HLA-B","GENE","BEHCET SYNDROME","BEHCET SYNDROME","CONDITION","84.86089129419129","6","Medline_17296902,Medline_12028538,Medline_11212166,Medline_7591872,Pmcoa_165051,Medline_12622781","Regulation,Prepositional,Association,Modification"
"34","O=C1N(C2CCC(=O)NC2=O)C(=O)c2ccccc12","THALIDOMIDE","DRUG","BEHCET SYNDROME","BEHCET SYNDROME","CONDITION","92.90650307478575","14","Medline_3449313,Medline_11908493,Medline_18034203,Medline_15010523,Medline_2925035,Medline_6724071,Medline_3371520,Medline_11358558,Medline_15290170,Medline_17041438,Patent_US20010018445,Medline_15986355,Medline_14649666,Medline_8285742","Regulation,Prepositional,Treat,AssociationPositive,AssociationNegative"
"35","IFNA2","IFNA2","GENE","BEHCET SYNDROME","BEHCET SYNDROME","CONDITION","83.60555496897462","7","Medline_10971058,Medline_9651559,Medline_11450899,Medline_18412306,Medline_10343467,Medline_7914275,Medline_7910903","Prepositional,Treat"
"37","MEFV","MEFV","GENE","BEHCET SYNDROME","BEHCET SYNDROME","CONDITION","79.16337797607085","4","Medline_14727457,Medline_15903027,Medline_17454935,Medline_10980540","Prepositional"
