"Link ID","Source name","Source Display Name","Source type","Target name","Target Display Name","Target type","Confidence","Documents","Document IDs","Relationships"
"0","IL1A","IL1A","GENE","SCLERODERMA","SCLERODERMA","CONDITION","89.22753491826516","4","Medline_10225968,Medline_14705223,Medline_19536281,Medline_12528119","Association,Prepositional"
"2","CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N1CCC[C@H]1C(O)=O","ENALAPRIL","DRUG","SCLERODERMA","SCLERODERMA","CONDITION","88.4096673787991","4","Medline_10599355,Medline_10599356,Medline_10599358,Medline_10599357","Prepositional,Aggravate"
"3","FBN1","FBN1","GENE","SCLERODERMA","SCLERODERMA","CONDITION","80.67743343137121","10","Medline_11315929,Medline_10395706,Medline_10907111,Medline_11549841,Medline_16277674,Pmcoa_1297568,Medline_16177099,Pmcoa_2599892,Medline_9867127,Medline_18286246","Regulation,Prepositional,Similarity,Modification"
"4","CC(=O)CCCCn1c(=O)n(C)c2ncn(C)c2c1=O","PENTOXIFYLLINE","DRUG","SCLERODERMA","SCLERODERMA","CONDITION","84.47073661124628","2","Medline_11944397,Medline_19468787","Prepositional,AssociationNegative"
"5","TGFB1","TGFB1","GENE","SCLERODERMA","SCLERODERMA","CONDITION","96.18485798171123","60","Pmcoa_2745793,Patent_US20080103187,Medline_15854026,Medline_17195237,Medline_11904440,Patent_EP1692935A1,Pmcoa_2599892,Pmcoa_2768752,Medline_15215176,Patent_US7582609,Patent_US20070207965,Medline_8664214,Medline_19482698,Patent_US6906179,Patent_US20020076799,Medline_16564026,Pmcoa_552962,Medline_16675963,Pmcoa_2948335,Patent_EP1806144A2,Patent_US20050113291,Patent_EP2125037A2,Medline_9424086,Patent_EP1411970B1,Patent_EP1411970A2,Patent_WO2008076784A2,Patent_WO2002046225A2,Pmcoa_2072882,Medline_19713852,Patent_EP1994939A1,Patent_US20090221512,Patent_US5693607,Medline_7798629,Medline_7615966,Medline_12428243,Medline_9373715,Medline_2023218,Medline_18053185,Pmcoa_2233624,Pmcoa_2140013,Medline_12009077,Medline_16142753,Medline_16301681,Medline_11037882,Medline_10413648,Medline_2258629,Medline_19482630,Medline_14722617,Medline_1293150,Medline_1321201,Medline_18784145,Medline_7807970,Medline_7826139,Patent_US20060178332,Patent_EP1841316A2,Patent_WO2006074452A2,Pmcoa_2630404,Medline_16774692,Medline_15115312,Medline_18772333","Regulation,phosphorylation,AssociationPositive,Association,Modification,Treat,AssociationNegative,Prepositional,GeneExpression"
"6","MPO","MPO","GENE","SCLERODERMA","SCLERODERMA","CONDITION","88.6276328851078","3","Medline_12022350,Medline_17316347,Medline_9256032","Prepositional"
"7","MMP1","MMP1","GENE","SCLERODERMA","SCLERODERMA","CONDITION","88.92479968050692","6","Medline_11528521,Medline_12648215,Medline_12692352,Medline_11502611,Medline_18565735,Pmcoa_1156961","Prepositional,AssociationNegative"
"8","VEGFA","VEGFA","GENE","SCLERODERMA","SCLERODERMA","CONDITION","94.78344365203233","4","Medline_17181918,Pmcoa_2685370,Medline_12858453,Medline_11200843","Regulation,Prepositional"
"9","ACE","ACE","GENE","SCLERODERMA","SCLERODERMA","CONDITION","90.26506879641887","8","Medline_11315930,Medline_1325530,Medline_16084185,Medline_16855131,Medline_3040325,Medline_6279117,Pmcoa_2734013,Pmcoa_1174972","AssociationNegative,Prepositional"
"12","CTSG","CTSG","GENE","SCLERODERMA","SCLERODERMA","CONDITION","79.31252221305023","2","Medline_15229985,Medline_14872225","Prepositional,Association"
"13","MMP3","MMP3","GENE","SCLERODERMA","SCLERODERMA","CONDITION","82.63757968064304","2","Medline_15498049,Medline_15095096","Similarity,Prepositional"
"15","ClCCN(CCCl)P1(=O)NCCCO1","CYCLOPHOSPHAMIDE","DRUG","SCLERODERMA","SCLERODERMA","CONDITION","96.53575535148458","22","Medline_16614793,Medline_19052833,Medline_16767054,Pmcoa_2592814,Medline_20560293,Medline_17041464,Medline_16987834,Medline_18050251,Medline_19226435,Medline_15936473,Medline_15485005,Medline_4851019,Pmcoa_2688227,Medline_16228107,Medline_15485010,Medline_19340324,Pmcoa_2606648,Medline_10638770,Medline_16636934,Medline_17477486,Medline_9812219,Pmcoa_2072887","Association,Treat,Prepositional,AssociationNegative,Modification"
"16","CRP","CRP","GENE","SCLERODERMA","SCLERODERMA","CONDITION","92.78547144678664","4","Medline_18383403,Medline_16881360,Medline_14994397,Medline_3098484","Prepositional"
"17","HGF","HGF","GENE","SCLERODERMA","SCLERODERMA","CONDITION","92.30786582888439","6","Medline_17049072,Pmcoa_1794503,Medline_14712301,Medline_12233882,Medline_17164998,Medline_15675950","Part_Of,Regulation,Association,Prepositional,Treat,AssociationNegative"
"18","CC#CCC(C)[C@H](O)\C=C\[C@H]1[C@H](O)C[C@@H]2C\C(C[C@H]12)=C/CCCC(O)=O","ILOPROST","DRUG","SCLERODERMA","SCLERODERMA","CONDITION","91.49069544942499","22","Patent_US20040248206,Patent_EP1631591A2,Patent_WO2004108764A2,Patent_US20090017043,Patent_US7405274,Pmcoa_2721078,Medline_10534551,Medline_16724674,Medline_18035518,Medline_19479119,Medline_18634152,Medline_2447572,Medline_12955262,Medline_18078620,Medline_9920036,Medline_11579708,Medline_19210877,Medline_9506585,Medline_11692906,Medline_19301062,Medline_17006704,Medline_1705762","RegulationNegative,TREAT,GeneExpression,Prepositional,AssociationPositive,Treat,Regulation,Association,AssociationNegative"
"19","CTGF","CTGF","GENE","SCLERODERMA","SCLERODERMA","CONDITION","91.55300817817307","22","Medline_19054818,Patent_US20080193443,Medline_17034590,Pmcoa_2721078,Pmcoa_2686750,Medline_17164998,Medline_10942593,Medline_19482630,Medline_17907155,Medline_12888575,Medline_10809757,Medline_12632435,Medline_16205066,Medline_8618012,Medline_9551391,Patent_US20090142836,Patent_EP1631591A2,Patent_US20040248206,Patent_US20090017043,Patent_US7405274,Patent_WO2004108764A2,Medline_15955800","Prepositional,GeneExpression,AssociationPositive,Association,Modification"
"25","CCC1NC(=O)C(C(O)C(C)C\C=C\C)N(C)C(=O)C(C(C)C)N(C)C(=O)C(CC(C)C)N(C)C(=O)C(CC(C)C)N(C)C(=O)C(C)NC(=O)C(C)NC(=O)C(CC(C)C)N(C)C(=O)C(NC(=O)C(CC(C)C)N(C)C(=O)CN(C)C1=O)C(C)C","CICLOSPORIN","DRUG","SCLERODERMA","SCLERODERMA","CONDITION","96.75022506975972","17","Medline_12931677,Medline_2269381,Medline_15009322,Medline_1911565,Medline_11799631,Medline_1934687,Medline_3618643,Medline_8424841,Medline_3593641,Medline_2354119,Medline_19156422,Medline_1357898,Medline_15448218,Medline_7791158,Medline_8162467,Medline_2968806,Medline_2319032","Association,Prepositional,Treat,AssociationNegative"
"30","THBD","THBD","GENE","SCLERODERMA","SCLERODERMA","CONDITION","84.46049635563469","2","Medline_10666169,Medline_8985465","GeneExpression,Prepositional"
"31","IL12","IL12","GENE","SCLERODERMA","SCLERODERMA","CONDITION","90.73067926187366","4","Medline_11162578,Medline_19342201,Patent_WO2000072836A2,Patent_WO2000041547A2","Association,Prepositional"
"32","TNC","TNC","GENE","SCLERODERMA","SCLERODERMA","CONDITION","87.48849844809578","4","Medline_8941674,Medline_11407697,Medline_7541812,Patent_WO2009111625A2","Prepositional,GeneExpression"
"33","F2","F2","GENE","SCLERODERMA","SCLERODERMA","CONDITION","89.0500120529071","3","Pmcoa_2876241,Medline_11579091,Medline_11407697","RegulationNegative,Association,GeneExpression,Regulation,AssociationPositive"
"35","IL2","IL2","GENE","SCLERODERMA","SCLERODERMA","CONDITION","92.96831404287992","7","Medline_1728984,Medline_2784042,Medline_6295107,Medline_2025311,Medline_2397608,Medline_1898505,Medline_11928633","Prepositional,Binding,Association,AssociationNegative,AssociationPositive"
"36","ENG","ENG","GENE","SCLERODERMA","SCLERODERMA","CONDITION","87.07028474814351","3","Medline_17417992,Medline_12124870,Medline_12009077","Prepositional"
"38","DCN","DCN","GENE","SCLERODERMA","SCLERODERMA","CONDITION","83.94941342062636","4","Medline_7625849,Medline_12689342,Pmcoa_153525,Medline_9266027","Regulation,Prepositional,Association"
"39","HLA-DPB1","HLA-DPB1","GENE","SCLERODERMA","SCLERODERMA","CONDITION","82.04864444067485","4","Medline_10082433,Medline_1440561,Medline_8620089,Medline_8284788","Association,Prepositional"
"40","CEBPZ","CEBPZ","GENE","SCLERODERMA","SCLERODERMA","CONDITION","77.15331651301894","2","Medline_14613485,Medline_12881530","Prepositional,Binding"
"42","UROKINASE","UROKINASE","DRUG","SCLERODERMA","SCLERODERMA","CONDITION","82.40922768739674","2","Medline_15476218,Medline_8952856","Prepositional"
"43","VCAM1","VCAM1","GENE","SCLERODERMA","SCLERODERMA","CONDITION","84.61137636757852","5","Medline_17417992,Medline_15663512,Patent_US20070172445,Patent_EP1752162A1,Patent_EP1752162B1","Prepositional,GeneExpression"
"47","CN(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(cc1)C(=O)N[C@@H](CCC(O)=O)C(O)=O","METHOTREXATE","DRUG","SCLERODERMA","SCLERODERMA","CONDITION","96.34349693084836","26","Patent_US20070258979,Patent_EP1976881A2,Patent_EP2068922A2,Patent_WO2007080174A2,Patent_EP1802658A2,Patent_WO2008060814A2,Patent_WO2006003407A2,Pmcoa_2072887,Medline_19250434,Medline_11407694,Medline_19004063,Medline_15695960,Medline_2741971,Medline_16027298,Medline_19040308,Medline_19950289,Medline_16511930,Medline_10636981,Pmcoa_3334035,Medline_18278499,Medline_1787505,Medline_18941862,Medline_19726995,Medline_17447992,Medline_9785399,Pmcoa_3781687","TREAT,Prepositional,Treat,Stabilization"
"48","CXCL10","CXCL10","GENE","SCLERODERMA","SCLERODERMA","CONDITION","88.48123940840831","2","Medline_18077490,Medline_18709691","Prepositional,Regulation"
"49","IL4","IL4","GENE","SCLERODERMA","SCLERODERMA","CONDITION","93.52182678628319","14","Medline_1348722,Medline_17907151,Medline_10473512,Medline_1807791,Medline_8941674,Patent_EP1572946A2,Patent_US7438910,Patent_US20040097712,Patent_WO2004022718A2,Patent_US20070087411,Patent_WO2007047791A2,Medline_2397608,Medline_8814542,Medline_9242501","AssociationPositive,Prepositional,GeneExpression,Association,Treat"
