"Link ID","Source name","Source Display Name","Source type","Target name","Target Display Name","Target type","Confidence","Documents","Document IDs","Relationships"
"2","NCCc1ccc(O)c(O)c1","DOPAMINE","DRUG","FIBROMYALGIA","FIBROMYALGIA","CONDITION","91.7738594693382","3","Patent_WO2008010082A2,Medline_17023218,Medline_17041472","Prepositional"
"3","CN(C)C(=O)Oc1ccc[n+](C)c1","PYRIDOSTIGMINE BROMIDE","DRUG","FIBROMYALGIA","FIBROMYALGIA","CONDITION","78.2303407003726","4","Patent_EP2134335A1,Patent_WO2008112562A1,Medline_18240245,Medline_12528139","Association,Treat,Prepositional"
"4","CC(C)C[C@H](CN)CC(O)=O","PREGABALIN","DRUG","FIBROMYALGIA","FIBROMYALGIA","CONDITION","95.53308550013803","29","Medline_15712623,Pmcoa_3026332,Medline_17447176,Medline_18755638,Patent_EP2101752A1,Medline_18174971,Medline_20056767,Medline_20602781,Medline_19539427,Medline_21270936,Patent_WO2008073257A1,Patent_US20040138305,Pmcoa_2906437,Pmcoa_1779399,Medline_19337459,Patent_WO2004016260A1,Medline_18762786,Medline_18840008,Medline_20178405,Medline_19339642,Patent_EP2194979A1,Pmcoa_2646648,Patent_WO2009031029A1,Patent_US20070238749,Patent_WO2004054565A1,Medline_18982001,Medline_19652043,Medline_18400400,Medline_17878888","TREAT,Prepositional,Treat,Association"
"7","C[S@+](CC[C@H](N)C(O)=O)C[C@H]1O[C@H]([C@H](O)[C@@H]1O)n1cnc2c(N)ncnc12","SAM-E","DRUG","FIBROMYALGIA","FIBROMYALGIA","CONDITION","82.57934480996826","9","Patent_US20080031869,Medline_9543578,Patent_US6635615,Medline_3318438,Patent_US20050272687,Medline_1925418,Patent_US20090012036,Patent_US20030144244,Patent_US7387796","Association,Prepositional,Treat"
"9","CN(C)CCC=C1c2ccccc2C=Cc2ccccc12","CYCLOBENZAPRINE","DRUG","FIBROMYALGIA","FIBROMYALGIA","CONDITION","86.12798933176818","23","Patent_EP1638575A2,Patent_EP2000143A2,Patent_US20040259784,Patent_EP1677744A2,Patent_US20060100186,Patent_US20070066532,Patent_WO2005034858A2,Patent_US5935949,Patent_US20040259852,Patent_US7799769,Patent_WO2005000236A2,Medline_2532682,Patent_US6541523,Medline_1856814,Patent_EP1202722B1,Patent_US20040029869,Patent_WO2001012175A1,Patent_EP1202722A1,Patent_US6395788,Patent_US20010046988,Medline_2481741,Medline_3464210,Medline_3058130","Prepositional,Treat,Association"
"10","C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@]34C)[C@@H]1CC[C@@H]2O","TESTOSTERONE","DRUG","FIBROMYALGIA","FIBROMYALGIA","CONDITION","88.29579720707473","11","Medline_3467425,Patent_EP2000143A2,Patent_EP1677744A2,Patent_WO2005034858A2,Patent_US20070066532,Patent_WO2005000236A2,Patent_EP1638575A2,Patent_US20060100186,Patent_US20040259852,Patent_US20040259784,Patent_US7799769","Prepositional,AssociationPositive,Treat"
"11","OCc1c[nH]c2ccccc12","INDOLE 3 CARBINOL","DRUG","FIBROMYALGIA","FIBROMYALGIA","CONDITION","0","2","Patent_EP1030663A1,Patent_EP1030663B1","Prepositional"
"12","CN(C)CCCN1c2ccccc2Sc2ccc(Cl)cc12","CHLORPROMAZINE","DRUG","FIBROMYALGIA","FIBROMYALGIA","CONDITION","0","11","Patent_EP1677744A2,Patent_EP2000143A2,Patent_WO2005034858A2,Patent_US20040259852,Patent_EP1638575A2,Patent_US20060100186,Patent_US20070066532,Patent_US5935949,Patent_US20040259784,Patent_WO2005000236A2,Patent_US7799769","Prepositional"
"13","CNCCC(Oc1ccc(cc1)C(F)(F)F)c1ccccc1","FLUOXETINE","DRUG","FIBROMYALGIA","FIBROMYALGIA","CONDITION","92.47542481367417","13","Medline_7973479,Patent_EP1677744A2,Patent_US20070066532,Patent_EP1638575A2,Patent_US20040259852,Patent_EP2000143A2,Patent_US20060100186,Patent_US7799769,Patent_WO2005034858A2,Patent_US5935949,Patent_US20040259784,Patent_WO2005000236A2,Medline_8912507","Treat,TREAT,Prepositional"
"14","CCN(CC)C(=O)[C@@]1(C[C@@H]1CN)c1ccccc1","MILNACIPRAN","DRUG","FIBROMYALGIA","FIBROMYALGIA","CONDITION","91.2336402103068","51","Medline_20002596,Patent_EP1578403A2,Patent_EP1556024A1,Medline_15378666,Medline_16869117,Patent_US20040121010,Patent_US20100196472,Patent_US7704527,Patent_US20040122104,Patent_US20060024366,Patent_US20060003004,Patent_WO2004037190A2,Patent_US20040132826,Patent_US20090018203,Patent_WO2004039361A1,Medline_21197306,Pmcoa_3004654,Pmcoa_2772232,Medline_20332060,Medline_20520784,Pmcoa_2877602,Patent_WO2004030633A2,Pmcoa_2811866,Patent_EP1928446A2,Patent_US20040106681,Patent_WO2007038620A2,Patent_US20030130353,Patent_US7820643,Patent_US20040019116,Patent_US20070225375,Patent_US20100105778,Patent_US20100197796,Patent_US6635675,Patent_US6602911,Patent_US20100105779,Patent_US6992110,Patent_US20040229956,Patent_US20030139476,Patent_US20080153919,Patent_EP2049095A2,Patent_WO2008021932A2,Patent_US20080293820,Patent_WO2008147843A1,Medline_18354855,Patent_US20080058317,Patent_US20100081719,Medline_19528885,Patent_US20080058318,Patent_EP2049094A2,Patent_EP2164471A1,Patent_WO2008019388A2","Treat,Association,AssociationNegative,Prepositional"
"15","CN(C)CCC=C1c2ccccc2CCc2ccccc12","AMITRIPTYLINE","DRUG","FIBROMYALGIA","FIBROMYALGIA","CONDITION","93.72227466532952","23","Patent_US20040259852,Medline_2161315,Patent_EP1638575A2,Patent_EP1677744A2,Patent_US20040259784,Medline_12215864,Medline_1856813,Patent_US5935949,Patent_US20070066532,Pmcoa_2906437,Patent_EP2000143A2,Patent_US20060100186,Patent_US7799769,Patent_WO2005034858A2,Patent_WO2005000236A2,Pmcoa_5074721,Medline_8912507,Medline_12537258,Patent_EP1107744B1,Patent_US20100055176,Patent_US20080161329,Patent_US7713984,Patent_EP1107744A2","Prepositional,Treat"
"17","BOTULINUM TOXIN TYPE A","BOTULINUM TOXIN TYPE A","DRUG","FIBROMYALGIA","FIBROMYALGIA","CONDITION","93.30227863343879","40","Medline_9608554,Medline_8813236,Medline_19466717,Patent_US6623742,Patent_US20080057575,Patent_US20080097219,Patent_EP1784420B1,Patent_WO2006099590A2,Patent_US7855268,Patent_WO2007106115A1,Patent_US20070280965,Patent_EP1784420A1,Patent_EP2001902A1,Patent_EP1982997A1,Patent_US20070280966,Patent_US20100111962,Patent_US20070258900,Patent_US20100112082,Patent_EP1861419A1,Patent_US7255866,Patent_EP1871789A2,Patent_US20040062776,Patent_US20080213255,Patent_US7825233,Patent_US20080213830,Patent_US20090023901,Patent_US20080161543,Patent_US20100041098,Medline_9704373,Patent_EP1773874A2,Patent_US20080096248,Patent_WO2006026780A1,Patent_EP1982996A1,Patent_US20080138893,Patent_US7514088,Patent_US20060211619,Patent_US20080118532,Patent_US20090023198,Patent_WO2006101809A1,Patent_WO2006017749A2","Prepositional,Treat"
