"Link ID","Source name","Source Display Name","Source type","Target name","Target Display Name","Target type","Confidence","Documents","Document IDs","Relationships"
"0","EPO","EPO","GENE","POLYCYTHEMIA","POLYCYTHEMIA","CONDITION","84.52030210361359","85","Patent_US5278065,Patent_US7244833,Patent_US5378808,Patent_US7442371,Medline_15644618,Patent_US20080009446,Patent_US20100068173,Medline_5335677,Pmcoa_2138369,Medline_18423195,Medline_20863212,Patent_US20060183671,Patent_WO2005007183A2,Medline_12402477,Medline_4046318,Medline_20700488,Medline_2182232,Patent_WO2003037273A2,Patent_US20030083251,Patent_US6784154,Medline_15286000,Medline_5288253,Medline_19789710,Medline_3370640,Medline_432548,Medline_3031138,Medline_8377385,Medline_16710039,Medline_20587663,Medline_11709408,Pmcoa_2749451,Pmcoa_2855079,Medline_9639040,Medline_8808232,Patent_EP0148605A2,Patent_EP0148605B2,Medline_12750170,Pmcoa_2916842,Medline_9358029,Medline_11094224,Medline_7591583,Medline_19952476,Medline_18385271,Pmcoa_3185572,Patent_US20090162849,Patent_WO1994023570A1,Medline_7259989,Medline_5523707,Medline_1994278,Patent_US7781199,Patent_US7429456,Patent_US20060288432,Medline_9085366,Patent_US20080076135,Medline_441509,Medline_11475152,Medline_15342464,Pmcoa_2596014,Medline_3602750,Medline_6302952,Medline_6291262,Medline_1314361,Medline_7781203,Patent_US20100040581,Medline_11406592,Medline_9918311,Medline_12631334,Medline_17642778,Medline_7349753,Medline_11559951,Medline_15878737,Medline_11722595,Medline_18988350,Patent_EP1889627A1,Medline_12145459,Medline_425968,Medline_12902921,Pmcoa_2516423,Medline_17186991,Medline_177822,Medline_16690772,Medline_8174675,Medline_15313491,Medline_18711622,Medline_18482331","Regulation,Association,GeneExpression,AssociationPositive,Prepositional,AssociationNegative,Treat"
"1","CC(=O)Oc1ccccc1C(O)=O","ASPIRIN","DRUG","POLYCYTHEMIA","POLYCYTHEMIA","CONDITION","87.8005165495069","5","Medline_15217715,Medline_307109,Medline_4479160,Medline_16673282,Pmcoa_2780604","Prepositional"
"3","TFRC","TFRC","GENE","POLYCYTHEMIA","POLYCYTHEMIA","CONDITION","71.75304553576402","2","Medline_1890732,Medline_9830813","Prepositional"
"5","EPOR","EPOR","GENE","POLYCYTHEMIA","POLYCYTHEMIA","CONDITION","76.70641459655229","9","Pmcoa_2916842,Patent_US5659012,Medline_15878737,Medline_11559951,Pmcoa_2196261,Patent_WO1999061630A2,Patent_US20010044135,Medline_20700488,Medline_8174675","Regulation,Prepositional,Treat"
"7","COC(=O)[C@@H]1[C@H]2CC[C@@H](C[C@@H]1OC(=O)c1ccccc1)N2C","COCAINE","DRUG","POLYCYTHEMIA","POLYCYTHEMIA","CONDITION","79.68140313453442","3","Medline_12837643,Medline_10493323,Pmcoa_2042971","Regulation,AssociationPositive"
"8","COC1C(O)CC(=O)OC(C)CC=CC=CC(OC2CC(C)(O)C(O)C(C)O2)C(C)CC(CCO)C1OC1OC(C)C(OC2CC(C)(O)C(O)C(C)O2)C(C1O)N(C)C","EPOETIN ALFA","DRUG","POLYCYTHEMIA","POLYCYTHEMIA","CONDITION","79.99896450878494","3","Medline_2252785,Medline_10681086,Medline_8524479","AssociationNegative,AssociationPositive"
"9","Cn1c2nc[nH]c2c(=O)n(C)c1=O","THEOPHYLLINE","DRUG","POLYCYTHEMIA","POLYCYTHEMIA","CONDITION","86.03544696417634","7","Medline_7781203,Medline_12617335,Medline_8937931,Medline_7617113,Medline_7778179,Medline_2233956,Medline_9285312","Regulation,Prepositional,Treat"
"10","JAK2","JAK2","GENE","POLYCYTHEMIA","POLYCYTHEMIA","CONDITION","77.32312315461033","7","Medline_17267906,Pmcoa_2811183,Medline_19413997,Pmcoa_1762384,Medline_19489438,Medline_18528646,Patent_WO2009017714A1","Prepositional,AssociationNegative,AssociationPositive,Association,Modification"
"12","CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N1CCC[C@H]1C(O)=O","ENALAPRIL","DRUG","POLYCYTHEMIA","POLYCYTHEMIA","CONDITION","87.5421549087523","11","Medline_15848606,Medline_11879862,Medline_18408290,Medline_9645803,Medline_7853800,Medline_8165703,Medline_11877580,Medline_15848608,Medline_7645558,Medline_8658779,Medline_9810784","AssociationNegative,Regulation,Prepositional,Treat"
"13","CCc1nc(N)nc(N)c1-c1ccc(Cl)cc1","PYRIMETHAMINE","DRUG","POLYCYTHEMIA","POLYCYTHEMIA","CONDITION","77.87448508835546","3","Medline_14247995,Medline_13602643,Medline_13553980","Treat,Prepositional"
"21","C[C@H](CS)C(=O)N1CCC[C@H]1C(O)=O","CAPTOPRIL","DRUG","POLYCYTHEMIA","POLYCYTHEMIA","CONDITION","79.29542964621501","2","Medline_2076171,Medline_8053053","Treat,AssociationPositive,Part_Of,Prepositional"
"22","IL8","IL8","GENE","POLYCYTHEMIA","POLYCYTHEMIA","CONDITION","9.88367909010297","8","Patent_US20090259026,Patent_US20100081792,Patent_US20060063921,Patent_US20060106203,Patent_US20100234570,Patent_US20100047237,Patent_US20060257406,Patent_US20070093651","Prepositional"
"23","EPAS1","EPAS1","GENE","POLYCYTHEMIA","POLYCYTHEMIA","CONDITION","77.53133813620965","6","Patent_US20100249085,Medline_18378852,Patent_EP1902729A1,Pmcoa_2516423,Medline_20197624,Medline_18508787","Regulation,Association,AssociationNegative,AssociationPositive"
"24","HBG2","HBG2","GENE","POLYCYTHEMIA","POLYCYTHEMIA","CONDITION","71.9241797432077","2","Medline_1634355,Medline_5796352","Prepositional"
"33","CS(=O)(=O)OCCCCOS(C)(=O)=O","BUSULFAN","DRUG","POLYCYTHEMIA","POLYCYTHEMIA","CONDITION","80.44895251079981","3","Medline_5498020,Medline_13756210,Medline_4431247","Prepositional,Treat"
"34","CCCCc1nc(Cl)c(CO)n1Cc1ccc(cc1)-c1ccccc1-c1nn[nH]n1","LOSARTAN","DRUG","POLYCYTHEMIA","POLYCYTHEMIA","CONDITION","84.2160757446202","5","Medline_9017645,Medline_9696433,Patent_EP1019048B1,Medline_19917377,Medline_9430872","Prepositional,Regulation,Treat"
"35","EGLN1","EGLN1","GENE","POLYCYTHEMIA","POLYCYTHEMIA","CONDITION","76.63495214185546","4","Pmcoa_2408651,Pmcoa_2516423,Medline_20400342,Pmcoa_3823110","Association,Prepositional,Regulation"
"37","ACE","ACE","GENE","POLYCYTHEMIA","POLYCYTHEMIA","CONDITION","78.56823683028928","3","Medline_7624954,Medline_15013333,Medline_9696433","AssociationNegative,Association"
"43","C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@]34C)[C@@H]1CC[C@@H]2O","TESTOSTERONE","DRUG","POLYCYTHEMIA","POLYCYTHEMIA","CONDITION","90.33368445624615","3","Medline_19337562,Pmcoa_2663437,Medline_19626197","Prepositional,AssociationPositive"
