"Link ID","Source name","Source Display Name","Source type","Target name","Target Display Name","Target type","Confidence","Documents","Document IDs","Relationships"
"2","VEGFA","VEGFA","GENE","SARCOIDOSIS","SARCOIDOSIS","CONDITION","92.99887077293896","3","Medline_11004846,Medline_18330749,Pmcoa_2821758","Regulation,AssociationNegative,Prepositional"
"3","SCGB1A1","SCGB1A1","GENE","SARCOIDOSIS","SARCOIDOSIS","CONDITION","79.247569265133","4","Medline_11193763,Medline_15297273,Medline_11028653,Pmcoa_1215520","Prepositional,Association,AssociationPositive,Similarity"
"4","IL18","IL18","GENE","SARCOIDOSIS","SARCOIDOSIS","CONDITION","92.77376039974428","10","Medline_12006423,Medline_12735669,Medline_15140035,Medline_16100009,Medline_17015003,Patent_WO2004085477A1,Medline_11123348,Patent_EP1611154A1,Medline_11069843,Medline_16837501","Prepositional,AssociationPositive,Association,AssociationNegative"
"6","IL2RA","IL2RA","GENE","SARCOIDOSIS","SARCOIDOSIS","CONDITION","93.08253197509049","14","Medline_19259660,Medline_12708075,Medline_1907694,Medline_1870863,Medline_20066543,Patent_WO2000041547A2,Pmcoa_1215520,Medline_2171882,Patent_WO2000072836A2,Medline_7680189,Medline_18030581,Medline_3128148,Medline_1327664,Medline_2796047","Prepositional,AssociationPositive,GeneExpression"
"8","CCN(CC)CCCC(C)Nc1ccnc2cc(Cl)ccc12","CHLOROQUINE","DRUG","SARCOIDOSIS","SARCOIDOSIS","CONDITION","88.14809736773832","4","Medline_3119653,Medline_14117676,Medline_14025396,Medline_12233084","AssociationNegative,Prepositional,Treat,GeneExpression"
"9","TNF","TNF","GENE","SARCOIDOSIS","SARCOIDOSIS","CONDITION","98.72669245370781","35","Medline_8635282,Medline_12405487,Medline_3799813,Medline_11956055,Medline_12039524,Medline_11354543,Medline_16837501,Medline_17560312,Medline_19225544,Medline_20808167,Pmcoa_2643111,Pmcoa_2118208,Pmcoa_2981761,Medline_10335007,Patent_US20060018906,Medline_19382527,Pmcoa_64817,Medline_14614765,Medline_17261090,Medline_8432140,Patent_WO1997041895A2,Medline_7474565,Medline_17768594,Medline_11243939,Medline_20001207,Medline_16840744,Medline_12449172,Patent_US20070224287,Pmcoa_2072890,Patent_WO2005030138A2,Medline_16247590,Medline_12870718,Medline_21381234,Medline_19208587,Medline_12921647","AssociationPositive,Prepositional,Association,Treat,AssociationNegative,Transcription,Modification,Regulation,Localization"
"10","C[C@]12CC(=O)[C@H]3[C@@H](CCC4=CC(=O)CC[C@]34C)[C@@H]1CC[C@]2(O)C(=O)CO","CORTISONE","DRUG","SARCOIDOSIS","SARCOIDOSIS","CONDITION","94.7643163959677","19","Medline_14796816,Medline_14873596,Medline_14902863,Medline_14902614,Medline_13051373,Medline_13125220,Medline_14835776,Medline_13201335,Medline_3174569,Medline_13055028,Medline_13182965,Medline_13873215,Medline_13347641,Medline_12991754,Medline_13034422,Medline_13080409,Medline_13489498,Pmcoa_5087199,Medline_28907897","Prepositional,Treat"
"11","ACTH","ACTH","GENE","SARCOIDOSIS","SARCOIDOSIS","CONDITION","85.12051019768751","3","Medline_14902614,Medline_13051373,Medline_195469","Prepositional"
"14","FAS","FAS","GENE","SARCOIDOSIS","SARCOIDOSIS","CONDITION","86.33682438333997","3","Medline_18223337,Medline_17986116,Medline_18588573","Regulation,Predict,Similarity"
"15","INFLIXIMAB","INFLIXIMAB","DRUG","SARCOIDOSIS","SARCOIDOSIS","CONDITION","96.01343188849052","19","Medline_18256069,Medline_19382534,Medline_16988163,Medline_12659618,Medline_17461746,Medline_20863968,Medline_18515552,Medline_19011506,Pmcoa_2724188,Pmcoa_2948401,Medline_15626311,Medline_12186528,Medline_19420205,Medline_11354550,Medline_11462996,Medline_23329903,Medline_19886968,Medline_12186527,Medline_14746631","Prepositional,Treat"
"17","CD14","CD14","GENE","SARCOIDOSIS","SARCOIDOSIS","CONDITION","84.91522638169636","3","Medline_1280495,Medline_20430603,Medline_18496988","Similarity,AssociationPositive,Prepositional"
"18","CD86","CD86","GENE","SARCOIDOSIS","SARCOIDOSIS","CONDITION","79.46772521664603","2","Medline_29598014,Medline_10444517","Regulation"
"20","C[C@]12CC(=O)[C@H]3[C@@H](CCC4=CC(=O)C=C[C@]34C)[C@@H]1CC[C@]2(O)C(=O)CO","PREDNISONE","DRUG","SARCOIDOSIS","SARCOIDOSIS","CONDITION","95.13532157406989","8","Medline_2559463,Medline_4053710,Medline_4572567,Medline_8364431,Medline_3589192,Medline_2288818,Medline_1669936,Medline_17078866","TREAT,Prepositional,Treat"
"21","CC(C)(C(=O)c1cccnc1)c1cccnc1","METYRAPONE","DRUG","SARCOIDOSIS","SARCOIDOSIS","CONDITION","75.80529569062871","2","Medline_5653746,Medline_5677159","Prepositional"
"22","ACE","ACE","GENE","SARCOIDOSIS","SARCOIDOSIS","CONDITION","90.09663963853323","75","Medline_1664954,Medline_3033979,Medline_183757,Medline_2985011,Medline_10362030,Medline_2156032,Medline_18496980,Medline_231820,Medline_6259614,Medline_2984255,Medline_6265617,Medline_3028081,Medline_3031789,Medline_6249067,Medline_6270985,Medline_6289705,Medline_1280495,Medline_19367262,Medline_8564143,Medline_230396,Medline_195458,Medline_213635,Medline_6189232,Medline_6247943,Medline_184726,Medline_2844453,Medline_6253106,Medline_169692,Medline_220347,Medline_233420,Medline_205523,Medline_1669976,Medline_2175927,Medline_225928,Medline_204909,Medline_6259928,Medline_6290143,Medline_6319781,Medline_16901684,Medline_200017,Medline_6288426,Medline_6310714,Medline_82838,Medline_6279420,Patent_US20050203169,Medline_2982335,Medline_6272142,Patent_US20090196867,Medline_2997947,Medline_6252640,Medline_6294775,Medline_6318638,Medline_8046841,Medline_6290729,Medline_6287521,Medline_9772062,Medline_2824351,Medline_6291133,Medline_6313303,Medline_9098308,Medline_6257617,Medline_6258399,Medline_3014583,Medline_3028219,Medline_6268903,Medline_6296555,Medline_85031,Medline_2992790,Medline_6098002,Medline_8213873,Medline_7955411,Medline_224741,Medline_15781381,Medline_6309003,Patent_WO1984004331A1","AssociationPositive,Prepositional,Treat,Similarity,Association,Follow,Regulation"
"23","CN(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(cc1)C(=O)N[C@@H](CCC(O)=O)C(O)=O","METHOTREXATE","DRUG","SARCOIDOSIS","SARCOIDOSIS","CONDITION","96.2529281368276","20","Medline_12172455,Pmcoa_2072890,Medline_10746262,Medline_2196793,Medline_5360310,Medline_2316559,Medline_5360309,Medline_5725738,Medline_5360308,Medline_9003847,Medline_12622609,Medline_6929567,Medline_7717793,Pmcoa_2737791,Medline_7949645,Patent_WO2003103702A1,Medline_21044457,Medline_9789892,Medline_9003841,Medline_2252243","Prepositional,Treat,AssociationPositive"
"26","B2M","B2M","GENE","SARCOIDOSIS","SARCOIDOSIS","CONDITION","80.85726963130492","2","Medline_93496,Medline_6191519","Prepositional"
"28","TGFB1","TGFB1","GENE","SARCOIDOSIS","SARCOIDOSIS","CONDITION","88.05550341624236","4","Medline_9817168,Patent_EP1454145A2,Patent_WO2003046578A2,Medline_8810610","Prepositional,Modification,AssociationPositive"
"29","ALB","ALB","GENE","SARCOIDOSIS","SARCOIDOSIS","CONDITION","90.01097915498816","14","Medline_9001320,Medline_2481759,Patent_EP1832599A2,Patent_US7507414,Patent_US7521424,Patent_US20060286635,Patent_US7785599,Patent_US7507413,Patent_US7799759,Patent_US20070048282,Patent_US7141547,Patent_EP2267026A1,Patent_US20080167240,Medline_7599865","Prepositional,Association"
"30","CCR5","CCR5","GENE","SARCOIDOSIS","SARCOIDOSIS","CONDITION","82.78209444566154","9","Patent_WO2009102473A2,Pmcoa_3032967,Patent_US20070122405,Patent_US20060111559,Patent_US20090047735,Patent_US7175988,Patent_US7393934,Patent_WO2005105841A2,Patent_US20050154193","Prepositional,AssociationPositive,Association"
"32","IL2","IL2","GENE","SARCOIDOSIS","SARCOIDOSIS","CONDITION","93.03439969720067","8","Pmcoa_2335290,Medline_11035116,Patent_WO1994014067A1,Medline_3874905,Medline_791335,Medline_3877349,Medline_3108983,Medline_1753540","Prepositional,GeneExpression,Treat"
"33","IL12","IL12","GENE","SARCOIDOSIS","SARCOIDOSIS","CONDITION","91.80219807261669","9","Patent_WO2000072836A2,Medline_10508796,Patent_WO2000041547A2,Medline_15554077,Medline_11033843,Medline_15281432,Medline_11123348,Patent_WO2004085477A1,Patent_EP1611154A1","Prepositional,AssociationPositive"
"34","TAP2","TAP2","GENE","SARCOIDOSIS","SARCOIDOSIS","CONDITION","74.75021477377904","6","Patent_WO2002000932A2,Medline_10471632,Medline_9062964,Patent_EP1358351A2,Patent_US20030186277,Patent_US7014994","Prepositional"
"36","IFNG","IFNG","GENE","SARCOIDOSIS","SARCOIDOSIS","CONDITION","95.47364422174734","7","Medline_11123348,Patent_EP1474415A1,Patent_WO2003068766A1,Patent_WO2003068225A1,Pmcoa_2118208,Medline_11028653,Medline_9500293","Prepositional,AssociationPositive,AssociationNegative"
"37","O=C1N(C2CCC(=O)NC2=O)C(=O)c2ccccc12","THALIDOMIDE","DRUG","SARCOIDOSIS","SARCOIDOSIS","CONDITION","91.50900104817256","13","Patent_WO2000041547A2,Medline_12966701,Pmcoa_4360317,Patent_WO2000072836A2,Medline_11890709,Medline_11427794,Medline_9810910,Medline_16837501,Patent_EP1611154A1,Patent_WO2004085477A1,Patent_US20070031377,Pmcoa_2249602,Medline_12114363","TREAT,Prepositional,Treat"
"38","CSCC[C@H](NC(=O)[C@H](CO)NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@@H](N)CO)C(=O)N[C@@H](CCC(O)=O)C(=O)N[C@@H](Cc1cnc[nH]1)C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](CCCNC(N)=N)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)NCC(=O)N[C@@H](CCCCN)C(=O)N1CCC[C@H]1C(=O)N[C@@H](C(C)C)C(=O)NCC(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCCNC(N)=N)C(=O)N[C@@H](CCCNC(N)=N)C(=O)N1CCC[C@H]1C(=O)N[C@@H](C(C)C)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](C(C)C)C(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CC(N)=O)C(=O)NCC(=O)N[C@@H](C)C(=O)N[C@@H](CCC(O)=O)C(=O)N[C@@H](CC(O)=O)C(=O)N[C@@H](CCC(O)=O)C(=O)N[C@@H](CO)C(=O)N[C@@H](C)C(=O)N[C@@H](CCC(O)=O)C(=O)N[C@@H](C)C(=O)N[C@@H](Cc1ccccc1)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCC(O)=O)C(=O)N[C@@H](Cc1ccccc1)C(O)=O","CORTICOTROPIN","DRUG","SARCOIDOSIS","SARCOIDOSIS","CONDITION","91.91127424060828","6","Medline_13051373,Medline_14902614,Medline_191769,Medline_195469,Medline_13055028,Medline_13079380","TREAT,Prepositional,Treat"
"40","NATURAL ALPHA INTERFERON","NATURAL ALPHA INTERFERON","DRUG","SARCOIDOSIS","SARCOIDOSIS","CONDITION","90.97920109798005","4","Medline_16027302,Medline_15727663,Medline_18189032,Medline_20186385","Association,AssociationPositive"
"41","CXCL10","CXCL10","GENE","SARCOIDOSIS","SARCOIDOSIS","CONDITION","87.7301338626753","4","Medline_17052298,Medline_17550373,Pmcoa_1524948,Pmcoa_2821758","Prepositional"
"42","NOD2","NOD2","GENE","SARCOIDOSIS","SARCOIDOSIS","CONDITION","82.59576091847092","3","Medline_18384487,Medline_14621080,Medline_18773284","Prepositional"
"43","CD8A","CD8A","GENE","SARCOIDOSIS","SARCOIDOSIS","CONDITION","85.8565121062382","9","Medline_1839775,Medline_8238062,Medline_15572545,Medline_11694250,Medline_12094142,Pmcoa_2939603,Medline_8339618,Pmcoa_2852744,Medline_19348268","Prepositional,AssociationNegative,Association"
"45","FOXP3","FOXP3","GENE","SARCOIDOSIS","SARCOIDOSIS","CONDITION","86.20324001001813","3","Medline_18279440,Medline_19147826,Medline_18496979","Prepositional,Regulation,Association"
"46","ETANERCEPT","ETANERCEPT","DRUG","SARCOIDOSIS","SARCOIDOSIS","CONDITION","93.01025385718306","6","Medline_12913948,Pmcoa_2948401,Pmcoa_2724188,Medline_20808167,Pmcoa_4421347,Medline_17896899","Regulation,Prepositional,AssociationPositive,Treat,Association"
"47","CC(=O)N1CCN(CC1)c1ccc(OCC2COC(Cn3ccnc3)(O2)c2ccc(Cl)cc2Cl)cc1","KETOCONAZOLE","DRUG","SARCOIDOSIS","SARCOIDOSIS","CONDITION","83.2952780337911","3","Medline_2318934,Medline_1962657,Medline_2166103","Association,AssociationNegative,Treat"
"49","CCC1NC(=O)C(C(O)C(C)C\C=C\C)N(C)C(=O)C(C(C)C)N(C)C(=O)C(CC(C)C)N(C)C(=O)C(CC(C)C)N(C)C(=O)C(C)NC(=O)C(C)NC(=O)C(CC(C)C)N(C)C(=O)C(NC(=O)C(CC(C)C)N(C)C(=O)CN(C)C1=O)C(C)C","CICLOSPORIN","DRUG","SARCOIDOSIS","SARCOIDOSIS","CONDITION","92.66144180847287","8","Medline_3174131,Medline_3812543,Pmcoa_2249602,Patent_US6413547,Patent_WO1999042124A1,Patent_US20030130176,Medline_18166429,Medline_3177415","Prepositional,Treat"
"50","C[C@@H]1C[C@H]2[C@@H]3C=C(C)C4=Cc5c(C[C@]4(C)[C@H]3[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)COC(C)=O)cnn5-c1ccccc1","CORTIVAZOL","DRUG","SARCOIDOSIS","SARCOIDOSIS","CONDITION","86.12003300193398","3","Medline_213827,Medline_3563382,Medline_5038943","Prepositional,Treat"
"51","OS(O)(=O)=O.NC[C@H]1O[C@H](O[C@@H]2[C@@H](N)C[C@@H](N)[C@H](O[C@H]3O[C@H](CO)[C@@H](O)[C@H](N)[C@H]3O)[C@H]2O)[C@H](N)C[C@@H]1O","BIOPTIC","DRUG","SARCOIDOSIS","SARCOIDOSIS","CONDITION","85.16459722313884","4","Medline_607633,Medline_4001086,Medline_607638,Medline_5912973","Prepositional"
"52","LYZ","LYZ","GENE","SARCOIDOSIS","SARCOIDOSIS","CONDITION","89.31680392948981","13","Medline_231820,Medline_649303,Medline_100124,Medline_220704,Medline_854716,Medline_848286,Medline_195457,Medline_7413458,Medline_6290729,Medline_6270984,Medline_6100991,Medline_6288426,Medline_220748","Prepositional,Treat"
"53","FN1","FN1","GENE","SARCOIDOSIS","SARCOIDOSIS","CONDITION","88.78596318942962","4","Medline_7054232,Medline_1701059,Medline_7907809,Medline_7879816","Prepositional,GeneExpression"
"55","TP53","TP53","GENE","SARCOIDOSIS","SARCOIDOSIS","CONDITION","87.96817904317268","3","Medline_8880979,Medline_15808409,Medline_10030136","Prepositional"
"57","IL1","IL1","GENE","SARCOIDOSIS","SARCOIDOSIS","CONDITION","86.93170275101649","5","Medline_8635282,Patent_US20090176217,Patent_US6599873,Patent_US20050159590,Patent_WO2005019259A2","AssociationPositive,Transcription,Modification"
"58","CD80","CD80","GENE","SARCOIDOSIS","SARCOIDOSIS","CONDITION","82.86901426995468","3","Medline_10461083,Medline_10444517,Medline_29598014","Prepositional,Regulation"
"59","Cn1cnc(c1Sc1ncnc2nc[nH]c12)[N+]([O-])=O","AZATHIOPRINE","DRUG","SARCOIDOSIS","SARCOIDOSIS","CONDITION","91.89068997677539","5","Medline_20419974,Pmcoa_2724188,Medline_10596700,Medline_10207946,Medline_14719997","Prepositional,Treat"
"60","CDK9","CDK9","GENE","SARCOIDOSIS","SARCOIDOSIS","CONDITION","76.48995023174815","2","Medline_15554077,Medline_16548898","AssociationNegative,AssociationPositive"
"61","Cc1oncc1C(=O)Nc1ccc(cc1)C(F)(F)F","LEFLUNOMIDE","DRUG","SARCOIDOSIS","SARCOIDOSIS","CONDITION","86.10864701821032","3","Medline_17094333,Medline_15127968,Medline_15127974","Prepositional"
"63","OC[C@H]1OC(O)[C@@H](O)[C@@H](O)[C@@H]1O","MANNOSE","DRUG","SARCOIDOSIS","SARCOIDOSIS","CONDITION","69.08418081084501","2","Medline_21029423,Pmcoa_2987761","AssociationPositive"
