"Link ID","Source name","Source Display Name","Source type","Target name","Target Display Name","Target type","Confidence","Documents","Document IDs","Relationships"
"0","IL6","IL6","GENE","KAWASAKI DISEASE","KAWASAKI DISEASE","CONDITION","94.65598744806914","17","Medline_1413896,Patent_US6579860,Patent_WO2010065072A1,Pmcoa_3132694,Medline_20472718,Medline_2473858,Patent_WO2011066374A2,Medline_16982510,Medline_18353077,Medline_8404968,Patent_EP2361095A1,Medline_2069514,Medline_1728545,Medline_8372675,Medline_21410593,Patent_US20060094056,Patent_US20090325167","Prepositional,Association,Predict"
"4","CC(=O)Oc1ccccc1C(O)=O","ASPIRIN","DRUG","KAWASAKI DISEASE","KAWASAKI DISEASE","CONDITION","93.16134277163549","16","Medline_22172261,Medline_2126584,Medline_7691025,Medline_15545617,Medline_3998933,Medline_10190936,Medline_19565485,Medline_3148261,Pmcoa_2898815,Medline_7682261,Medline_8627447,Medline_19103366,Medline_9605052,Medline_6502354,Medline_12403377,Medline_1550715","Prepositional,Treat"
"6","CRP","CRP","GENE","KAWASAKI DISEASE","KAWASAKI DISEASE","CONDITION","92.96266996927721","8","Medline_9202797,Medline_19773210,Medline_19548000,Medline_20113606,Pmcoa_2799065,Medline_16787593,Medline_17932598,Medline_20637144","Prepositional"
"7","TGFB1","TGFB1","GENE","KAWASAKI DISEASE","KAWASAKI DISEASE","CONDITION","88.13512845413227","3","Medline_22011813,Medline_21127203,Medline_10072219","Regulation,Prepositional"
"8","IFNG","IFNG","GENE","KAWASAKI DISEASE","KAWASAKI DISEASE","CONDITION","91.87388198349929","6","Medline_2113446,Patent_WO2010026596A2,Medline_15270865,Patent_EP2334293A2,Medline_9030095,Patent_US20110217251","Prepositional"
"9","FCER2","FCER2","GENE","KAWASAKI DISEASE","KAWASAKI DISEASE","CONDITION","74.23051241469723","2","Medline_9241913,Medline_8529682","Prepositional"
"10","TNF","TNF","GENE","KAWASAKI DISEASE","KAWASAKI DISEASE","CONDITION","95.74117616405469","15","Medline_8176558,Medline_2715685,Patent_US20040136989,Patent_EP2298810A2,Medline_19548000,Medline_2585231,Medline_3390972,Medline_16882598,Patent_US20040126372,Medline_18353240,Medline_10453180,Patent_EP2336182A1,Patent_EP2371859A2,Patent_EP1944322A2,Pmcoa_3094683","Prepositional,Association"
"11","HLA-DRB1","HLA-DRB1","GENE","KAWASAKI DISEASE","KAWASAKI DISEASE","CONDITION","69.7516743905973","2","Pmcoa_2267487,Medline_18064508","Prepositional"
"12","ACE","ACE","GENE","KAWASAKI DISEASE","KAWASAKI DISEASE","CONDITION","72.93428043446345","2","Pmcoa_2733992,Medline_16614502","Prepositional"
"13","CCL2","CCL2","GENE","KAWASAKI DISEASE","KAWASAKI DISEASE","CONDITION","88.70775884857719","3","Medline_17456996,Medline_10331483,Medline_10632983","GeneExpression,Prepositional,Association"
"14","CSF3","CSF3","GENE","KAWASAKI DISEASE","KAWASAKI DISEASE","CONDITION","81.8705154803717","2","Medline_10365591,Medline_10354120","Prepositional"
"17","MMP9","MMP9","GENE","KAWASAKI DISEASE","KAWASAKI DISEASE","CONDITION","87.75295083048734","5","Medline_16100452,Medline_12692003,Medline_20534943,Pmcoa_2782156,Medline_11529928","Prepositional"
