"Link ID","Source name","Source Display Name","Source type","Target name","Target Display Name","Target type","Confidence","Documents","Document IDs","Relationships"
"0","COc1cc2CC[C@H](NC(C)=O)c3cc(=O)c(OC)ccc3-c2c(OC)c1OC","COLCHICINE","DRUG","ACUTE GOUT","ACUTE GOUT","CONDITION","88.2094463112815","102","Medline_14751912,Medline_3314832,Pmcoa_2745774,Medline_14644973,Medline_14751913,Medline_3820512,Medline_17997813,Medline_23342241,Medline_5859550,Medline_18376515,Medline_7120118,Patent_US7820681,Patent_US20110207825,Patent_US20140107213,Patent_US7935731,Patent_US8039515,Patent_US8440721,Patent_US20100179169,Patent_US20110046227,Patent_US8445541,Patent_US20100222290,Patent_US8097655,Patent_US20110190397,Patent_US20100305171,Patent_US20110039940,Patent_US20110046228,Patent_US7601758,Patent_WO2011022532A2,Patent_US20100137235,Patent_US20110275720,Patent_US20120208881,Patent_US7906519,Patent_US20100305172,Patent_US20110190396,Patent_US20110213037,Patent_US7619004,Patent_US8093296,Patent_US8093298,Patent_WO2011022539A2,Patent_US20120208891,Patent_US7915269,Patent_US7964648,Patent_US8039516,Patent_US8093297,Patent_US8440722,Medline_16046775,Medline_17997801,Patent_EP2303302A2,Pmcoa_3913257,Medline_12835821,Medline_23192503,Patent_US20140044811,Pmcoa_3226106,Medline_24650777,Patent_US20090269425,Medline_15570646,Patent_EP2316494A1,Patent_US7632484,Patent_US7229604,Patent_US7615208,Patent_WO2001091807A2,Patent_US20070122342,Patent_US20130165631,Patent_US20050084448,Patent_EP1286704A2,Patent_US20050079133,Patent_US7223380,Patent_US20070297976,Patent_US6692724,Patent_US7067111,Patent_US20060188438,Patent_US7582281,Patent_US20100055035,Patent_US20140200329,Patent_US8236279,Medline_2196674,Pmcoa_3672764,Patent_US20120172405,Patent_US20130331403,Patent_WO2011159732A1,Patent_WO2012050589A1,Patent_US20120129903,Patent_EP2560642A2,Patent_US20130178484,Patent_EP2658846A2,Medline_22854175,Medline_17054279,Patent_EP2521716A2,Patent_US20130345271,Medline_18264188,Patent_US20130059868,Patent_WO2011085009A2,Patent_US20130296345,Patent_WO2011126852A2,Patent_EP2582683A1,Medline_25123076,Medline_3288754,Patent_US8546436,Medline_20110792,Patent_EP2627331A1,Patent_US8524754,Patent_WO2012092395A2","Prepositional,Treat,AssociationNegative"
"1","O=c1ncnc2[nH][nH]cc12","ALLOPURINOL","DRUG","ACUTE GOUT","ACUTE GOUT","CONDITION","84.61513691888283","8","Medline_23588771,Medline_21916803,Medline_3330140,Medline_20690341,Pmcoa_2937138,Pmcoa_3954864,Medline_11579724,Medline_15011730","Prepositional,Association,Treat,AssociationNegative"
"2","CCCCC1C(=O)N(N(C1=O)c1ccccc1)c1ccccc1","PHENYLBUTAZONE","DRUG","ACUTE GOUT","ACUTE GOUT","CONDITION","82.59616912241754","4","Medline_843115,Medline_4726072,Medline_6988172,Medline_857623","Prepositional"
"4","ANAKINRA","ANAKINRA","DRUG","ACUTE GOUT","ACUTE GOUT","CONDITION","80.69105371364954","7","Pmcoa_2592794,Medline_25177840,Patent_WO2014011911A2,Patent_WO2014110114A1,Pmcoa_2948378,Patent_WO2014011906A2,Pmcoa_1906806","Association,Prepositional,Treat"
"6","Cc1ccc(cn1)-c1ncc(Cl)cc1-c1ccc(cc1)S(C)(=O)=O","ETORICOXIB","DRUG","ACUTE GOUT","ACUTE GOUT","CONDITION","76.67286079697526","2","Pmcoa_1661646,Medline_14558211","Treat"
"7","COc1ccc2cc(ccc2c1)[C@H](C)C(O)=O","NAPROXEN","DRUG","ACUTE GOUT","ACUTE GOUT","CONDITION","78.39686549514717","2","Medline_857623,Medline_843115","Prepositional,Treat"
"9","COc1ccc2n(C(=O)c3ccc(Cl)cc3)c(C)c(CC(O)=O)c2c1","INDOMETACIN","DRUG","ACUTE GOUT","ACUTE GOUT","CONDITION","86.36103867210943","8","Medline_5740565,Medline_4726072,Pmcoa_3226108,Medline_14112899,Medline_20401346,Medline_8441139,Medline_14558211,Medline_17588299","Prepositional,Treat"
"11","CC(=O)NCCOC(=O)[C@H](Oc1cccc(c1)C(F)(F)F)c1ccc(Cl)cc1","ARHALOFENATE","DRUG","ACUTE GOUT","ACUTE GOUT","CONDITION","0","2","Patent_US20140128439,Patent_US20140128438","AssociationNegative"
"13","IL1B","IL1B","GENE","ACUTE GOUT","ACUTE GOUT","CONDITION","79.96907256177018","2","Pmcoa_2592794,Pmcoa_3241704","Treat,Regulation,Association"
"14","CANAKINUMAB","CANAKINUMAB","DRUG","ACUTE GOUT","ACUTE GOUT","CONDITION","75.76096241757371","3","Pmcoa_3672764,Medline_25177840,Medline_24650777","Prepositional,Treat"
"16","ACTH","ACTH","GENE","ACUTE GOUT","ACUTE GOUT","CONDITION","73.14585546620013","3","Pmcoa_3978463,Medline_24650777,Medline_8035395","Prepositional,Treat"
