"Link ID","Source name","Source Display Name","Source type","Target name","Target Display Name","Target type","Confidence","Documents","Document IDs","Relationships"
"0","ClCCN(CCCl)P1(=O)NCCCO1","CYCLOPHOSPHAMIDE","DRUG","SJOGREN'S SYNDROME","SJOGREN'S SYNDROME","CONDITION","92.02230119015603","5","Medline_9415661,Medline_16583474,Medline_2222539,Medline_275517,Medline_11346378","Prepositional,Treat"
"2","TNFSF13B","TNFSF13B","GENE","SJOGREN'S SYNDROME","SJOGREN'S SYNDROME","CONDITION","84.77934469601082","12","Pmcoa_3046527,Medline_15622444,Medline_12765482,Medline_19088870,Medline_23041596,Medline_22879463,Pmcoa_3157640,Patent_WO2011130458A2,Pmcoa_3984822,Patent_US20020150579,Medline_24802131,Medline_16385503","Regulation,Association,Prepositional,Similarity,AssociationPositive,Treat,Change"
"3","IL18","IL18","GENE","SJOGREN'S SYNDROME","SJOGREN'S SYNDROME","CONDITION","86.44704681878703","3","Pmcoa_2834093,Medline_15380044,Pmcoa_546280","AssociationPositive,GeneExpression,Prepositional"
"4","RITUXIMAB","RITUXIMAB","DRUG","SJOGREN'S SYNDROME","SJOGREN'S SYNDROME","CONDITION","95.09938879667504","21","Medline_15448217,Medline_19877057,Medline_18270861,Medline_17999070,Pmcoa_3056249,Medline_20148068,Medline_19088870,Medline_23479998,Patent_US8828396,Patent_US20120121585,Pmcoa_2817502,Patent_US20140004131,Patent_US20140341898,Medline_24802131,Patent_US20110091457,Medline_15576414,Medline_24729401,Medline_23011161,Medline_18403066,Medline_19877054,Medline_24517398","TREAT,Prepositional,Association,AssociationNegative,Treat"
"5","TGFB1","TGFB1","GENE","SJOGREN'S SYNDROME","SJOGREN'S SYNDROME","CONDITION","85.8585497165396","3","Pmcoa_3690740,Medline_15581833,Medline_22526828","Regulation,Association,Prepositional"
"9","HGF","HGF","GENE","SJOGREN'S SYNDROME","SJOGREN'S SYNDROME","CONDITION","72.98678855727285","2","Pmcoa_1779408,Medline_16859527","Part_Of,Treat"
"12","IL17A","IL17A","GENE","SJOGREN'S SYNDROME","SJOGREN'S SYNDROME","CONDITION","88.18480029752259","2","Medline_24827536,Medline_20856230","GeneExpression,CoExpress,Prepositional"
"13","MIR146A","MIR146A","GENE","SJOGREN'S SYNDROME","SJOGREN'S SYNDROME","CONDITION","78.20274404374766","2","Medline_22535496,Medline_21469088","Prepositional"
"15","CC(=O)OCC[N+](C)(C)C","ACETYLCHOLINE","DRUG","SJOGREN'S SYNDROME","SJOGREN'S SYNDROME","CONDITION","86.12661915351553","6","Pmcoa_2833688,Medline_24397962,Medline_20818151,Medline_23629427,Medline_20731676,Medline_11472412","Prepositional,Treat"
"16","SSB","SSB","GENE","SJOGREN'S SYNDROME","SJOGREN'S SYNDROME","CONDITION","80.15874999852694","17","Medline_686858,Medline_24554256,Patent_US6159748,Medline_10205590,Pmcoa_153844,Medline_7527748,Medline_19604453,Medline_3259356,Patent_WO2008070927A1,Medline_3876903,Medline_17670845,Medline_11560955,Medline_21933593,Medline_11412725,Patent_US20140342407,Patent_US20140348785,Medline_2079345","Prepositional,Regulation,Association,Treat,AssociationNegative"
"17","B2M","B2M","GENE","SJOGREN'S SYNDROME","SJOGREN'S SYNDROME","CONDITION","84.51226443126284","8","Medline_12874643,Medline_46621,Medline_9093796,Medline_81519,Medline_6185917,Patent_WO2006044486A2,Pmcoa_3398817,Medline_52841","Prepositional"
"18","LTF","LTF","GENE","SJOGREN'S SYNDROME","SJOGREN'S SYNDROME","CONDITION","83.48862384375433","5","Medline_6370271,Medline_18054653,Medline_12942702,Pmcoa_4145314,Patent_US8921123","Prepositional,AssociationNegative"
