"Link ID","Source name","Source Display Name","Source type","Target name","Target Display Name","Target type","Confidence","Documents","Document IDs","Relationships"
"0","HLA-B","HLA-B","GENE","ANKYLOSING SPONDYLARTHRITIDES","ANKYLOSING SPONDYLARTHRITIDES","CONDITION","84.27761908755792","19","Medline_11840459,Medline_11196671,Medline_26439405,Medline_8744728,Pmcoa_3504360,Pmcoa_3778539,Medline_10513815,Medline_12746911,Patent_EP1635798A2,Patent_WO2005000282A2,Pmcoa_4153545,Medline_18925686,Medline_22324941,Medline_16883538,Medline_8843876,Medline_27228481,Patent_WO2014028974A1,Medline_9027969,Medline_24666027","Regulation,Prepositional,Association,AssociationPositive,AssociationNegative"
"1","INFLIXIMAB","INFLIXIMAB","DRUG","ANKYLOSING SPONDYLARTHRITIDES","ANKYLOSING SPONDYLARTHRITIDES","CONDITION","95.65575785700628","187","Medline_24618070,Pmcoa_3671292,Patent_US20090004189,Patent_US20110263451,Patent_EP1951304A1,Patent_EP1951304B1,Patent_US20090238762,Patent_WO2010075249A2,Patent_US20160176974,Patent_WO2007059188A1,Patent_WO2008157282A1,Pmcoa_5074714,Medline_27789982,Pmcoa_4513706,Medline_19556300,Patent_US20060018907,Patent_US20080025976,Patent_US20050249735,Patent_US20070196373,Medline_16651229,Medline_12572316,Medline_18566849,Medline_12022358,Medline_17979620,Medline_17299842,Medline_25547623,Pmcoa_4810230,Medline_19088872,Pmcoa_2588090,Pmcoa_3273064,Medline_16705043,Medline_24895992,Pmcoa_3007797,Medline_18516314,Medline_17506005,Medline_19252380,Medline_17242904,Medline_19405015,Medline_24089587,Pmcoa_3780705,Pmcoa_4657809,Pmcoa_3182565,Pmcoa_2387283,Pmcoa_4936813,Medline_23686218,Pmcoa_2745811,Medline_18182816,Medline_19327250,Medline_15986373,Medline_11762956,Medline_14672897,Patent_US20060276496,Patent_US20060276453,Patent_US7790712,Patent_US20100190773,Medline_15681248,Medline_23179009,Medline_11454638,Medline_15458960,Medline_12687543,Medline_24252046,Medline_23385982,Medline_24471303,Medline_16118228,Medline_16541480,Patent_EP2473637A1,Patent_US20090041762,Patent_US20090204489,Medline_16095121,Medline_16126994,Medline_26819749,Pmcoa_4716562,Pmcoa_2564765,Medline_21955979,Patent_WO2008122007A1,Medline_23873508,Patent_EP2137325A1,Patent_US20140154247,Patent_US20160265056,Medline_27803350,Medline_26956056,Patent_EP2680884A2,Patent_US20110052488,Patent_WO2011028945A1,Patent_US20140341887,Patent_WO2012061620A1,Patent_WO2012118750A2,Patent_WO2006065975A2,Patent_US8728730,Pmcoa_3786643,Patent_US20110195063,Pmcoa_4046080,Pmcoa_5126192,Medline_12463474,Medline_17472991,Medline_14644870,Medline_15478146,Medline_16463437,Medline_12422001,Medline_15513681,Medline_17357804,Medline_20132079,Medline_15851955,Medline_17195623,Medline_18163509,Medline_18336538,Medline_15297279,Medline_16436489,Medline_10834859,Medline_12905476,Medline_20452801,Medline_15564309,Medline_20231198,Medline_15535831,Medline_17178760,Medline_18565245,Medline_16624120,Medline_17311903,Medline_17922913,Medline_16014677,Medline_21692827,Medline_22367694,Medline_17915089,Medline_18500471,Medline_21794523,Pmcoa_4998002,Medline_22584116,Medline_24067888,Pmcoa_1174966,Pmcoa_3446492,Pmcoa_4042548,Medline_19740900,Medline_27588089,Pmcoa_5214726,Pmcoa_3003525,Pmcoa_2888191,Pmcoa_1064868,Medline_15388510,Medline_12922954,Medline_19556566,Medline_21052570,Medline_24331412,Medline_19040305,Medline_19210883,Medline_15517300,Medline_15778240,Medline_17763616,Pmcoa_4847295,Medline_20162315,Medline_17417999,Medline_19644896,Medline_21906431,Pmcoa_2674552,Medline_27747581,Medline_22575067,Medline_27407244,Pmcoa_128906,Pmcoa_2206336,Pmcoa_3540908,Pmcoa_5098768,Pmcoa_5127962,Pmcoa_4060468,Pmcoa_5021454,Medline_17623745,Medline_21844149,Medline_18086603,Medline_15243394,Patent_EP2310410A2,Medline_17263820,Medline_18412298,Medline_20119843,Medline_15834064,Medline_16564827,Medline_19176849,Medline_18693125,Patent_WO2010003118A1,Medline_19457692,Patent_EP2516467A2,Medline_23604596,Medline_27159947,Medline_27451593,Patent_US20110152173,Patent_EP2310508A1,Patent_WO2010003108A2,Pmcoa_3269048,Patent_US20130052195,Patent_US20110177070","Association,TREAT,Prepositional,Treat,AssociationPositive,AssociationNegative,GeneExpression,Change,RegulationNegative"
"2","O=C1N(C2CCC(=O)NC2=O)C(=O)c2ccccc12","THALIDOMIDE","DRUG","ANKYLOSING SPONDYLARTHRITIDES","ANKYLOSING SPONDYLARTHRITIDES","CONDITION","91.3042680789518","10","Medline_12115153,Medline_12463469,Medline_11665993,Medline_26109960,Pmcoa_4468777,Pmcoa_130141,Medline_16777581,Medline_14719205,Pmcoa_128942,Medline_23143621","TREAT,Treat,Prepositional,AssociationPositive,AssociationNegative"
"3","MRAP","MRAP","GENE","ANKYLOSING SPONDYLARTHRITIDES","ANKYLOSING SPONDYLARTHRITIDES","CONDITION","84.24914410274263","210","Medline_2093877,Patent_WO1992008117A1,Medline_9766484,Medline_7674239,Medline_10923447,Medline_22621386,Medline_12406434,Medline_21547037,Medline_8864580,Pmcoa_4133264,Pmcoa_3087312,Medline_266600,Patent_WO2011063474A1,Medline_10227970,Medline_17472990,Medline_25491925,Pmcoa_3706219,Patent_WO2008121385A2,Medline_16361312,Medline_1588045,Medline_19167761,Medline_6339368,Medline_11282554,Medline_2257626,Medline_3495855,Medline_19731633,Medline_20118489,Medline_10754085,Medline_11123074,Medline_12947287,Medline_15304001,Medline_15308872,Medline_15832377,Medline_1901447,Medline_19318316,Medline_3484936,Medline_23620109,Medline_9892502,Medline_19265617,Medline_8228809,Medline_9365095,Medline_20540366,Patent_US20040176293,Medline_1540555,Medline_16899524,Medline_11035374,Medline_7738958,Medline_10450519,Medline_24498993,Patent_US7799824,Patent_WO2004058307A1,Pmcoa_2191228,Medline_22143340,Medline_19400606,Medline_23767933,Medline_7530015,Medline_3106790,Medline_6186656,Medline_8835504,Medline_9116265,Medline_7587736,Medline_3323571,Medline_8103147,Patent_US20060293379,Patent_US20080206261,Medline_6288151,Medline_7791441,Medline_8835511,Medline_7718009,Patent_EP1765803B1,Patent_US5719064,Medline_6603847,Patent_WO1994005303A1,Pmcoa_2689651,Pmcoa_3481813,Patent_US20060069123,Patent_US20070197590,Patent_WO2008109238A1,Pmcoa_3611897,Pmcoa_3629157,Pmcoa_4371743,Medline_18975311,Medline_3486286,Pmcoa_2213380,Medline_9928498,Pmcoa_2833636,Medline_10436911,Medline_21792826,Medline_10090616,Medline_8189072,Medline_23990399,Medline_19655145,Pmcoa_3658577,Pmcoa_4664593,Pmcoa_4847317,Medline_9433870,Medline_8350336,Pmcoa_3674603,Pmcoa_1794506,Medline_19731631,Pmcoa_3430237,Pmcoa_3273138,Medline_9928495,Medline_7100804,Medline_266593,Medline_24286455,Pmcoa_3978685,Medline_6982335,Medline_8574611,Pmcoa_4061722,Medline_22360441,Medline_16313971,Patent_EP0667781B1,Patent_EP0667781A1,Medline_19772787,Medline_657578,Patent_WO2015077763A1,Medline_8026527,Patent_US5874531,Medline_2259892,Medline_2484102,Medline_18381783,Medline_18519150,Medline_16079994,Medline_1953825,Medline_24600203,Medline_26131392,Medline_3487653,Medline_6673112,Medline_12121675,Medline_28802971,Pmcoa_4270715,Medline_2471998,Medline_9766487,Medline_6606400,Pmcoa_3933243,Medline_7656345,Medline_9866824,Patent_US6091000,Pmcoa_1839761,Pmcoa_4472283,Medline_11908564,Medline_15301245,Medline_16219705,Medline_11954876,Medline_25068597,Medline_266607,Medline_9952031,Medline_1503871,Medline_9058656,Medline_17029088,Medline_12154202,Pmcoa_3303000,Medline_23841117,Medline_23430249,Medline_22753660,Medline_26929215,Medline_694907,Medline_9529652,Medline_3484937,Patent_US20130315933,Medline_6420568,Pmcoa_3699907,Pmcoa_4612701,Medline_12468816,Medline_21743469,Medline_27586785,Medline_12428239,Medline_7417230,Medline_1699267,Medline_20196819,Medline_16249228,Medline_17416294,Medline_6847001,Medline_10374316,Medline_12476735,Medline_266592,Medline_10342045,Medline_15665390,Medline_11925083,Medline_17908086,Pmcoa_3839277,Medline_23916069,Medline_2412952,Medline_24666027,Medline_266595,Medline_2259882,Patent_WO1994006823A1,Medline_6607343,Medline_877468,Medline_9246112,Medline_2526875,Medline_6607503,Medline_601354,Medline_601672,Medline_68310,Patent_WO1991011718A1,Pmcoa_5009714,Pmcoa_2833456,Pmcoa_4340847,Medline_3768171,Medline_12811505,Patent_WO2012047294A2,Medline_14719206,Medline_7641516,Pmcoa_1779409,Medline_12085568,Pmcoa_3537770,Patent_EP0875582B1,Pmcoa_3796468","Prepositional,Part_Of,Association,AssociationNegative,AssociationPositive,Regulation,Similarity,Modification,Binding,Predict,GeneExpression,Change"
"4","CCCCN1CCCC1","BUTAZOLIDINE","DRUG","ANKYLOSING SPONDYLARTHRITIDES","ANKYLOSING SPONDYLARTHRITIDES","CONDITION","81.94757102744477","3","Medline_13031444,Medline_13433005,Medline_14394243","Prepositional"
"5","TNF","TNF","GENE","ANKYLOSING SPONDYLARTHRITIDES","ANKYLOSING SPONDYLARTHRITIDES","CONDITION","95.34138341572303","245","Medline_9583811,Pmcoa_5127962,Medline_15775140,Medline_22870436,Medline_22041181,Pmcoa_4513706,Medline_12463462,Medline_19318316,Medline_16932687,Medline_19219481,Medline_24832840,Pmcoa_5036083,Pmcoa_3580542,Pmcoa_5058915,Patent_EP2708242A2,Patent_US20100021451,Patent_EP2012586A2,Patent_US20090123378,Patent_US20140328855,Patent_US20160251424,Patent_US9279015,Patent_US8926975,Patent_EP2508520A1,Patent_EP2513119B1,Patent_EP2356103B1,Patent_EP2813509A1,Medline_15989547,Medline_16105913,Medline_18006539,Pmcoa_4597433,Patent_EP2535332A1,Patent_EP2535332B1,Medline_21630245,Medline_17722225,Medline_12463472,Medline_17874173,Medline_19877087,Medline_17762848,Medline_12572316,Medline_15212600,Medline_17425478,Medline_21205283,Medline_22337244,Patent_EP1948235A2,Pmcoa_1810253,Medline_27790037,Pmcoa_5045114,Pmcoa_3182565,Pmcoa_4003328,Pmcoa_4176640,Patent_US20120308589,Pmcoa_3046509,Pmcoa_4478299,Patent_US8557837,Pmcoa_4936813,Pmcoa_4055458,Medline_17472990,Medline_23840241,Medline_16174791,Medline_20022785,Medline_17156669,Pmcoa_5339458,Patent_US20070202104,Medline_26451133,Pmcoa_4612701,Medline_20349238,Patent_EP2719774A1,Patent_US20130005584,Patent_US20130017957,Patent_US8236503,Patent_US8771954,Patent_US9228232,Patent_US20120135409,Patent_US20130344066,Patent_EP2364368B1,Patent_US20100151471,Patent_US20140342367,Patent_US20160201133,Patent_US20150252422,Patent_US8795970,Patent_US9217176,Medline_15377173,Medline_10834859,Medline_17513569,Medline_25851594,Medline_25767155,Medline_16142852,Medline_19487267,Medline_14534471,Medline_20101303,Medline_17551364,Medline_21862108,Medline_16096329,Medline_15563249,Medline_11114280,Medline_12626807,Medline_12922954,Medline_15037444,Medline_15187239,Medline_16516484,Medline_15540959,Medline_19640854,Medline_12483753,Medline_17255137,Medline_15899063,Medline_16763453,Medline_22350572,Medline_11212159,Medline_16820380,Medline_18408116,Medline_20632149,Medline_15457463,Medline_16206346,Medline_16603583,Patent_WO2016030334A2,Medline_25915747,Medline_26244882,Medline_24337767,Medline_27924644,Medline_22019804,Medline_23818040,Medline_23342422,Medline_22926407,Medline_25070190,Medline_25198168,Medline_25764452,Medline_21833531,Medline_25110401,Medline_27924643,Medline_8147132,Patent_US20090252743,Medline_27643888,Pmcoa_4964174,Medline_27490376,Pmcoa_4132911,Patent_US20160346255,Pmcoa_2807147,Pmcoa_1174966,Pmcoa_3218909,Pmcoa_4411167,Patent_WO2007009233A2,Pmcoa_2674550,Pmcoa_2721344,Pmcoa_2580004,Pmcoa_4357466,Pmcoa_4907356,Pmcoa_5074714,Medline_19123083,Medline_21090160,Medline_21411412,Medline_22696935,Medline_18578960,Medline_11454638,Pmcoa_2834030,Medline_19395543,Medline_11986415,Medline_23899710,Medline_20190998,Medline_17651658,Medline_12381511,Medline_16777579,Medline_17308313,Medline_21508843,Medline_26626631,Medline_20828280,Pmcoa_2824092,Medline_27928313,Pmcoa_5120639,Medline_23715113,Medline_25028373,Medline_16528455,Medline_20506310,Medline_12022358,Medline_19350342,Medline_21402563,Medline_12827397,Medline_25252590,Medline_12381512,Medline_23955767,Medline_21120488,Medline_24576272,Patent_US8986696,Pmcoa_3086037,Patent_US8361467,Patent_US20090162376,Patent_US20050025765,Pmcoa_3123965,Medline_9568723,Medline_27747533,Pmcoa_4883264,Medline_20439531,Medline_20553600,Pmcoa_4410538,Pmcoa_2911911,Medline_19758203,Medline_18182816,Medline_21794442,Patent_US20080015185,Patent_EP1409463B1,Patent_US7030112,Medline_23861136,Medline_27917334,Pmcoa_5099303,Pmcoa_3976882,Medline_19466423,Pmcoa_4466433,Medline_20012053,Medline_24039666,Pmcoa_3748901,Pmcoa_4971137,Medline_25193010,Medline_26823867,Medline_23818109,Medline_15547093,Medline_17898885,Medline_19579151,Medline_17967831,Medline_10027781,Medline_16265699,Medline_17360787,Medline_15901904,Medline_23786760,Pmcoa_3194636,Pmcoa_3822794,Medline_26077401,Medline_26176701,Medline_26827703,Medline_25450240,Medline_26360697,Medline_9704649,Pmcoa_4716562,Pmcoa_2834028,Pmcoa_3025146,Pmcoa_4060369,Pmcoa_4503780,Pmcoa_2654885,Medline_8033419,Medline_21794432,Medline_26321488,Patent_EP1751271B1,Medline_20306214,Medline_16464984,Medline_18625618,Medline_21689401,Pmcoa_4159293","Association,Treat,Modification,AssociationNegative,Similarity,Prepositional,Predict,Regulation,Change,AssociationPositive,Stop"
"6","Cc1ccc(cc1)-c1cc(nn1-c1ccc(cc1)S(N)(=O)=O)C(F)(F)F","CELECOXIB","DRUG","ANKYLOSING SPONDYLARTHRITIDES","ANKYLOSING SPONDYLARTHRITIDES","CONDITION","87.80478967319188","7","Patent_WO2016191744A1,Patent_US20160346301,Medline_17616556,Medline_18613804,Pmcoa_3134091,Medline_24728119,Medline_24518967","Prepositional,TREAT,Treat"
"8","ADALIMUMAB","ADALIMUMAB","DRUG","ANKYLOSING SPONDYLARTHRITIDES","ANKYLOSING SPONDYLARTHRITIDES","CONDITION","93.92266970845111","83","Pmcoa_2674550,Medline_18360621,Pmcoa_4846706,Medline_23147904,Patent_EP2012586A2,Patent_US20090123378,Patent_EP2708242A2,Patent_US20160251424,Patent_US9279015,Patent_US20070172897,Pmcoa_4513706,Medline_20952469,Patent_US9086418,Patent_US7919264,Medline_19686597,Medline_23269571,Medline_18484692,Medline_17362051,Medline_20448079,Medline_19955052,Medline_28629289,Pmcoa_2745811,Pmcoa_4503780,Medline_21554150,Medline_22128084,Patent_US20100021451,Patent_US20140328855,Patent_US8926975,Pmcoa_3329233,Pmcoa_4839046,Pmcoa_2721299,Pmcoa_2745808,Pmcoa_2888191,Medline_21221193,Medline_18500471,Medline_24326011,Patent_EP2663329A2,Patent_WO2012160448A2,Medline_26919803,Pmcoa_2592815,Patent_US20150376275,Pmcoa_4046080,Patent_EP2714741A2,Patent_WO2012095432A2,Pmcoa_3012440,Patent_US20120328615,Patent_US20140065154,Patent_US9067997,Medline_24506823,Medline_27099170,Medline_21844149,Medline_19142641,Medline_17665483,Medline_19703304,Medline_22641598,Medline_22095405,Medline_23961524,Medline_22257918,Medline_21253622,Medline_21125168,Pmcoa_2726069,Pmcoa_5122644,Medline_18701556,Medline_18516314,Medline_17425478,Medline_17545684,Medline_27790037,Pmcoa_5045114,Pmcoa_2911911,Pmcoa_5034916,Pmcoa_3398294,Pmcoa_2387283,Pmcoa_4936813,Pmcoa_5089650,Medline_23686218,Medline_20346249,Medline_20528400,Medline_25739794,Pmcoa_4898935,Pmcoa_4746581,Medline_18056755,Medline_16447247,Pmcoa_2564805","AssociationNegative,Prepositional,Association,TREAT,Treat"
"10","ETANERCEPT","ETANERCEPT","DRUG","ANKYLOSING SPONDYLARTHRITIDES","ANKYLOSING SPONDYLARTHRITIDES","CONDITION","94.98925467932924","103","Pmcoa_3877987,Medline_26879348,Medline_21906429,Medline_20683633,Medline_15345498,Medline_17337229,Medline_22041181,Pmcoa_4513706,Patent_US7863259,Pmcoa_4065678,Medline_16329106,Medline_15778243,Medline_16206346,Medline_12794835,Medline_16881118,Medline_15818694,Medline_12906020,Medline_20483046,Medline_21092442,Medline_22390484,Medline_22333175,Pmcoa_3070274,Pmcoa_4060369,Medline_22337244,Medline_15077279,Medline_25467296,Medline_21373780,Medline_24731464,Medline_19078476,Medline_19465402,Medline_22116994,Medline_12463472,Medline_15843448,Medline_20833644,Medline_15190385,Medline_18500471,Medline_21618077,Medline_23789797,Medline_21279185,Medline_20731042,Medline_21570332,Medline_21700683,Pmcoa_2824092,Medline_22041180,Medline_22883337,Medline_28058373,Pmcoa_3790868,Patent_US20050152905,Medline_27381286,Pmcoa_2834027,Pmcoa_3025146,Pmcoa_4046080,Pmcoa_2721344,Patent_US8926975,Pmcoa_5175112,Medline_18753057,Medline_24812290,Medline_16142873,Medline_16644785,Medline_22941219,Medline_16932725,Medline_17337351,Medline_17610317,Medline_17389658,Medline_19488017,Pmcoa_3540908,Medline_23319853,Medline_24991219,Medline_17967833,Medline_20109079,Medline_21632677,Medline_19707347,Medline_18516314,Medline_18720264,Medline_17553909,Pmcoa_4511685,Patent_WO2008030611A2,Medline_23813506,Medline_21630245,Patent_EP2074144A2,Pmcoa_2387283,Pmcoa_4186333,Pmcoa_4936813,Medline_23686218,Patent_US8455495,Patent_EP2334674B1,Patent_US20120040983,Patent_US8772481,Patent_US20110281864,Medline_19781326,Medline_19466423,Medline_26764293,Medline_26843328,Medline_21844149,Medline_14613288,Medline_20130478,Medline_12511131,Medline_22575065,Medline_26075132,Medline_22634540,Medline_27115116,Pmcoa_4449912,Medline_24062201","TREAT,Association,AssociationPositive,Prepositional,Treat,AssociationNegative,Modification,Regulation,Binding"
"11","IL23R","IL23R","GENE","ANKYLOSING SPONDYLARTHRITIDES","ANKYLOSING SPONDYLARTHRITIDES","CONDITION","84.77380717625036","28","Medline_23840727,Medline_18199597,Medline_24998354,Patent_US20120244542,Patent_US20100008934,Patent_US20090311694,Patent_US20160222450,Patent_US20130196333,Patent_WO2010002891A1,Patent_US8206925,Patent_WO2012071436A1,Patent_US20140127213,Pmcoa_3007744,Pmcoa_2970560,Medline_18383363,Medline_19541528,Medline_21068102,Medline_19877036,Medline_27650612,Pmcoa_5136719,Pmcoa_2996314,Pmcoa_4411516,Medline_19369463,Medline_22782541,Pmcoa_4320502,Medline_27458846,Pmcoa_3932547,Pmcoa_3537770","Regulation,Association,Prepositional,Is_A,Part_Of"
