"Link ID","Source name","Source Display Name","Source type","Target name","Target Display Name","Target type","Confidence","Documents","Document IDs","Relationships"
"3","TNF","TNF","GENE","AORTIC ARCH SYNDROME","AORTIC ARCH SYNDROME","CONDITION","89.05162239597085","14","Medline_21212584,Pmcoa_3403355,Pmcoa_3955590,Medline_22155781,Medline_26707139,Medline_18677012,Medline_15248230,Medline_18037116,Pmcoa_3484501,Medline_22152288,Medline_18718263,Pmcoa_3194744,Medline_24093733,Medline_22328491","Prepositional,Association,Treat,Regulation,AssociationNegative"
"4","COc1c(C)c2COC(=O)c2c(O)c1C\C=C(/C)CCC(=O)OCCN1CCOCC1","MYCOPHENOLATE MOFETIL","DRUG","AORTIC ARCH SYNDROME","AORTIC ARCH SYNDROME","CONDITION","86.98823492114354","2","Medline_20054700,Medline_17332971","Prepositional,AssociationNegative"
"5","TOCILIZUMAB","TOCILIZUMAB","DRUG","AORTIC ARCH SYNDROME","AORTIC ARCH SYNDROME","CONDITION","89.3291184638355","8","Medline_23147976,Medline_24662551,Pmcoa_3270395,Medline_18383395,Medline_24357324,Medline_22009607,Medline_23820042,Medline_25869777","Prepositional,Treat,Association"
"7","CCL5","CCL5","GENE","AORTIC ARCH SYNDROME","AORTIC ARCH SYNDROME","CONDITION","67.06791510637777","4","Patent_WO2010065079A2,Medline_10393681,Patent_US20150274823,Patent_EP2367570A2","Prepositional"
"8","HLA-DRB4","HLA-DRB4","GENE","AORTIC ARCH SYNDROME","AORTIC ARCH SYNDROME","CONDITION","81.27188464961739","4","Pmcoa_5370036,Medline_16720219,Medline_21658421,Medline_25636572","Prepositional,Association"
"10","HLA-B","HLA-B","GENE","AORTIC ARCH SYNDROME","AORTIC ARCH SYNDROME","CONDITION","79.06794626532823","9","Medline_23830516,Medline_10980349,Pmcoa_5370036,Medline_7903491,Medline_15585327,Medline_22309845,Pmcoa_3392822,Medline_9951811,Medline_26178430","Association,Prepositional"
"11","PTX3","PTX3","GENE","AORTIC ARCH SYNDROME","AORTIC ARCH SYNDROME","CONDITION","76.8121251344581","2","Medline_26885720,Pmcoa_4245785","Prepositional,Similarity"
"13","INFLIXIMAB","INFLIXIMAB","DRUG","AORTIC ARCH SYNDROME","AORTIC ARCH SYNDROME","CONDITION","92.35493896629607","10","Medline_21538713,Medline_19851773,Medline_16633710,Medline_22223706,Medline_23393718,Medline_25517966,Pmcoa_4269410,Medline_24187162,Medline_21212584,Medline_23044074","Prepositional,Treat"
"18","CDK9","CDK9","GENE","AORTIC ARCH SYNDROME","AORTIC ARCH SYNDROME","CONDITION","62.30055425924608","2","Medline_20542893,Pmcoa_3674588","Follow"
"19","IL12B","IL12B","GENE","AORTIC ARCH SYNDROME","AORTIC ARCH SYNDROME","CONDITION","70.71511575242778","4","Pmcoa_4709624,Medline_25405820,Medline_23830516,Pmcoa_4131421","Prepositional,Association"
"20","CN(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(cc1)C(=O)N[C@@H](CCC(O)=O)C(O)=O","METHOTREXATE","DRUG","AORTIC ARCH SYNDROME","AORTIC ARCH SYNDROME","CONDITION","89.72543069329527","5","Medline_9631760,Medline_19445559,Medline_7913334,Medline_27011699,Pmcoa_4782475","Prepositional,Treat,Regulation"
"24","EDN1","EDN1","GENE","AORTIC ARCH SYNDROME","AORTIC ARCH SYNDROME","CONDITION","76.24885587373204","2","Medline_19057845,Medline_8793164","Prepositional"
