"Link ID","Source name","Source Display Name","Source type","Target name","Target Display Name","Target type","Confidence","Documents","Document IDs","Relationships"
"2","HIF1A","HIF1A","GENE","ASEPTIC NECROSIS OF BONE","ASEPTIC NECROSIS OF BONE","CONDITION","80.7528658086314","3","Medline_19345751,Medline_17292638,Medline_21472328","Follow,AssociationPositive,Prepositional,Association"
"3","CC(C)CCC[C@@H](C)CCC[C@@H](C)CCC[C@]1(C)CCc2c(C)c(O)c(C)c(C)c2O1","VITAMIN E","DRUG","ASEPTIC NECROSIS OF BONE","ASEPTIC NECROSIS OF BONE","CONDITION","86.79956239064029","5","Pmcoa_2856221,Medline_20146637,Medline_20170436,Pmcoa_3214757,Medline_20953930","AssociationNegative"
"4","CC[C@H](C)C(=O)O[C@H]1C[C@H](O)C=C2C=C[C@H](C)[C@H](CC[C@@H](O)C[C@@H](O)CC(O)=O)[C@@H]12","PRAVASTATIN","DRUG","ASEPTIC NECROSIS OF BONE","ASEPTIC NECROSIS OF BONE","CONDITION","79.45947663028434","3","Medline_24510055,Medline_22313369,Pmcoa_3278663","AssociationNegative"
"5","OC(Cn1ccnc1)(P(O)(O)=O)P(O)(O)=O","ZOLEDRONIC ACID","DRUG","ASEPTIC NECROSIS OF BONE","ASEPTIC NECROSIS OF BONE","CONDITION","90.01544612007267","27","Pmcoa_2650402,Medline_27296235,Medline_26178889,Pmcoa_5806937,Medline_19182368,Medline_26154396,Medline_22623376,Medline_25308796,Medline_27176567,Pmcoa_4899021,Pmcoa_5288240,Pmcoa_5124310,Medline_18097268,Pmcoa_4707237,Medline_24120382,Medline_21517810,Pmcoa_3638364,Medline_23891014,Medline_25727550,Medline_24504100,Medline_19574685,Medline_12966493,Medline_25352470,Medline_19903091,Medline_26548471,Medline_17236837,Medline_17410188","Association,TREAT,Prepositional,AssociationPositive,Similarity,AssociationNegative"
"6","BMP2","BMP2","GENE","ASEPTIC NECROSIS OF BONE","ASEPTIC NECROSIS OF BONE","CONDITION","77.7781088041658","7","Medline_22876776,Pmcoa_3461435,Medline_21593363,Patent_US20120010139,Patent_US8614190,Medline_23219944,Medline_23423227","Prepositional,AssociationPositive,Treat"
"7","C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO","DEXAMETHASONE","DRUG","ASEPTIC NECROSIS OF BONE","ASEPTIC NECROSIS OF BONE","CONDITION","93.06417025322477","9","Pmcoa_5356826,Medline_23375897,Medline_17016224,Medline_23561879,Medline_26967741,Pmcoa_4529108,Pmcoa_4788417,Pmcoa_5342578,Medline_22901620","Association,Prepositional,AssociationPositive,AssociationNegative"
"9","ADAMTS7","ADAMTS7","GENE","ASEPTIC NECROSIS OF BONE","ASEPTIC NECROSIS OF BONE","CONDITION","61.65169060764845","2","Medline_25653475,Pmcoa_4310498","GeneExpression"
"10","DENOSUMAB","DENOSUMAB","DRUG","ASEPTIC NECROSIS OF BONE","ASEPTIC NECROSIS OF BONE","CONDITION","87.94194732629606","27","Pmcoa_3956892,Patent_US20160074409,Pmcoa_4582495,Medline_25073227,Medline_26893859,Pmcoa_4920456,Pmcoa_4723324,Medline_27648313,Pmcoa_5018314,Medline_24804929,Pmcoa_5806951,Patent_WO2012069150A2,Pmcoa_4518709,Pmcoa_3437759,Pmcoa_3874012,Medline_26859582,Medline_26460208,Medline_23605142,Medline_26607453,Pmcoa_4819088,Medline_27234854,Medline_26337218,Medline_24582013,Pmcoa_3387828,Medline_26232916,Medline_22942143,Medline_20306021","AssociationPositive,Association,AssociationNegative,Similarity,Regulation"
"11","DALTEPARIN","LOW MOLECULAR WEIGHT HEPARIN","DRUG","ASEPTIC NECROSIS OF BONE","ASEPTIC NECROSIS OF BONE","CONDITION","86.61095062193172","6","Medline_25275980,Medline_25110730,Pmcoa_4106066,Medline_15930934,Medline_27134631,Pmcoa_3518945","Treat,AssociationNegative"
"12","OC[C@H]1O[C@H]([C@H](O)[C@@H](O)[C@@H]1O)c1c(O)ccc2c1occ(-c1ccc(O)cc1)c2=O","N1114","DRUG","ASEPTIC NECROSIS OF BONE","ASEPTIC NECROSIS OF BONE","CONDITION","66.42866073307613","2","Medline_18350350,Pmcoa_3518945","AssociationNegative"
