"Link ID","Source name","Source Display Name","Source type","Target name","Target Display Name","Target type","Confidence","Documents","Document IDs","Relationships"
"0","LYZ","LYZ","GENE","CHRONIC ULCERATIVE COLITIS","CHRONIC ULCERATIVE COLITIS","CONDITION","90.7863512647476","18","Medline_1015972,Medline_1110725,Medline_14887851,Medline_1244493,Medline_12976980,Medline_1015973,Medline_1265442,Medline_1634071,Medline_18127548,Medline_20250444,Medline_18886575,Medline_609977,Medline_773792,Medline_9581464,Patent_EP2374006A1,Patent_WO2010064018A1,Medline_28100085,Medline_977770","Prepositional,Association,GeneExpression,Similarity"
"1","SERPINA1","SERPINA1","GENE","CHRONIC ULCERATIVE COLITIS","CHRONIC ULCERATIVE COLITIS","CONDITION","88.82261716496316","5","Medline_10521988,Medline_1525248,Medline_18340647,Medline_16751115,Medline_24520781","Similarity,Prepositional"
"2","O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.[Al].[Al].[Al].[Al].[Al].[Al].[Al].[Al].[Al].OS(=O)(=O)OC[C@H]1O[C@@H](O[C@]2(COS(O)(=O)=O)O[C@H](OS(O)(=O)=O)[C@@H](OS(O)(=O)=O)[C@@H]2OS(O)(=O)=O)[C@H](OS(O)(=O)=O)[C@@H](OS(O)(=O)=O)[C@@H]1OS(O)(=O)=O","SUCRALFATE","DRUG","CHRONIC ULCERATIVE COLITIS","CHRONIC ULCERATIVE COLITIS","CONDITION","85.90910500630059","6","Medline_10531730,Medline_10505732,Medline_3410232,Medline_9305494,Patent_EP0808629A1,Patent_US5968906","Prepositional"
"3","TP53","TP53","GENE","CHRONIC ULCERATIVE COLITIS","CHRONIC ULCERATIVE COLITIS","CONDITION","92.50362405501501","26","Medline_11737306,Medline_29070013,Pmcoa_5655860,Medline_7927312,Medline_10571818,Pmcoa_4531944,Medline_10435567,Pmcoa_5838187,Medline_23599650,Medline_16288013,Medline_15067728,Medline_15199542,Medline_18507080,Medline_8500720,Medline_9468583,Medline_27407732,Medline_8495305,Medline_7610353,Medline_8537051,Pmcoa_1064878,Pmcoa_4249752,Patent_US20100242124,Patent_US8389792,Patent_WO2009042642A2,Medline_17671760,Medline_25712892","GeneExpression,AssociationNegative,Prepositional,Change,Association,Similarity,Modification,Treat"
"4","IFNG","IFNG","GENE","CHRONIC ULCERATIVE COLITIS","CHRONIC ULCERATIVE COLITIS","CONDITION","93.71868772261337","11","Medline_21067914,Medline_11069315,Medline_27622899,Pmcoa_4555153,Pmcoa_5552230,Pmcoa_4669991,Pmcoa_4655383,Medline_8100205,Medline_8683036,Medline_9860336,Medline_9922506","Prepositional,AssociationPositive,AssociationNegative,Localization"
"6","MIF","MIF","GENE","CHRONIC ULCERATIVE COLITIS","CHRONIC ULCERATIVE COLITIS","CONDITION","90.05911192614981","7","Medline_11298781,Medline_11757824,Medline_17978542,Medline_15681778,Patent_EP2352762A1,Patent_US20110212104,Patent_WO2010062663A1","Regulation,Prepositional,Modification,Part_Of"
"7","CCC1NC(=O)C(C(O)C(C)C\C=C\C)N(C)C(=O)C(C(C)C)N(C)C(=O)C(CC(C)C)N(C)C(=O)C(CC(C)C)N(C)C(=O)C(C)NC(=O)C(C)NC(=O)C(CC(C)C)N(C)C(=O)C(NC(=O)C(CC(C)C)N(C)C(=O)CN(C)C1=O)C(C)C","CICLOSPORIN","DRUG","CHRONIC ULCERATIVE COLITIS","CHRONIC ULCERATIVE COLITIS","CONDITION","97.36563265379581","150","Medline_26276312,Patent_WO2014071207A1,Medline_9782579,Medline_21132334,Medline_8819802,Medline_25155925,Medline_12352237,Medline_11328260,Patent_WO2002089796A2,Medline_24785401,Pmcoa_4660126,Pmcoa_4010821,Patent_US20050191702,Patent_US20030017979,Patent_US6723538,Patent_WO2002020615A2,Medline_12656136,Medline_15168804,Medline_11469977,Medline_15131824,Medline_18047542,Medline_10955604,Medline_10804688,Medline_16829206,Medline_19403349,Medline_7497833,Patent_EP2079456A2,Patent_US20160166635,Patent_US20100203120,Patent_EP2409691A1,Patent_EP2079456B1,Patent_US8535713,Patent_US20160324919,Patent_US9675558,Patent_US20130330411,Patent_US20170246242,Patent_US9387179,Patent_WO2008122965A2,Patent_WO2015104414A1,Pmcoa_4435295,Patent_US9782389,Patent_US20160317501,Medline_8638193,Medline_28566594,Medline_17566033,Medline_19137604,Medline_1960626,Medline_7695771,Medline_1995269,Medline_20804404,Medline_9705531,Patent_WO2005035714A2,Medline_16238120,Medline_11586667,Medline_12014423,Medline_9612926,Medline_11475136,Medline_25171024,Medline_15030042,Medline_27366036,Medline_10364029,Medline_15674937,Medline_10897389,Medline_11313325,Medline_19439969,Medline_16373014,Medline_8425455,Medline_19786771,Medline_15168819,Medline_16268964,Medline_20614157,Medline_7990899,Medline_9619388,Medline_23063315,Medline_18952199,Medline_24918015,Patent_EP2727944A1,Patent_US20050154046,Patent_US20090325895,Medline_25046008,Medline_24160949,Patent_US20160317609,Patent_US8394847,Medline_28316532,Medline_9011460,Medline_6150306,Patent_EP1706112A2,Patent_EP2351564B1,Medline_9706775,Medline_8196726,Patent_WO2015067762A1,Patent_WO2017216206A1,Medline_8540494,Patent_EP1758574A1,Patent_EP3020400A1,Patent_EP1758573A1,Patent_US20070219271,Patent_US20090018125,Patent_EP2351564A1,Patent_WO2005069933A2,Patent_US20110160157,Patent_US20130178439,Patent_US20150132374,Patent_US8563525,Patent_EP3215127A1,Patent_WO2005123061A1,Patent_US7582670,Patent_WO2017025638A1,Patent_WO2016071515A1,Patent_WO2005123060A1,Pmcoa_4923821,Pmcoa_4212306,Medline_19405256,Medline_20370728,Medline_10950049,Medline_28675163,Medline_17431732,Medline_9798801,Medline_9197170,Medline_16909296,Medline_21817844,Patent_EP2996715A1,Patent_WO2014184194A1,Pmcoa_4994668,Medline_11598471,Medline_1974964,Medline_10586607,Medline_15041927,Medline_10979350,Medline_11051412,Medline_10710097,Medline_15244207,Medline_16328610,Medline_16368919,Medline_12524395,Medline_1625744,Medline_16230092,Medline_16495899,Medline_16401502,Medline_22098019,Medline_9317057,Medline_24463500,Medline_25473080,Medline_27595142,Medline_9040337,Medline_28404107,Medline_9119304,Patent_US20090258848,Pmcoa_3168385,Pmcoa_4562776","Regulation,Association,Treat,Prepositional,AssociationNegative"
"8","INFLIXIMAB","INFLIXIMAB","DRUG","CHRONIC ULCERATIVE COLITIS","CHRONIC ULCERATIVE COLITIS","CONDITION","96.32017015648802","294","Pmcoa_4070603,Pmcoa_4070608,Pmcoa_4212306,Medline_26099066,Pmcoa_4600527,Medline_23653941,Medline_17481518,Medline_26552918,Medline_21448149,Medline_25483435,Medline_25277873,Medline_19672713,Medline_25368705,Pmcoa_4217757,Medline_24785401,Medline_25547087,Medline_28796080,Pmcoa_4010821,Pmcoa_5556246,Pmcoa_4660126,Medline_20104217,Medline_19700435,Medline_20626381,Medline_17206703,Medline_24648749,Medline_21453887,Medline_25968585,Medline_25358062,Medline_24917999,Medline_25117777,Medline_25285408,Medline_28629912,Medline_25518051,Medline_23799948,Medline_27317850,Medline_28207014,Medline_26775117,Pmcoa_3958527,Pmcoa_5514398,Pmcoa_4423460,Pmcoa_5742452,Pmcoa_4203839,Medline_26019471,Medline_12385442,Medline_15269622,Medline_17439506,Medline_16829206,Medline_17683171,Medline_17112300,Medline_17949610,Medline_17355841,Medline_25086677,Medline_19669196,Medline_25057381,Medline_27231106,Pmcoa_2725290,Pmcoa_3873070,Pmcoa_3504723,Pmcoa_4435295,Pmcoa_3990780,Pmcoa_3623546,Pmcoa_4012674,Pmcoa_5591823,Pmcoa_3581271,Medline_18442203,Medline_18044405,Medline_15076630,Medline_20108148,Medline_21053245,Pmcoa_4893041,Pmcoa_3063437,Medline_28472597,Pmcoa_4669991,Medline_28448684,Medline_20196149,Medline_19841597,Pmcoa_2920702,Pmcoa_5735940,Pmcoa_4212304,Medline_21945924,Medline_15255018,Medline_16441465,Pmcoa_4780457,Medline_28932267,Medline_27478817,Pmcoa_4958475,Medline_26462273,Medline_11380041,Medline_18645529,Medline_17599035,Medline_21272801,Medline_20824816,Medline_21122582,Medline_21684486,Medline_21694839,Medline_22468086,Medline_26343749,Medline_25917786,Patent_US20150184244,Medline_26133362,Medline_26114187,Patent_EP2326731B1,Patent_EP2326731A2,Patent_US20110160085,Patent_WO2010044952A2,Pmcoa_3108644,Pmcoa_4012244,Pmcoa_4599165,Medline_28906290,Medline_15138212,Medline_16313878,Medline_17325550,Medline_22350842,Medline_24983979,Medline_24193155,Medline_24506179,Medline_12801957,Medline_27366036,Medline_28326583,Medline_11802508,Medline_28272203,Medline_29189869,Medline_15149578,Medline_15564805,Medline_12806639,Medline_12869077,Medline_17697208,Medline_18401859,Medline_15365397,Medline_16938710,Medline_18816780,Medline_16825928,Medline_18343261,Medline_18536964,Medline_18354755,Medline_17701864,Medline_16109221,Medline_15735427,Medline_20736936,Medline_16280968,Medline_17129815,Medline_17229218,Medline_22486187,Medline_22436036,Medline_19018340,Medline_19707369,Medline_23063315,Medline_24129407,Medline_24206379,Medline_23018106,Medline_23448790,Medline_23979435,Medline_19102352,Medline_20636704,Medline_21180594,Medline_24533622,Medline_26933751,Medline_21087119,Medline_24206380,Medline_24690137,Medline_25733037,Medline_24316950,Medline_24749085,Medline_25735123,Medline_25171024,Medline_24572593,Medline_26200929,Medline_23467174,Medline_24160949,Medline_29109492,Medline_22038892,Medline_26587866,Patent_US9492516,Medline_28025840,Medline_26921082,Medline_27693318,Medline_28076386,Medline_29266456,Medline_28326588,Medline_26116556,Medline_26818660,Medline_26838522,Patent_EP2307563B1,Patent_WO2017216206A1,Pmcoa_4962361,Patent_US20150004187,Patent_EP2782602A1,Patent_EP2596806A1,Patent_US20170121774,Patent_US20150323546,Patent_US9795627,Patent_US20160228490,Patent_US20170014442,Pmcoa_5126192,Patent_US20130040835,Patent_US20130040845,Patent_US20150010654,Patent_WO2013076262A1,Patent_WO2014070769A1,Pmcoa_2797497,Patent_US9308234,Pmcoa_2721383,Pmcoa_3084301,Pmcoa_5424291,Pmcoa_3012439,Pmcoa_4535387,Pmcoa_4697038,Pmcoa_4058945,Pmcoa_4176341,Pmcoa_4923821,Pmcoa_3538174,Pmcoa_5226844,Pmcoa_5643264,Pmcoa_5348151,Medline_25517596,Medline_27101404,Medline_17652038,Medline_16339095,Medline_19596014,Medline_23521659,Medline_21172214,Medline_21723220,Medline_19651627,Medline_27149138,Medline_24164601,Medline_26948837,Medline_23672831,Medline_24512909,Medline_27893931,Pmcoa_5121559,Pmcoa_4627392,Pmcoa_5066310,Pmcoa_5139742,Pmcoa_5574471,Medline_24281360,Pmcoa_3398107,Pmcoa_4994668,Medline_11513177,Medline_16571891,Medline_16575949,Medline_18565304,Medline_12385428,Medline_16208122,Medline_28052276,Medline_12650824,Medline_12405245,Medline_16230092,Medline_19265360,Medline_11513164,Medline_15489577,Medline_17211348,Medline_15940648,Medline_16401502,Medline_17301656,Medline_18387427,Medline_19434867,Medline_17903716,Medline_21575893,Medline_21694867,Medline_18622161,Medline_19734983,Medline_20485259,Medline_20003364,Medline_16575950,Medline_18598998,Medline_22244417,Medline_23377397,Medline_22098019,Medline_21960778,Medline_21960779,Medline_24674943,Medline_19035973,Medline_21332558,Medline_19769687,Medline_25678223,Medline_26627333,Medline_26818468,Medline_24463500,Medline_24496430,Medline_26019477,Medline_23829336,Medline_28484890,Medline_29200787,Medline_27636927,Medline_27695502,Medline_27595142,Medline_28404107,Medline_25196883,Patent_US20160136272,Patent_WO2014184194A1,Pmcoa_3108681,Pmcoa_4602524,Pmcoa_5705380,Pmcoa_5016577","TREAT,Treat,AssociationPositive,Predict,Association,Regulation,AssociationNegative,Prepositional,GeneExpression,Cure"
"9","HLA-DRB1","HLA-DRB1","GENE","CHRONIC ULCERATIVE COLITIS","CHRONIC ULCERATIVE COLITIS","CONDITION","84.82568586053307","4","Medline_12073071,Medline_9777329,Pmcoa_4310771,Medline_24597629","Regulation,Prepositional,AssociationNegative"
"10","OC(=O)c1cc(ccc1O)\N=N\c1ccc(cc1)S(=O)(=O)Nc1ccccn1","SULFASALAZINE","DRUG","CHRONIC ULCERATIVE COLITIS","CHRONIC ULCERATIVE COLITIS","CONDITION","94.59299464954059","98","Medline_14726972,Medline_43585,Medline_6117796,Medline_15752,Medline_2866071,Pmcoa_5013332,Patent_US20090280177,Patent_EP2077114A1,Pmcoa_5291859,Medline_235486,Medline_11856080,Medline_16961743,Medline_2646221,Medline_2865931,Medline_2867466,Medline_6135986,Medline_2903432,Patent_EP2296649A1,Patent_WO2010000404A1,Pmcoa_1215483,Patent_EP2140866A1,Medline_2866866,Patent_US20110172222,Medline_2898422,Medline_2889648,Medline_1359782,Medline_2887473,Medline_11953203,Medline_18070060,Medline_12619425,Medline_1626611,Medline_6135423,Medline_1970478,Medline_21720,Medline_22507188,Medline_2576350,Medline_2908013,Medline_7479459,Medline_8677990,Medline_8730244,Patent_US20130052273,Patent_EP2514426A1,Patent_US20120309699,Patent_WO2000016765A1,Patent_US20100152304,Pmcoa_3523503,Pmcoa_5606053,Medline_6139795,Pmcoa_5059552,Medline_26775891,Medline_782236,Medline_14050794,Medline_19096754,Patent_US20060106002,Pmcoa_4959752,Medline_2883067,Pmcoa_5352032,Medline_12408504,Medline_1360440,Medline_10696629,Medline_13865153,Medline_13994348,Medline_18770034,Medline_4397356,Medline_81963,Medline_1674925,Medline_235835,Medline_6113614,Medline_4404480,Medline_4384228,Medline_2875518,Medline_2888801,Patent_EP1080727A1,Medline_88609,Pmcoa_5139765,Medline_2892391,Medline_1667648,Medline_8796220,Medline_2865837,Medline_3976564,Medline_6135611,Pmcoa_4301466,Patent_US20160274090,Pmcoa_5738832,Pmcoa_4360003,Patent_WO2001045725A2,Patent_US8685741,Medline_15553846,Medline_10881520,Patent_US6423340,Patent_WO1991007172A1,Medline_36307,Patent_EP1946754A1,Medline_10572429,Medline_1348965,Medline_34887,Patent_US20080318931,Pmcoa_3179308","Association,AssociationNegative,Treat,AssociationPositive,Prepositional,Regulation"
