Id,Label,timeset,class,modularity_class,componentnumber,Degree,Label_copy
ANKYLOSING SPONDYLARTHRITIDES,,,disease,1,0,97,ANKYLOSING SPONDYLARTHRITIDES
AORTIC ARCH SYNDROME,,,disease,1,0,15,AORTIC ARCH SYNDROME
CROHN'S DISEASE,Crohn's disease,,disease,3,0,228,CROHN'S DISEASE
HENOCH-SCHONLEIN PURPURA,,,disease,1,0,18,HENOCH-SCHONLEIN PURPURA
SARCOIDOSIS,,,disease,0,0,119,SARCOIDOSIS
CSF1R,,,gene,3,0,3,
MMP9,,,gene,1,0,11,
PTGER4,,,gene,1,0,4,
CNR1,,,gene,1,0,4,
DKK1,,,gene,1,0,5,
IL17A,,,gene,1,0,14,
LPL,,,gene,1,0,3,
AHSG,,,gene,1,0,3,
PEPD,,,gene,1,0,3,
BMP7,,,gene,1,0,2,
NFATC1,,,gene,1,0,3,
LIF,,,gene,1,0,2,
IL33,,,gene,1,0,11,
IL1RN,,,gene,0,0,7,
IL18,,,gene,3,0,9,
HLA-DRB1,,,gene,1,0,10,
VWF,,,gene,1,0,6,
IGAN1,,,gene,1,0,8,
IL10,,,gene,1,0,15,
PTX3,,,gene,1,0,4,
HMGB1,,,gene,1,0,10,
IL2RA,,,gene,1,0,13,
IGHA1,,,gene,1,0,3,
HLA-DRB4,,,gene,1,0,11,
HLA-B,,,gene,1,0,6,
MRAP,,,gene,1,0,3,
CASP1,,,gene,1,0,2,
CYP2D6,,,gene,1,0,2,
TAP1,,,gene,0,0,4,
CD163,,,gene,1,0,3,
MMP3,,,gene,1,0,6,
B2M,,,gene,1,0,5,
MEFV,,,gene,1,0,5,
ERAP2,,,gene,1,0,1,
ANTXR2,,,gene,1,0,1,
MIR146A,,,gene,1,0,6,
TRH,,,gene,1,0,1,
SCT,,,gene,1,0,1,
IL23A,,,gene,1,0,9,
SOCS1,,,gene,1,0,3,
KIR3DL1,,,gene,1,0,2,
PTPN22,,,gene,3,0,6,
RNASE3,,,gene,1,0,3,
ANKH,,,gene,1,0,1,
ALPL,,,gene,1,0,1,
PDCD1,,,gene,0,0,5,
CSF2,,,gene,0,0,5,
SYNPR,,,gene,1,0,1,
IL17RA,,,gene,1,0,4,
VIP,,,gene,0,0,6,
TAP2,,,gene,0,0,4,
TNFRSF10A,,,gene,1,0,3,
GDF15,,,gene,1,0,1,
EDN1,,,gene,1,0,9,
CREG1,,,gene,1,0,1,
RUNX3,,,gene,1,0,2,
TNFSF15,,,gene,3,0,4,
TNFRSF10B,,,gene,1,0,2,
JMY,,,gene,1,0,1,
KDM5A,,,gene,1,0,1,
QPCT,,,gene,1,0,1,
MECOM,,,gene,1,0,1,
CA1,,,gene,1,0,3,
CCR7,,,gene,3,0,2,
BMP6,,,gene,1,0,1,
TMEM106C,,,gene,1,0,1,
IRF4,,,gene,1,0,1,
CCL21,,,gene,1,0,2,
HLA-C,,,gene,3,0,3,
CCL19,,,gene,1,0,1,
PPARGC1B,,,gene,1,0,1,
HDAC3,,,gene,1,0,1,
TNFSF10,,,gene,1,0,2,
H3P6,,,gene,1,0,1,
PON1,,,gene,1,0,2,
TNFAIP1,,,gene,1,0,1,
CDK9,,,gene,1,0,2,
IL12B,,,gene,1,0,11,
BW52,,,gene,1,0,1,
CCL5,,,gene,1,0,7,
CD80,,,gene,0,0,4,
MMP2,,,gene,0,0,4,
HSPA4,,,gene,0,0,5,
CHI3L1,,,gene,0,0,4,
STAT3,,,gene,3,0,6,
CCR2,,,gene,3,0,4,
STAT1,,,gene,0,0,5,
TP53,,,gene,0,0,6,
FOXP3,,,gene,0,0,6,
CD4,,,gene,0,0,3,
IL13,,,gene,3,0,6,
SAA1,,,gene,0,0,4,
RBM45,,,gene,0,0,6,
NELFCD,,,gene,0,0,3,
IL17C,,,gene,3,0,3,
FCGR3A,,,gene,0,0,3,
ANXA1,,,gene,3,0,2,
IL6R,,,gene,3,0,3,
TNFRSF1B,,,gene,0,0,3,
CD86,,,gene,0,0,2,
CTLA4,,,gene,0,0,5,
FAP,,,gene,3,0,2,
MT1JP,,,gene,0,0,2,
PLA2G1B,,,gene,3,0,3,
CXCL16,,,gene,3,0,2,
SLC11A1,,,gene,0,0,4,
KLRK1,,,gene,3,0,4,
CD274,,,gene,0,0,5,
MIP,,,gene,3,0,2,
NR2C2,,,gene,3,0,2,
IRF5,,,gene,3,0,4,
FOXO3,,,gene,3,0,3,
IL17F,,,gene,3,0,5,
MYDGF,,,gene,3,0,3,
TBC1D9,,,gene,3,0,2,
BCHE,,,gene,3,0,2,
MUC2,,,gene,3,0,2,
PTGS1,,,gene,3,0,2,
CCR9,,,gene,3,0,3,
MADCAM1,,,gene,3,0,2,
ITGAE,,,gene,0,0,2,
GPBAR1,,,gene,3,0,2,
MSH2,,,gene,3,0,2,
NKX2-3,,,gene,3,0,2,
SEMA4A,,,gene,3,0,2,
NOD1,,,gene,0,0,2,
DMBT1,,,gene,3,0,2,
CLDN2,,,gene,3,0,2,
MIR31,,,gene,3,0,3,
EIM,,,gene,3,0,2,
CCL25,,,gene,3,0,2,
XBP1,,,gene,3,0,2,
TRAF3IP2,,,gene,3,0,4,
ATG16L1,,,gene,3,0,2,
IBD5,,,gene,3,0,1,
IL18BP,,,gene,3,0,2,
TLR5,,,gene,3,0,1,
DEFB4A,,,gene,3,0,2,
DLG5,,,gene,3,0,1,
IL10RA,,,gene,3,0,2,
SLC22A4,,,gene,3,0,1,
SPINK1,,,gene,3,0,1,
PTPN2,,,gene,3,0,1,
LTA,,,gene,3,0,2,
AOC1,,,gene,3,0,2,
IRGM,,,gene,3,0,1,
LCN2,,,gene,1,0,4,
ENTPD1,,,gene,3,0,1,
TYK2,,,gene,3,0,3,
HSPA2,,,gene,3,0,1,
TMEM201,,,gene,3,0,1,
ICAM3,,,gene,3,0,1,
CISH,,,gene,3,0,1,
IL4R,,,gene,3,0,1,
IGFBP5,,,gene,3,0,1,
GLS,,,gene,3,0,1,
KIR2DL3,,,gene,3,0,1,
CARD8,,,gene,3,0,1,
GAST,,,gene,3,0,1,
