"","Drug","Gene","ICD","gene_ICD_ref","drug_gene_ref"
"1","CSL112","ABCA1","SJOGREN'S SYNDROME","Medline_11355874,Patent_WO2017123795A1","Pmcoa_5006797,Pmcoa_5147036,Pmcoa_4555973"
"2","PSC833","ABCA1","SJOGREN'S SYNDROME","Medline_11355874,Patent_WO2017123795A1","Medline_23153588,Pmcoa_6293020"
"3","TTNPB","ABCA1","SJOGREN'S SYNDROME","Medline_11355874,Patent_WO2017123795A1","Patent_US20060009520,Patent_US20060009520A1,Medline_14560020"
"4","METHOXYFLURANE","ABCD1","SYSTEMIC LUPUS ERYTHEMATOSUS","Pmcoa_3633861,Pmcoa_3143173","Patent_US9738665,Patent_US20150031908,Patent_US20170114079,Patent_US9562005"
"5","CYTIDINE DIPHOSPHATE","ACACA","ARTHRITIS","Medline_28679953,Pmcoa_2646582","Patent_US20130273246,Patent_US9650711"
"6","D-MANNOPYRANOSE, 2-AMINO-2-DEOXY- (9CI)","ACAN","ARTHRITIS","Medline_16584896,Pmcoa_3925549,Pmcoa_5074720,Medline_25382274,Medline_7538228,Medline_17444955,Medline_9627011,Medline_7518830,Patent_US20140038841,Patent_WO1998035235A1,Medline_10751421,Medline_9541498,Medline_10765982,Pmcoa_4965111,Patent_EP2989121A1,Patent_US20160158330,Patent_WO2014176604A1,Pmcoa_4260139,Patent_WO1996001847A1,Medline_11932252,Medline_23797671,Medline_15880348,Medline_15468069,Patent_EP2422814A1,Patent_EP1661580B1,Patent_EP1661580A1,Patent_US20070270489,Patent_US20120316241,Patent_US6391610,Pmcoa_128908,Pmcoa_1175049,Pmcoa_128909,Medline_11263784,Medline_15286393,Medline_19254958,Medline_21262368,Medline_7664487,Patent_US20020082297,Patent_US20020082296,Patent_US6433013,Patent_US7122577,Pmcoa_2714094,Patent_WO1998039025A2,Pmcoa_3521484,Pmcoa_2675029,Pmcoa_1065315,Patent_WO2010019034A1,Pmcoa_2592792,Pmcoa_2688253,Pmcoa_2704168,Pmcoa_4061931,Pmcoa_5294766,Pmcoa_3936819,Pmcoa_4745575,Medline_9777960,Pmcoa_1779431,Pmcoa_5740178","Medline_12880584,Medline_10640399"
"7","UNII-D874R9PZ9T","ACAT2","CHRONIC ULCERATIVE COLITIS","Medline_21987487,Pmcoa_4245558","Patent_US20140170210,Patent_US09206425,Patent_US20140170210A1,Patent_US9206425,Medline_16730694"
"8","ISOCITRATE","ACO1","POLYCYTHEMIA","Medline_23395173,Pmcoa_5850917,Pmcoa_4056636,Medline_23395174","Medline_26755275,Pmcoa_3935484"
"9","AMINOCYCLOPROPANECARBOXYLIC ACID","ACO1","POLYCYTHEMIA","Medline_23395173,Pmcoa_5850917,Pmcoa_4056636,Medline_23395174","Pmcoa_6199567,Medline_12416623"
"10","SEPTA","ACTA2","SCLERODERMA","Medline_15854026,Medline_18203815,Patent_US20090075875,Patent_US8058227,Medline_27252423,Pmcoa_4438188,Pmcoa_3580540,Pmcoa_3978899","Medline_22177033,Patent_EP2467162A1,Patent_WO2011022710A1"
"11","DIETHYLCARBAMAZINE","ACTA2","SCLERODERMA","Medline_15854026,Medline_18203815,Patent_US20090075875,Patent_US8058227,Medline_27252423,Pmcoa_4438188,Pmcoa_3580540,Pmcoa_3978899","Medline_28409388,Pmcoa_4211150"
"12","METHYLROSANILINIUM CHLORIDE","ACTA2","SCLERODERMA","Medline_15854026,Medline_18203815,Patent_US20090075875,Patent_US8058227,Medline_27252423,Pmcoa_4438188,Pmcoa_3580540,Pmcoa_3978899","Patent_US5837241,Patent_US6156733,Patent_EP0830143B1,Patent_EP1287832A2,Patent_EP1287832B1,Patent_EP0830143A1,Patent_US6653287,Patent_WO1996033740A1"
"13","C[C@H]1CC[C@@H]2C[C@H](C[C@@](O)(O2)[C@@H]2CSC(=O)N2)OC(=O)\C=C(C)/CC\C=C/C=C\1","ACTB","SYSTEMIC LUPUS ERYTHEMATOSUS","Pmcoa_5564738,Medline_18683684","Pmcoa_5699038,Pmcoa_3677859,Pmcoa_6187124"
"14","TRIPHOSPHATE ANALOGS","ADAMTS13","SYSTEMIC LUPUS ERYTHEMATOSUS","Medline_16624087,Medline_23554033,Medline_25824235","Patent_US20020098485,Patent_WO2001059162A2"
"15","GLYCINE AMIDE","ADAMTS5","ARTHRITIS","Pmcoa_4289229,Pmcoa_4053306,Pmcoa_5074720,Pmcoa_5113859,Medline_21365186","Patent_US9695157,Patent_US20120041023,Patent_US20150210674,Medline_18974001,Patent_US9000009,Patent_US20170334890,Patent_EP3209794A1,Patent_WO2016061642A1"
"16","PROCARBAZINE","ADCY1","PSORIASIS","Medline_1244187,Medline_167799,Medline_4376892","Patent_US20150056646,Patent_US9365623,Patent_US20100303729,Patent_WO2010138727A1,Patent_US8822162"
