Drug,Gene,ICD,gene_ICD_ref,gene_ICD_TRUE_FALSE,gene_ICD_sentence,drug_gene_ref,drug_gene_TRUE_FALSE,drug_gene_sentence,Observations,keep_new
DAIDZIN,ALDH2,AGE RELATED OSTEOPOROSIS,"Pmcoa_4085729,Medline_28474171,Pmcoa_5544803,Medline_22508505",TRUE,These results provide new insight into regulation of osteoporosis in a subset of individuals with ALDH2*2 and in alcoholic patients and suggest a novel strategy to promote bone formation in such osteopenic diseases.,"Patent_EP0592583B1,Patent_EP0592583A1,Pmcoa_4838626,Medline_8032168,Pmcoa_5226516,Medline_19673742,Medline_8433985,Medline_24273684,Patent_US6255497,Medline_28219011,Medline_21123025,Pmcoa_5094945,Pmcoa_5667593,Pmcoa_5104933,Medline_30538807,Pmcoa_6309505,Medline_15377279,Medline_30187866,Medline_25084483,Medline_25543082,Pmcoa_3684953,Pmcoa_6261243,Patent_US8124389,Medline_26221217,Medline_29047162,Pmcoa_5654254,Patent_US20090124672A1,Pmcoa_5271370,Patent_US20090124672,Patent_EP2751090A1,Medline_9482862,Medline_9050837",TRUE,ALDH2 can be directly activated by the activator Alda-1 and inhibited by the inhibitor Daidzin.,,new
ACTINONIN,ANPEP,AGE RELATED OSTEOPOROSIS,"Pmcoa_3699501,Pmcoa_4128281",FALSE,Adipokine adiponectin (APN) has been recently reported to play a role in regulating bone mineral density (BMD),"Patent_US5021549,Patent_EP1675594A2,Patent_WO2005037779A2,Medline_10873564,Patent_US20050113310,Pmcoa_5622148,Medline_16778789,Patent_US20040147434,Patent_US20070042938,Medline_17981718,Pmcoa_5385526,Medline_14757368,Medline_12443882,Medline_18973761,Medline_19264392,Medline_7961121,Patent_US8263636,Pmcoa_4658336,Patent_US20070037752,Patent_US20110117069,Patent_US20070078130,Patent_US20140336159,Patent_WO1998044923A1,Pmcoa_2821472,Patent_WO2013052844A1,Patent_US20070037785,Medline_9602161,Pmcoa_3359464,Patent_EP0167936A2,Patent_US4663342",-,,,keep
DHEAS,AR,AGE RELATED OSTEOPOROSIS,"Medline_27402268,Medline_15987833,Patent_EP1480634B1,Patent_US8088828,Patent_US7776921,Medline_15511132,Medline_17907058,Medline_20348548,Patent_WO2001073116A2",TRUE,"BA321, a novel carborane analog that binds to androgen and estrogen receptors, acts as a new selective androgen receptor modulator of bone in male mice.","Medline_17548088,Medline_15249140",TRUE,"Treatment of granulosa cells with 20 ng/mL DHEAS increased the expression of androgen receptor, aromatase, 3-beta-hydroxysteroid dehydrogenase, and cyclooxygenase-2, reduced the expression of estrogen receptor beta, and increased estrone and estradiol levels, but had no effect on progesterone, androstenedione, or testosterone levels.",,keep
CYPROTERONE,AR,AGE RELATED OSTEOPOROSIS,"Medline_27402268,Medline_15987833,Patent_EP1480634B1,Patent_US8088828,Patent_US7776921,Medline_15511132,Medline_17907058,Medline_20348548,Patent_WO2001073116A2",TRUE,,"Medline_15242831,Medline_19383315,Medline_12020745,Medline_14643695,Pmcoa_4829986",TRUE,"Furthermore, this effect was blocked by the androgen receptor antagonist cyproterone. ",,keep
OXANDROLONE,AR,AGE RELATED OSTEOPOROSIS,"Medline_27402268,Medline_15987833,Patent_EP1480634B1,Patent_US8088828,Patent_US7776921,Medline_15511132,Medline_17907058,Medline_20348548,Patent_WO2001073116A2",TRUE,,"Pmcoa_1828036,Medline_15219414",TRUE,Increased nuclear fluorescence of the androgen receptor and increased cellular type I collagen were observed with oxandrolone at 15 and 30 μg/mL but not at lower doses.,,keep
ENOBOSARM,AR,AGE RELATED OSTEOPOROSIS,"Medline_27402268,Medline_15987833,Patent_EP1480634B1,Patent_US8088828,Patent_US7776921,Medline_15511132,Medline_17907058,Medline_20348548,Patent_WO2001073116A2",TRUE,,"Patent_US20170319597,Patent_WO2017066827A1,Medline_26393303",TRUE,"The selective androgen receptor modulator, GTx-024 (enobosarm), is being investigated for cancer cachexia, sarcopenia, and muscle wasting diseases.",,keep
PHENYL CYANIDE,AR,AGE RELATED OSTEOPOROSIS,"Medline_27402268,Medline_15987833,Patent_EP1480634B1,Patent_US8088828,Patent_US7776921,Medline_15511132,Medline_17907058,Medline_20348548,Patent_WO2001073116A2",TRUE,,"Patent_US9205102,Medline_10966753",FALSE,"4-[4, 4-Dimethyl-3-(4-hydroxybutyl)-5-oxo-2-thioxo-1-imidazolidinyl]-2-+ ++trif luoromethylbenzonitrile (RU 59063) is a prototype of a new class of high-affinity nonsteroidal androgen receptor (AR) ligands.",,new
AMINOOXYACETIC ACID,CBS,AGE RELATED OSTEOPOROSIS,"Pmcoa_2630375,Medline_18987302",TRUE,"The natural history of untreated CBS deficiency includes the development of venous thrombosis, arteriosclerosis, ectopia lentis, developmental delay, and osteoporosis [Mudd et al., 2001]","Medline_18940190,Medline_24145109,Medline_18201837,Pmcoa_4706096,Medline_23226735,Medline_25944997,Pmcoa_5904033,Medline_28383821,Medline_23063804,Pmcoa_3258007,Pmcoa_4372268,Medline_12160876,Pmcoa_4543995,Pmcoa_5131276,Patent_US20090214673,Pmcoa_4332225,Pmcoa_4741935,Pmcoa_3827285,Medline_16781459,Medline_21866187,Pmcoa_3875657,Pmcoa_4845716,Patent_US8092838,Medline_28713283,Pmcoa_4204999,Medline_24667534,Medline_27257787,Pmcoa_4658482,Medline_19255435,Pmcoa_3411702,Pmcoa_4372083,Pmcoa_5407269,Medline_23215842,Medline_25662313,Pmcoa_3493714,Medline_27440715",TRUE,infusion of the CBS inhibitors aminooxyacetic acid (10 mM) and hydroxylamine (20 mM) increased MAP but did not block the effects of infusion of 200 microM NaHS.,,keep
(S)-2-AMINO-4-PENTYNOIC ACID,CBS,AGE RELATED OSTEOPOROSIS,"Pmcoa_2630375,Medline_18987302",TRUE,,"Pmcoa_3469557,Medline_28847570",FALSE,"Furthermore, acetylcholine-induced relaxations were attenuated by cystathionine-gamma-lyase (CSE) inhibitor d,l-propargylglycine (PAG, 10-2 M) and cystathionine-β-synthase inhibitor (CBS) aminooxyacetic acid (AOAA, 10-3 M).",,keep
2-AMINO-2-HYDROXYACETIC ACID,CBS,AGE RELATED OSTEOPOROSIS,"Pmcoa_2630375,Medline_18987302",TRUE,,"Medline_23043860,Pmcoa_5411453,Medline_17101327,Patent_US20160095831,Pmcoa_5782486,Medline_28512446,Pmcoa_3144905,Patent_US20160095831A1",TRUE,"Importantly, all the beneficial effects of l-cysteine in SAH were abrogated by amino-oxyacetic acid, a CBS inhibitor. ",Molecular formula: C2H5NO3,new
