"Link.ID","Source.name","Source.Display.Name","Source.type","Target.name","Target.Display.Name","Target.type","Confidence","Documents","Document.IDs","Relationships"
0,"TNNI3","TNNI3","GENE","ACTIVE RHEUMATIC FEVER","ACTIVE RHEUMATIC FEVER","CONDITION",72.6861501370319,2,"Medline_11897228,Medline_12450620","Prepositional"
1,"CC1(C)S[C@@H]2[C@H](NC(*)=O)C(=O)N2[C@H]1C(O)=O","PENICILLIN","DRUG","ACTIVE RHEUMATIC FEVER","ACTIVE RHEUMATIC FEVER","CONDITION",92.6535673957373,49,"Medline_12137650,Pmcoa_3388424,Medline_13606137,Pmcoa_5829294,Medline_1117572,Medline_1956356,Pmcoa_4584519,Medline_14930225,Medline_4751506,Medline_13337403,Medline_14874995,Medline_12768947,Medline_12139138,Medline_12093388,Medline_3120614,Medline_8320611,Medline_15434761,Medline_20284047,Medline_13811833,Medline_1117571,Medline_15428660,Medline_14777823,Medline_19561421,Medline_9011282,Pmcoa_5020538,Pmcoa_3130902,Medline_1518750,Pmcoa_4662207,Medline_13876959,Pmcoa_4981376,Pmcoa_4863793,Medline_24581098,Medline_26531741,Medline_13012572,Pmcoa_3412664,Medline_25868180,Pmcoa_5320834,Medline_28559267,Pmcoa_3023070,Medline_1674296,Medline_4415629,Medline_3449509,Pmcoa_3336894,Patent_US4169474,Medline_8194154,Medline_5264819,Medline_2738782,Medline_29168304,Medline_7289955","AssociationNegative,Prepositional,Change,Similarity,Treat,Association"
2,"ACTH","ACTH","GENE","ACTIVE RHEUMATIC FEVER","ACTIVE RHEUMATIC FEVER","CONDITION",83.0208335051546,8,"Medline_12990985,Medline_14865598,Medline_13155004,Medline_14779092,Medline_14865604,Medline_12986914,Medline_12993319,Medline_15411248","Prepositional,Treat"
3,"C[C@]12CC(=O)[C@H]3[C@@H](CCC4=CC(=O)CC[C@]34C)[C@@H]1CC[C@]2(O)C(=O)CO","CORTISONE","DRUG","ACTIVE RHEUMATIC FEVER","ACTIVE RHEUMATIC FEVER","CONDITION",93.2200757147701,36,"Medline_13235459,Medline_13400247,Medline_13000206,Medline_13895290,Medline_14865601,Medline_14349360,Medline_14908302,Medline_14779092,Medline_12990403,Medline_12990985,Medline_13039118,Medline_14865598,Medline_13213144,Medline_13280304,Medline_13733405,Medline_14355222,Medline_13420927,Medline_5303000,Medline_13280507,Medline_14865604,Medline_14881612,Medline_13275440,Medline_14933006,Medline_13185411,Medline_13528880,Medline_18623860,Medline_13319455,Medline_13476678,Medline_13185393,Medline_13185402,Medline_14890206,Medline_14861016,Medline_14801746,Medline_14908280,Medline_15443146,Medline_15432056","Prepositional,Treat"
4,"CSCC[C@H](NC(=O)[C@H](CO)NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@@H](N)CO)C(=O)N[C@@H](CCC(O)=O)C(=O)N[C@@H](Cc1cnc[nH]1)C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](CCCNC(N)=N)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)NCC(=O)N[C@@H](CCCCN)C(=O)N1CCC[C@H]1C(=O)N[C@@H](C(C)C)C(=O)NCC(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCCNC(N)=N)C(=O)N[C@@H](CCCNC(N)=N)C(=O)N1CCC[C@H]1C(=O)N[C@@H](C(C)C)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](C(C)C)C(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CC(N)=O)C(=O)NCC(=O)N[C@@H](C)C(=O)N[C@@H](CCC(O)=O)C(=O)N[C@@H](CC(O)=O)C(=O)N[C@@H](CCC(O)=O)C(=O)N[C@@H](CO)C(=O)N[C@@H](C)C(=O)N[C@@H](CCC(O)=O)C(=O)N[C@@H](C)C(=O)N[C@@H](Cc1ccccc1)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCC(O)=O)C(=O)N[C@@H](Cc1ccccc1)C(O)=O","CORTICOTROPIN","DRUG","ACTIVE RHEUMATIC FEVER","ACTIVE RHEUMATIC FEVER","CONDITION",91.3054585446821,17,"Medline_14865598,Medline_12990985,Medline_14779092,Medline_14865604,Medline_13155004,Medline_14880853,Medline_14349360,Medline_14374980,Medline_12990403,Medline_13349166,Medline_13295977,Medline_14853216,Medline_13178854,Medline_12993319,Medline_12986914,Medline_13270347,Medline_15411248","Prepositional,Treat"
5,"HP","HP","GENE","ACTIVE RHEUMATIC FEVER","ACTIVE RHEUMATIC FEVER","CONDITION",77.0636090147894,3,"Medline_6649076,Medline_13494786,Medline_8935147","Prepositional"
6,"C[C@]12CC(=O)[C@H]3[C@@H](CCC4=CC(=O)C=C[C@]34C)[C@@H]1CC[C@]2(O)C(=O)CO","PREDNISONE","DRUG","ACTIVE RHEUMATIC FEVER","ACTIVE RHEUMATIC FEVER","CONDITION",89.9872483912512,6,"Medline_13495549,Medline_14400013,Medline_13400247,Medline_13608667,Medline_4868793,Medline_5958795","Prepositional,Treat"
7,"N[C@H]1[C@H](O)O[C@H](CO)[C@@H](O)[C@@H]1O","GLUCOSAMINE","DRUG","ACTIVE RHEUMATIC FEVER","ACTIVE RHEUMATIC FEVER","CONDITION",77.9878665142391,2,"Medline_15407655,Medline_13696896","Prepositional"
8,"O.CCN(CC)CCOC(=O)c1ccc(N)cc1.CC1(C)S[C@@H]2[C@H](NC(=O)Cc3ccccc3)C(=O)N2[C@H]1C(O)=O","PROCAINE PENICILLIN","DRUG","ACTIVE RHEUMATIC FEVER","ACTIVE RHEUMATIC FEVER","CONDITION",0,7,"Patent_EP1585500A1,Patent_US9492388,Patent_EP1583519A1,Patent_WO2004058223A1,Patent_EP1585500B1,Patent_EP1585500B8,Patent_US20070003619","Treat"
9,"COc1ccc2n(C(=O)c3ccc(Cl)cc3)c(C)c(CC(O)=O)c2c1","INDOMETACIN","DRUG","ACTIVE RHEUMATIC FEVER","ACTIVE RHEUMATIC FEVER","CONDITION",70.82447343711,4,"Medline_1803612,Patent_US20130217723,Patent_US20100048518,Patent_US20060287284","Prepositional,Treat"
