"Source","Target","Confidence","Documents","Doc_IDs"
"RHD","ACTIVE RHEUMATIC FEVER",69.4599667982315,2,"Pmcoa_4435248,Pmcoa_3948343"
"CCDC183","ACTIVE RHEUMATIC FEVER",68.1448321259438,3,"Pmcoa_2646144,Pmcoa_5674546,Medline_19252743"
"RUNX2","AGE RELATED OSTEOPOROSIS",82.78318749534,17,"Patent_EP2488164A2,Patent_US20150125540,Patent_US8956863,Patent_WO2011047277A2,Pmcoa_5780099,Pmcoa_5633066,Medline_27061521,Pmcoa_4697808,Medline_10875310,Pmcoa_3335081,Pmcoa_5583318,Patent_US20040235728,Medline_20828597,Medline_21565172,Medline_19017541,Medline_24239970,Pmcoa_4251679"
"AR","AGE RELATED OSTEOPOROSIS",85.3342658980606,9,"Medline_27402268,Medline_15987833,Patent_EP1480634B1,Patent_US8088828,Patent_US7776921,Medline_15511132,Medline_17907058,Medline_20348548,Patent_WO2001073116A2"
"LRP5","AGE RELATED OSTEOPOROSIS",82.7350163628155,49,"Pmcoa_4003338,Pmcoa_5751801,Patent_US20110028384,Patent_US8236753,Patent_WO2009075836A2,Pmcoa_5007848,Medline_25580429,Pmcoa_2151961,Pmcoa_4279179,Pmcoa_3676919,Pmcoa_4697808,Medline_17052975,Patent_US20090269346,Patent_US8877714,Medline_19571442,Pmcoa_3513203,Pmcoa_5331069,Pmcoa_2816843,Medline_19092774,Medline_17613296,Pmcoa_3892794,Medline_18684085,Medline_16168727,Pmcoa_3826318,Pmcoa_4012028,Medline_25323851,Medline_15824851,Medline_28283687,Patent_WO2003106657A2,Pmcoa_3575535,Pmcoa_2700509,Patent_EP2121755A1,Patent_US20070087384,Patent_US7473770,Patent_US7994293,Patent_US20070111253,Patent_US20120201835,Patent_US20080193449,Patent_WO2008097510A1,Patent_US7622553,Patent_WO2005049640A2,Patent_WO2005049797A2,Patent_US20090023905,Patent_US20050070699,Patent_US20090136507,Patent_US7514594,Patent_US7416849,Patent_WO2002092000A2,Pmcoa_5291413"
"PTHLH","AGE RELATED OSTEOPOROSIS",84.3926096955116,48,"Medline_26259869,Medline_9301664,Patent_EP1147133A2,Patent_EP1147133B1,Patent_US20070111946,Patent_EP2030986A1,Patent_EP1222208B1,Patent_US20060199765,Patent_US20030166838,Patent_US6495662,Patent_US20110009328,Patent_US20080058505,Patent_US7985835,Patent_US7057012,Patent_US8568736,Patent_US20050272660,Patent_US7371844,Patent_US7244834,Patent_US7022815,Patent_US7153951,Patent_WO2000039278A2,Patent_WO2001023521A2,Patent_WO2001023427A1,Medline_28303448,Patent_WO2017184355A1,Patent_EP2957278A1,Patent_EP2957278B1,Patent_US20100029556,Patent_US20110092425,Patent_US20130085105,Patent_US7803770,Patent_US20130157955,Patent_US20090227498,Patent_US8748382,Patent_US8148333,Medline_21187591,Patent_EP2699252A2,Patent_US20140046293,Patent_EP2699252B1,Patent_US20140046292,Patent_US20060058230,Patent_US20170189493,Patent_WO2003105772A2,Patent_US7799757,Patent_WO2012145665A2,Patent_WO2017024027A1,Medline_12574182,Medline_28914969"
"KL","AGE RELATED OSTEOPOROSIS",84.9166900887379,7,"Medline_28798354,Pmcoa_5552841,Medline_15576984,Medline_12369777,Medline_28232146,Pmcoa_4819465,Pmcoa_4554784"
"CD34","AGE RELATED OSTEOPOROSIS",81.4822830055167,3,"Medline_22724005,Pmcoa_3377665,Pmcoa_4530234"
"PTH1R","AGE RELATED OSTEOPOROSIS",79.368981375515,6,"Medline_15744035,Pmcoa_3110278,Pmcoa_5818587,Medline_15921971,Medline_23237450,Medline_28495495"
"CASR","AGE RELATED OSTEOPOROSIS",77.5552154106454,2,"Medline_29019102,Medline_15978932"
"IGFBP1","AGE RELATED OSTEOPOROSIS",78.1320188200024,3,"Medline_17874030,Patent_US20160207988,Medline_26456333"
"WNT1","AGE RELATED OSTEOPOROSIS",79.4696527171913,6,"Medline_23656646,Medline_24634143,Pmcoa_4314691,Pmcoa_4738604,Medline_28628032,Medline_29481978"
"NOTCH2","AGE RELATED OSTEOPOROSIS",78.4075326399271,4,"Medline_22306179,Medline_21378989,Pmcoa_3642023,Medline_29149593"
"ALDH2","AGE RELATED OSTEOPOROSIS",79.0849714523449,4,"Pmcoa_4085729,Medline_28474171,Pmcoa_5544803,Medline_22508505"
"SHBG","AGE RELATED OSTEOPOROSIS",81.0043933522035,4,"Medline_20452803,Pmcoa_4435629,Medline_27873076,Medline_22588185"
"MIR34A","AGE RELATED OSTEOPOROSIS",86.2325023605892,11,"Patent_US20160201056,Patent_WO2015026611A1,Pmcoa_4149606,Patent_WO2017050848A1,Medline_25043055,Pmcoa_5000714,Pmcoa_4600156,Pmcoa_5327426,Pmcoa_5349985,Pmcoa_5454890,Pmcoa_5547976"
"BMI1","AGE RELATED OSTEOPOROSIS",79.5613943306503,4,"Medline_27373231,Pmcoa_4931581,Pmcoa_4570627,Pmcoa_5859480"
"ECD","AGE RELATED OSTEOPOROSIS",77.1000862283444,2,"Pmcoa_4310028,Pmcoa_5780099"
"ANPEP","AGE RELATED OSTEOPOROSIS",79.9782377610191,2,"Pmcoa_3699501,Pmcoa_4128281"
"MIR214","AGE RELATED OSTEOPOROSIS",77.922066204222,2,"Pmcoa_4786676,Pmcoa_5648312"
"SOD2","AGE RELATED OSTEOPOROSIS",80.702359337497,2,"Pmcoa_5376208,Pmcoa_5762839"
"SIRT6","AGE RELATED OSTEOPOROSIS",79.0973454494202,2,"Pmcoa_5578964,Pmcoa_4932771"
"ST3GAL4","AGE RELATED OSTEOPOROSIS",80.196276786696,2,"Pmcoa_4771119,Pmcoa_5833190"
"TSHR","AGE RELATED OSTEOPOROSIS",74.8238086676986,5,"Medline_14567913,Pmcoa_3409653,Patent_EP1781320A2,Patent_WO2006015005A2,Pmcoa_4870888"
"VKORC1","AGE RELATED OSTEOPOROSIS",61.6158656065943,2,"Medline_20621035,Pmcoa_3001474"
"ELF3","AGE RELATED OSTEOPOROSIS",67.7878653154041,15,"Patent_EP1478631A1,Patent_US20040039015,Patent_US20070004713,Patent_US20040102435,Patent_US20050043350,Patent_US20050101584,Patent_US20060106074,Patent_US7045539,Patent_US20060111408,Patent_US20070208066,Patent_WO2003045930A1,Patent_US7256201,Patent_US7226945,Patent_US6518301,Medline_14613350"
"PLS3","AGE RELATED OSTEOPOROSIS",74.4796767928829,6,"Medline_28620780,Pmcoa_5751801,Medline_24088043,Medline_28605746,Pmcoa_5624974,Medline_28646489"
"GC","AGE RELATED OSTEOPOROSIS",76.1377875744579,3,"Medline_10485974,Medline_6897904,Patent_WO2014179737A2"
"UGCG","AGE RELATED OSTEOPOROSIS",67.887352775432,2,"Medline_11051736,Pmcoa_4358421"
"INSL3","AGE RELATED OSTEOPOROSIS",63.3715373784272,4,"Medline_22216350,Pmcoa_3247287,Patent_EP1984016A1,Patent_WO2007093220A1"
"AIS","AGE RELATED OSTEOPOROSIS",74.2909121211362,3,"Medline_18751741,Pmcoa_5861364,Medline_10382248"
"MRPL49","AGE RELATED OSTEOPOROSIS",76.0953549861774,6,"Pmcoa_4473006,Medline_15802113,Pmcoa_2899787,Pmcoa_4176573,Medline_21772973,Pmcoa_3135157"
"IGFBP3","AGE RELATED OSTEOPOROSIS",72.8990201091088,7,"Pmcoa_4294440,Medline_25610822,Patent_US6518238,Patent_US6514937,Patent_WO1998036764A2,Patent_WO2000020024A2,Patent_WO2000006191A1"
"CYP1A1","AGE RELATED OSTEOPOROSIS",75.7190085597902,2,"Medline_15647817,Medline_28300467"
"CALCR","AGE RELATED OSTEOPOROSIS",63.3980697529311,8,"Patent_US20050019841,Pmcoa_3907859,Medline_15960543,Patent_EP2718315A2,Patent_US20140018286,Patent_WO2012168431A2,Patent_WO2014191455A1,Patent_WO2012168430A2"
"CLCN7","AGE RELATED OSTEOPOROSIS",73.0098366038008,5,"Pmcoa_5126728,Patent_US20030215787,Pmcoa_3445495,Medline_16391718,Pmcoa_5678708"
"CNOT3","AGE RELATED OSTEOPOROSIS",71.1990715195014,3,"Medline_24550297,Pmcoa_4139912,Pmcoa_5471237"
"ESR2","AGE RELATED OSTEOPOROSIS",70.9935917726386,5,"Medline_15758417,Patent_EP2486010A2,Patent_US20120202861,Patent_US8710243,Patent_WO2011042473A2"
"VPS35","AGE RELATED OSTEOPOROSIS",62.4928381115491,2,"Medline_23509071,Pmcoa_3601351"
"SLC51A","AGE RELATED OSTEOPOROSIS",72.5103519365257,4,"Pmcoa_5708019,Medline_21294400,Pmcoa_4976819,Pmcoa_4902389"
"MIR194-1","AGE RELATED OSTEOPOROSIS",75.5300957434969,3,"Pmcoa_5711921,Medline_26038726,Pmcoa_4451039"
"HBM","AGE RELATED OSTEOPOROSIS",63.3364333723092,18,"Patent_EP1285002B1,Patent_US20090023905,Patent_US20030219793,Patent_US20090136507,Patent_US6770461,Patent_US7514594,Patent_US6780609,Medline_26730345,Patent_EP1268775A1,Patent_EP1268775B1,Patent_EP1964921A2,Patent_US20040176582,Patent_US20050070699,Patent_WO2002092000A2,Patent_US7285400,Patent_US7416849,Patent_WO2001092891A2,Pmcoa_5292392"
"GDF11","AGE RELATED OSTEOPOROSIS",75.3256670419987,5,"Pmcoa_5036163,Pmcoa_4923943,Medline_27653144,Patent_WO1999024057A2,Patent_WO1999024058A2"
"CBS","AGE RELATED OSTEOPOROSIS",68.6270355949106,2,"Pmcoa_2630375,Medline_18987302"
"KHDRBS1","AGE RELATED OSTEOPOROSIS",76.4810007754916,4,"Pmcoa_1315279,Medline_18325609,Medline_21189691,Medline_23018781"
"CDX2","AGE RELATED OSTEOPOROSIS",73.2402915228628,3,"Medline_19629616,Pmcoa_4995777,Medline_26845840"
"SATB2","AGE RELATED OSTEOPOROSIS",70.9998917935208,3,"Medline_17377962,Pmcoa_2719055,Pmcoa_3190908"
"RICTOR","AGE RELATED OSTEOPOROSIS",75.4414864653862,3,"Pmcoa_5133960,Pmcoa_5802487,Medline_27735936"
"DDR2","AGE RELATED OSTEOPOROSIS",74.2864671479785,3,"Medline_25658585,Pmcoa_4319719,Medline_25805889"
"MAPK7","AGE RELATED OSTEOPOROSIS",68.3753833605937,2,"Pmcoa_5643304,Medline_26325467"
"SOX6","AGE RELATED OSTEOPOROSIS",72.4229360748858,3,"Medline_19714249,Pmcoa_2730014,Pmcoa_3963837"
"LRP6","AGE RELATED OSTEOPOROSIS",75.3507386522043,11,"Patent_US20070059829,Patent_US7541431,Patent_WO2007030290A2,Pmcoa_5054297,Medline_21887268,Patent_US20110231942,Pmcoa_3160902,Patent_US20050070699,Patent_US20090136507,Patent_US7416849,Patent_WO2002092000A2"
"ZNF467","AGE RELATED OSTEOPOROSIS",60.4744103111648,2,"Medline_22252242,Pmcoa_3293781"
