"Drug","Gene","ICD","gene_ICD_ref","drug_gene_ref","keep_new"
"PBF-509","ADORA2A","ARTHRITIS","Pmcoa_4609967,Medline_23283732,Pmcoa_5622197","Pmcoa_6321150,Pmcoa_6202948,Pmcoa_5458644,Pmcoa_5461710,Patent_US20190031766A1,Patent_EP3328896A1,Pmcoa_5694450,Medline_30405415,Medline_28582704,Patent_US20180214544A1,Pmcoa_5842577,Patent_US20180214544","keep"
"ACTINONIN","ANPEP","AGE RELATED OSTEOPOROSIS","Pmcoa_3699501,Pmcoa_4128281","Patent_US5021549,Patent_EP1675594A2,Patent_WO2005037779A2,Medline_10873564,Patent_US20050113310,Pmcoa_5622148,Medline_16778789,Patent_US20040147434,Patent_US20070042938,Medline_17981718,Pmcoa_5385526,Medline_14757368,Medline_12443882,Medline_18973761,Medline_19264392,Medline_7961121,Patent_US8263636,Pmcoa_4658336,Patent_US20070037752,Patent_US20110117069,Patent_US20070078130,Patent_US20140336159,Patent_WO1998044923A1,Pmcoa_2821472,Patent_WO2013052844A1,Patent_US20070037785,Medline_9602161,Pmcoa_3359464,Patent_EP0167936A2,Patent_US4663342","keep"
"PRAVASTATIN SODIUM","APOB","ASEPTIC NECROSIS OF BONE","Pmcoa_4282735,Pmcoa_4247152,Medline_17530370","Medline_3106756,Patent_EP1680086A2,Patent_US20050096390,Patent_US20060068015","keep"
"EPA ETHYL ESTER","APOB","ASEPTIC NECROSIS OF BONE","Pmcoa_4282735,Pmcoa_4247152,Medline_17530370","Patent_WO2015066512A1,Patent_US20140357717,Pmcoa_5282870,Medline_22819432,Patent_US20160058729","keep"
"CYPROTERONE","AR","AGE RELATED OSTEOPOROSIS","Medline_27402268,Medline_15987833,Patent_EP1480634B1,Patent_US8088828,Patent_US7776921,Medline_15511132,Medline_17907058,Medline_20348548,Patent_WO2001073116A2","Medline_14643695,Medline_19383315,Medline_12020745,Medline_15242831,Patent_US20090082250,Pmcoa_4829986","keep"
"ENOBOSARM","AR","AGE RELATED OSTEOPOROSIS","Medline_27402268,Medline_15987833,Patent_EP1480634B1,Patent_US8088828,Patent_US7776921,Medline_15511132,Medline_17907058,Medline_20348548,Patent_WO2001073116A2","Patent_US20170319597,Patent_WO2017066827A1,Medline_26393303","keep"
"OXANDROLONE","AR","AGE RELATED OSTEOPOROSIS","Medline_27402268,Medline_15987833,Patent_EP1480634B1,Patent_US8088828,Patent_US7776921,Medline_15511132,Medline_17907058,Medline_20348548,Patent_WO2001073116A2","Pmcoa_5038975,Medline_17364004,Pmcoa_1828036,Medline_15219414","keep"
"DHEAS","AR","AGE RELATED OSTEOPOROSIS","Medline_27402268,Medline_15987833,Patent_EP1480634B1,Patent_US8088828,Patent_US7776921,Medline_15511132,Medline_17907058,Medline_20348548,Patent_WO2001073116A2","Medline_17548088,Medline_15249140","keep"
"MK 869","B3GAT1","ARTHRITIS","Medline_22687356,Pmcoa_17819","Patent_US20060019943,Patent_US20090030040,Patent_US8071778,Patent_US20090018132,Patent_US20090018163,Patent_US20080027056,Patent_US20090124613,Patent_US7098203,Patent_US8026257,Medline_12576885,Patent_US7632861","keep"
"FOSAPREPITANT","B3GAT1","ARTHRITIS","Medline_22687356,Pmcoa_17819","Pmcoa_5749222,Patent_EP2729147B1,Patent_US9782397,Patent_US20140128395,Pmcoa_5222820,Patent_EP2729147A1,Patent_WO2013004766A1","keep"
"GR205171","B3GAT1","ARTHRITIS","Medline_22687356,Pmcoa_17819","Pmcoa_1959516,Medline_9886687,Medline_11734064,Pmcoa_60651,Medline_10336675,Medline_18465582,Pmcoa_3796513","keep"
